id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
647,Harry Kane,Tottenham,2,2,8,7,6,4,2,7,0,1,3,5,4,4,1,6,2,6,0,-,-,5,2,6,5,3,5,3,4,-,103
822,Patrick Bamford,Leeds,2,1,4,4,3,9,4,2,5,6,3,3,3,3,2,4,7,0,1,2,4,5,1,2,2,2,5,0,2,-,91
1228,Bruno Fernandes,Manchester United,3,1,1,5,3,1,6,4,6,0,4,1,5,3,3,5,4,4,4,3,2,6,4,3,2,2,0,1,4,-,90
1250,Mohamed Salah,Liverpool,9,4,4,2,6,4,3,2,-,1,3,3,4,2,3,2,2,3,2,1,7,4,2,3,1,3,1,3,3,-,87
8865,Ollie Watkins,Aston Villa,3,2,5,1,2,2,3,0,4,2,4,2,10,1,3,1,2,5,4,4,4,0,1,1,2,6,2,2,-,-,78
447,Kevin De Bruyne,Manchester City,4,2,5,-,1,3,4,6,3,6,3,4,2,2,5,5,3,3,-,-,-,-,-,0,3,2,4,4,3,-,77
838,Sadio Mané,Liverpool,5,3,5,-,4,3,1,0,6,0,5,1,4,3,3,1,4,1,3,7,-,-,2,2,2,0,0,3,5,-,73
482,Roberto Firmino,Liverpool,2,1,1,2,2,3,0,2,6,2,0,2,5,2,2,3,3,5,3,3,0,3,1,4,4,2,1,-,-,-,64
5555,Dominic Calvert-Lewin,Everton,2,6,4,3,5,0,5,1,3,3,4,1,3,2,1,2,-,2,1,5,1,-,-,1,1,2,1,4,-,-,63
556,Marcus Rashford,Manchester United,1,2,0,7,3,1,3,2,1,4,1,5,3,3,3,4,0,1,0,2,2,2,2,1,2,2,1,1,4,-,63
755,Jamie Vardy,Leicester,2,1,3,1,-,2,4,3,2,3,2,3,3,6,3,0,0,7,1,-,-,-,1,5,3,0,1,1,5,-,62
65,Timo Werner,Chelsea,5,1,4,1,3,1,2,3,2,1,5,1,3,4,2,1,1,1,0,-,3,4,1,4,1,1,3,3,1,-,62
5556,Ademola Lookman,Fulham,-,-,-,0,3,6,3,2,1,4,1,1,3,3,2,0,2,5,1,2,1,5,3,1,3,1,2,2,0,4,61
3621,Neal Maupay,Brighton,1,4,4,3,6,1,-,2,3,1,1,2,-,2,3,0,3,1,2,4,1,2,2,3,2,3,1,1,2,-,60
8026,Raphinha,Leeds,-,-,-,-,0,1,-,1,4,4,2,2,7,3,2,2,1,0,2,1,3,4,3,4,1,2,4,2,2,-,57
6382,Pedro Neto,Wolverhampton Wanderers,0,2,2,3,1,4,0,1,3,2,0,2,4,3,1,2,2,2,1,2,1,2,2,2,5,5,1,2,0,-,57
7768,Mason Mount,Chelsea,1,1,7,-,1,0,3,3,2,2,2,2,0,1,3,2,0,4,1,0,4,3,1,2,2,3,3,2,1,-,56
6681,Harvey Barnes,Leicester,5,5,2,1,2,0,3,1,3,1,-,0,0,2,1,6,3,4,0,3,2,3,2,2,4,1,-,-,-,-,56
7322,Bukayo Saka,Arsenal,-,2,-,2,2,4,2,0,1,1,2,4,1,4,2,2,4,2,4,2,-,3,1,1,3,-,4,0,2,-,55
6818,James Maddison,Leicester,0,0,1,-,1,4,0,1,1,3,2,6,2,4,1,-,3,2,2,5,2,1,6,3,4,-,-,-,-,-,54
6853,Rúben Neves,Wolverhampton Wanderers,0,2,3,2,2,2,2,3,0,0,1,0,1,4,2,1,4,4,2,1,-,2,4,2,1,4,0,3,2,-,54
6026,Richarlison,Everton,7,5,1,1,2,-,-,-,3,4,2,3,1,0,-,1,0,2,4,1,2,0,1,1,3,5,1,3,-,-,53
618,Raheem Sterling,Manchester City,1,3,5,2,1,2,1,1,-,4,1,2,2,2,1,2,2,2,4,-,3,1,1,0,3,-,5,2,-,-,53
453,Son Heung-Min,Tottenham,2,4,2,2,2,2,1,3,2,0,1,1,1,2,1,2,4,2,2,2,2,3,0,2,2,2,2,0,-,-,51
8288,Tomas Soucek,West Ham,3,2,5,2,2,1,1,2,2,1,1,1,0,2,3,1,2,0,0,4,0,4,2,0,0,0,1,3,4,-,49
318,Pierre-Emerick Aubameyang,Arsenal,3,1,0,2,0,2,2,0,3,5,2,4,1,-,-,3,3,1,5,-,-,1,1,5,0,1,4,-,0,-,49
750,Riyad Mahrez,Manchester City,-,3,2,6,2,2,-,1,5,1,1,-,2,-,0,1,-,0,4,-,1,0,0,3,2,2,3,4,3,-,48
675,Jack Grealish,Aston Villa,3,3,3,0,2,6,5,1,3,4,6,1,2,1,0,0,1,3,0,1,1,1,-,-,-,-,-,-,-,-,47
531,Michail Antonio,West Ham,4,5,3,3,2,1,-,-,-,0,-,-,-,-,-,0,1,3,2,5,2,5,0,-,2,3,0,1,5,-,47
773,Aleksandar Mitrovic,Fulham,1,6,6,3,5,5,0,3,2,0,-,-,1,1,1,-,-,1,1,1,3,2,-,-,-,0,0,1,1,2,46
7698,Leandro Trossard,Brighton,1,3,4,4,1,2,1,-,-,1,1,-,1,3,2,0,1,1,1,2,1,1,0,6,3,1,0,2,2,-,45
7700,Che Adams,Southampton,1,4,1,2,3,2,0,4,2,1,0,2,2,2,0,2,-,1,2,2,1,2,1,0,2,0,3,1,2,-,45
522,Wilfried Zaha,Crystal Palace,2,4,2,2,1,4,2,1,-,-,6,4,1,1,2,2,2,1,-,4,3,0,-,-,-,-,-,1,0,-,45
1776,Jarrod Bowen,West Ham,1,4,3,3,1,0,0,4,4,2,5,3,2,0,1,0,1,1,1,1,0,0,1,1,0,0,1,2,2,-,44
314,Ilkay Gündogan,Manchester City,-,-,-,0,2,0,0,-,1,1,-,4,2,1,3,2,4,6,2,0,1,3,4,-,2,0,1,4,1,-,44
606,Christian Benteke,Crystal Palace,-,-,0,-,0,-,0,0,2,3,5,4,5,-,2,1,1,6,-,0,-,0,1,4,2,1,2,2,3,-,44
7711,David McGoldrick,Sheffield United,1,0,1,3,1,1,0,1,2,-,-,0,5,1,1,3,2,2,4,1,0,3,1,4,0,2,4,1,-,-,44
3683,Ivan Cavaleiro,Fulham,0,0,4,0,0,-,0,1,4,2,2,4,2,-,1,2,3,0,3,2,1,3,0,0,2,1,1,2,0,2,42
553,Anthony Martial,Manchester United,1,1,0,-,-,-,1,4,-,2,0,4,4,2,1,3,5,0,3,1,1,5,-,0,1,0,-,3,-,-,42
5612,Anwar El Ghazi,Aston Villa,-,-,-,-,-,-,0,0,0,1,8,8,5,2,3,0,0,0,-,0,-,-,0,5,2,-,6,1,-,-,41
468,Callum Wilson,Newcastle United,4,1,1,3,2,1,4,0,-,2,0,3,3,-,2,0,2,1,0,1,6,4,1,-,-,-,-,-,-,-,41
986,Danny Ings,Southampton,3,2,1,2,4,1,2,-,-,-,2,5,1,2,-,0,2,-,3,2,0,4,2,1,1,1,0,-,-,-,41
7490,Mason Greenwood,Manchester United,3,1,3,-,0,1,-,-,2,5,2,2,-,-,0,-,0,0,1,4,0,3,1,1,2,2,2,0,5,-,40
3277,Alexandre Lacazette,Arsenal,2,1,3,-,0,2,0,1,-,0,4,1,-,1,2,1,5,0,2,2,2,0,0,-,0,1,0,5,4,-,39
4456,Chris Wood,Burnley,3,1,2,3,3,0,1,3,0,3,1,1,3,2,1,1,1,0,2,0,-,-,-,-,-,0,3,3,2,-,39
