id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
1228,Bruno Fernandes,Manchester United,0.104,0.6001,0.0219,0.4888,0.1286,0.0591,0.4181,1.1748,0.4046,1.038,0.1036,0.0075,0.3863,0.8772,0.1219,0.3969,0.0937,0.0209,0.4207,0.3948,0.0195,1.2065,0.16,0.0,0.3907,0.0162,0.1319,0.0581,0.4018,-,9.6462
447,Kevin De Bruyne,Manchester City,0.4142,0.483,0.192,-,0.3298,0.0979,0.4648,0.6594,0.4888,0.7886,0.4341,1.0231,0.356,0.5005,0.7621,0.2134,0.4579,0.3149,-,-,-,-,-,0.0858,0.2096,0.4004,0.0312,0.6269,0.1198,-,9.4542
675,Jack Grealish,Aston Villa,0.1471,0.2116,1.2792,0.6549,0.1054,0.4764,0.3681,0.4467,0.1951,0.0851,0.3291,0.7326,1.1171,0.0949,0.9652,0.1983,0.118,0.3426,0.3347,0.4725,0.274,0.0,-,-,-,-,-,-,-,-,8.9486
453,Son Heung-Min,Tottenham,0.3083,0.1291,0.4043,0.7251,0.1589,0.0,0.0644,0.0141,0.0,0.0,0.2506,0.0447,0.7143,0.2415,0.1279,0.5457,0.0,0.4829,0.0,0.077,0.0841,0.0195,0.0,0.1408,1.7019,0.9293,0.6745,0.0,-,-,7.8389
8026,Raphinha,Leeds,-,-,-,-,0.0,0.0,-,0.0,0.1323,0.7162,0.2238,0.1481,0.1557,0.24,0.503,0.0,0.4929,0.0129,0.2047,0.2298,0.0301,0.5877,0.188,1.4253,0.881,0.2188,0.3674,0.1013,0.1531,-,7.0121
647,Harry Kane,Tottenham,0.3339,1.3486,0.7061,0.4706,0.3539,0.3876,0.0,0.1977,0.3569,0.1287,0.0192,0.036,0.0,0.0,0.0,0.3311,0.2551,0.4813,0.0,-,-,0.1064,0.0415,0.0487,0.1796,0.0169,0.9385,0.0,0.0,-,6.7383
7768,Mason Mount,Chelsea,0.0614,0.0,0.5429,-,0.133,0.0,0.419,0.0,0.1517,0.0742,1.0145,0.0,0.0894,1.0503,0.1947,0.2291,0.0429,0.3747,0.2717,0.0455,0.1414,0.5265,0.0,0.1741,0.114,0.0169,0.4441,0.3622,0.0695,-,6.5437
8720,Jack Harrison,Leeds,0.0,0.0,0.579,-,0.1992,0.8066,0.5833,0.1266,0.2373,0.0711,0.0,0.1086,0.1995,0.2039,0.4655,0.5084,0.1187,0.0,0.0,0.0206,0.0217,0.0206,0.0529,0.1148,0.0,0.5533,0.0972,0.0,0.5363,-,5.6251
1688,Andrew Robertson,Liverpool,0.4193,0.0,0.0624,0.0884,0.6773,0.0566,0.0,0.031,0.7665,0.0352,0.1985,0.0173,0.3302,0.8081,0.0119,0.4224,0.1348,0.4261,0.2087,0.0604,0.0,0.0,0.0,0.0231,0.0617,0.6162,0.0219,0.054,0.0,-,5.532
1791,Trent Alexander-Arnold,Liverpool,0.0709,0.0924,0.8904,0.0513,0.0863,0.3344,0.0964,0.0,-,-,0.0,0.1004,0.1628,0.065,0.3189,0.106,0.1703,0.0,0.202,0.3463,0.0,0.4225,0.1605,0.4052,0.0587,0.7894,0.1274,0.0715,0.3445,-,5.4735
534,Aaron Cresswell,West Ham,0.0,0.0113,0.2732,0.717,0.127,0.0561,0.0,0.2684,0.0546,0.0,0.0989,0.4494,0.0,0.0405,0.0609,0.1053,0.0,0.0,0.1338,0.4577,0.0,0.2581,0.7153,0.5013,0.0306,0.0326,0.9528,0.0,0.1001,-,5.4449
1006,Luke Shaw,Manchester United,0.0,0.0,0.0209,0.0615,0.0,0.1391,0.2218,-,-,-,0.0946,-,0.2096,0.3724,0.0899,0.5623,0.1113,0.5711,0.1363,0.0208,0.7513,1.1466,0.0368,0.1797,0.2926,0.0582,0.1655,0.0,0.1523,-,5.3946
6382,Pedro Neto,Wolverhampton Wanderers,0.0672,0.0875,0.1807,0.0372,0.0,0.1843,0.9498,0.0196,0.0,0.3292,0.0968,0.4129,0.0444,0.0,0.1412,0.0901,0.0,0.2303,0.3107,0.0572,0.2774,0.3778,0.2307,0.0766,0.1295,0.629,0.0973,0.3162,0.0,-,5.3736
