id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
2496,Rodri,Manchester City,0.6418,0.2477,0.3469,0.3506,0.2809,1.2012,0.7418,0.1725,0.5628,1.2773,0.7761,0.6156,0.7684,0.2354,1.0565,-,-,9.2755
1791,Trent Alexander-Arnold,Liverpool,0.1539,0.361,0.74,0.8104,0.8664,0.9313,0.4365,0.0,-,-,0.0,0.248,0.205,1.5966,0.9467,0.2972,0.3643,7.9573
2379,João Cancelo,Manchester City,-,-,-,0.7841,0.1989,0.9446,0.4545,0.2193,-,0.4853,1.1236,1.1132,0.2095,1.4862,0.9161,-,-,7.9353
618,Raheem Sterling,Manchester City,0.3308,0.1069,0.1076,0.8423,0.0,1.1764,0.7642,0.0,-,0.0,0.4308,0.5384,0.6942,0.7906,1.9509,-,-,7.7331
605,Jordan Henderson,Liverpool,0.0608,0.1621,-,-,0.9492,1.5483,0.4937,0.0715,-,0.0,0.7262,0.0173,0.6001,1.1509,0.7747,0.3081,0.3066,7.1695
8718,Stuart Dallas,Leeds,0.1315,0.0,0.4339,1.0205,0.0659,0.921,0.5082,0.2877,0.5515,0.5564,0.2238,0.063,0.3842,0.4832,0.046,1.3227,0.1693,7.1688
4381,Mateusz Klich,Leeds,0.0,0.0783,0.1559,0.8239,0.2864,1.0251,1.0371,0.037,0.4203,1.3951,0.0,0.1323,0.2158,0.0,0.046,0.7683,0.6186,7.0401
447,Kevin De Bruyne,Manchester City,0.5607,0.14,0.315,-,0.0,0.2637,0.0394,0.1181,0.5795,0.4541,0.3786,0.9805,0.8002,1.4862,0.8974,-,-,7.0134
8716,Luke Ayling,Leeds,0.0314,0.0,0.4494,0.6113,0.1836,0.8838,1.0371,0.2877,0.0981,0.1881,0.2238,0.063,0.1613,0.4157,0.5115,1.3013,0.2167,6.6638
204,Granit Xhaka,Arsenal,0.9957,1.1501,0.2933,0.0,0.1386,0.323,-,-,0.1154,0.5243,0.2003,0.6288,-,-,0.1824,0.2236,1.8031,6.5786
