id,name,team,1,2,3,4,5,6,7,total
1250,Mohamed Salah,Liverpool,0.755,0.783,0.5897,1.5003,1.4139,1.2608,0.4601,6.7628
647,Harry Kane,Tottenham,0.4309,2.1558,1.5565,1.0986,1.1415,0.1749,0.0152,6.5734
838,Sadio Mané,Liverpool,0.6785,0.9229,1.3935,-,1.6538,0.7141,0.6006,5.9634
5555,Dominic Calvert-Lewin,Everton,0.2742,2.0193,0.606,1.1712,0.6323,0.0,0.9799,5.6829
675,Jack Grealish,Aston Villa,0.5241,1.0584,1.8032,0.3427,0.9878,0.7171,-,5.4333
453,Son Heung-Min,Tottenham,0.2765,1.5733,1.0929,0.7245,1.3327,0.2341,0.0963,5.3303
822,Patrick Bamford,Leeds,0.0711,0.2188,0.7176,1.0397,0.1341,1.4471,1.5984,5.2268
468,Callum Wilson,Newcastle United,1.2323,0.4212,0.0539,1.0484,0.6766,0.1906,1.5634,5.1864
482,Roberto Firmino,Liverpool,0.4139,0.6426,0.5122,0.7474,1.1175,1.6653,0.0833,5.1822
1791,Trent Alexander-Arnold,Liverpool,0.1539,0.4376,0.8662,0.8617,0.8664,1.2137,0.4365,4.836
2249,James Rodríguez,Everton,0.482,1.0074,0.7044,1.2809,1.0825,0.2048,-,4.762
522,Wilfried Zaha,Crystal Palace,0.9196,0.9577,0.1253,0.0844,0.0,2.4333,0.1969,4.7172
618,Raheem Sterling,Manchester City,0.8161,0.2905,0.7626,1.2307,0.3298,1.255,-,4.6847
8865,Ollie Watkins,Aston Villa,0.3193,0.6657,2.2839,0.0821,0.6539,0.2642,-,4.2691
8716,Luke Ayling,Leeds,0.0314,0.0,0.4943,1.3377,0.3363,0.924,1.0371,4.1608
2335,Pablo Fornals,West Ham,0.2182,0.0407,1.1003,1.308,1.0107,0.1219,0.2313,4.0311
8720,Jack Harrison,Leeds,0.0582,0.17,0.9844,-,0.3263,1.2803,1.08,3.8992
4381,Mateusz Klich,Leeds,0.0732,0.1693,0.2516,0.8872,0.2864,1.1752,1.0499,3.8928
343,Pierre-Emile Højbjerg,Tottenham,0.1314,0.6004,1.1665,0.5558,0.7273,0.3429,0.3479,3.8722
3621,Neal Maupay,Brighton,0.343,0.8348,0.8138,0.8818,0.5483,0.4067,-,3.8284
65,Timo Werner,Chelsea,0.457,0.1244,0.6957,0.2554,1.5895,0.0556,0.5211,3.6987
531,Michail Antonio,West Ham,0.2126,1.6982,0.5405,0.7888,0.3007,0.1098,-,3.6506
1688,Andrew Robertson,Liverpool,0.1647,0.4962,0.8739,0.5214,0.9674,0.4911,0.1305,3.6452
605,Jordan Henderson,Liverpool,0.0799,0.1963,-,-,1.2398,1.574,0.5173,3.6073
755,Jamie Vardy,Leicester,0.1128,0.2773,0.5214,0.3022,-,0.6616,1.7088,3.5841
6026,Richarlison,Everton,0.9918,1.2913,0.5677,0.0957,0.543,-,-,3.4895
8718,Stuart Dallas,Leeds,0.1315,0.0,0.445,1.2535,0.0659,1.0347,0.5082,3.4388
750,Riyad Mahrez,Manchester City,-,0.2955,0.4217,1.1329,0.2809,1.2915,-,3.4225
1726,Abdoulaye Doucouré,Everton,0.4112,1.0074,0.6281,0.8288,0.1574,0.0697,0.2589,3.3615
7700,Che Adams,Southampton,0.1395,0.8388,0.5614,0.4762,0.7335,0.3662,0.2241,3.3397
1776,Jarrod Bowen,West Ham,0.1252,0.7851,1.2056,0.8602,0.1737,0.1202,0.0,3.27
2496,Rodri,Manchester City,0.6707,0.2892,0.3469,0.373,0.3511,1.2114,-,3.2423
771,Georginio Wijnaldum,Liverpool,0.4028,0.9574,0.5248,0.1461,0.0,0.6688,0.5198,3.2197
6273,Robin Koch,Leeds,0.0314,0.1278,0.4376,0.5077,0.0382,0.8838,1.0371,3.0636
3277,Alexandre Lacazette,Arsenal,1.0691,0.4294,1.1782,-,0.0,0.1674,0.1222,2.9663
5220,Kai Havertz,Chelsea,0.3583,0.0,0.9755,0.6844,0.7594,0.0556,0.1316,2.9648
204,Granit Xhaka,Arsenal,1.0529,1.1501,0.2933,0.0,0.1386,0.323,-,2.9579
7723,John McGinn,Aston Villa,0.491,0.9509,0.6483,0.3619,0.3545,0.1293,-,2.9359
8226,Tariq Lamptey,Brighton,0.4657,0.6668,0.6601,0.0553,0.5761,0.426,0.0811,2.9311
773,Aleksandar Mitrovic,Fulham,0.0342,0.266,0.324,0.6165,0.1786,0.7017,0.8005,2.9215
447,Kevin De Bruyne,Manchester City,1.1274,0.3228,0.6561,-,0.3298,0.4738,-,2.9099
5956,Youri Tielemans,Leicester,0.0722,0.2943,0.4432,0.0,0.2965,0.6616,1.1025,2.8703
4105,Raúl Jiménez,Wolverhampton Wanderers,1.2828,0.1917,0.0746,0.1654,0.0473,0.4179,0.6336,2.8133
775,Andros Townsend,Crystal Palace,0.5025,0.7501,0.1253,0.0201,0.0,1.2041,0.1754,2.7775
6049,Solly March,Brighton,0.7833,0.0476,1.36,0.1336,0.2554,0.0739,0.0975,2.7513
7698,Leandro Trossard,Brighton,0.0355,0.7847,0.7781,0.2912,0.2751,0.4806,0.0516,2.6968
638,Kyle Walker,Manchester City,0.174,0.2426,0.4166,0.3304,0.2803,1.2223,-,2.6662
7708,John Lundstram,Sheffield United,0.7485,0.0478,0.6867,0.0292,0.4508,0.2289,0.464,2.6559
6382,Pedro Neto,Wolverhampton Wanderers,0.3965,0.3476,0.2025,0.1883,0.0385,0.5394,0.9346,2.6474
101,Allan Saint-Maximin,Newcastle United,0.3002,0.0,-,1.0287,0.77,0.0333,0.5133,2.6455
8816,Liam Cooper,Leeds,-,0.1693,0.4376,0.9681,-,-,1.0499,2.6249
3428,Hélder Costa,Leeds,0.1046,0.1278,0.0,0.882,0.0415,0.3405,1.1107,2.6071
8288,Tomas Soucek,West Ham,0.3757,0.6077,0.9194,0.1527,0.3842,0.1664,0.0,2.6061
