id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
2369,Toni Kroos,Real Madrid,3,2,-,-,5,5,0,2,2,1,1,2,1,1,3,3,2,0,4,3,6,-,4,4,2,2,1,3,62
2097,Lionel Messi,Barcelona,1,2,2,1,1,4,2,3,4,2,3,2,3,3,-,1,1,0,-,4,2,2,2,1,1,6,3,2,58
6956,David Ferreiro,SD Huesca,3,1,2,4,6,6,0,1,3,0,0,2,2,0,3,3,0,1,1,-,1,0,2,2,1,2,2,0,48
2571,Sergio Canales,Real Betis,2,7,4,1,0,0,3,4,3,-,-,-,-,-,-,2,2,2,0,0,1,1,4,1,0,3,4,3,47
2290,Iago Aspas,Celta Vigo,0,5,2,2,1,1,1,1,4,1,9,2,2,3,0,3,0,-,-,-,1,0,1,-,3,1,2,2,47
616,Jesús Navas,Sevilla,3,4,4,2,1,2,0,3,2,4,-,2,3,1,0,1,1,2,2,0,-,-,1,0,0,1,4,1,44
2183,Rubén García,Osasuna,0,2,1,1,0,0,2,1,1,1,3,1,0,4,1,3,3,2,1,0,2,3,2,2,1,2,4,0,43
2253,Lucas Vázquez,Real Madrid,-,-,-,0,2,2,1,1,0,4,2,2,2,0,1,1,3,2,1,-,-,-,5,2,5,3,1,0,40
2093,Jordi Alba,Barcelona,3,0,0,-,1,0,1,3,3,2,2,1,4,2,-,3,1,0,1,0,4,-,1,0,1,1,1,4,39
1700,Lucas Pérez,Alaves,2,-,0,1,2,3,4,-,1,4,4,2,0,2,-,3,1,-,-,3,-,4,0,0,1,-,0,-,37
2250,Luka Modric,Real Madrid,3,0,4,3,1,1,2,2,0,1,1,0,3,1,-,0,0,0,2,2,1,0,3,2,0,2,2,1,37
5081,Edu Expósito,Eibar,0,4,0,2,0,-,0,0,3,1,1,3,1,1,1,1,0,5,2,2,3,2,1,1,1,0,2,-,37
3667,Nabil Fekir,Real Betis,0,2,1,1,0,0,0,2,-,-,1,3,2,2,0,3,1,1,4,1,2,2,0,1,-,4,0,3,36
