id,name,team,1,2,3,4,5,6,total
6118,Portu,Real Sociedad,0,0,1,0,1,1,3
7967,Anssumane Fati,Barcelona,2,1,0,0,-,-,3
2186,Morales,Levante,2,1,0,0,0,-,3
2380,Paco Alcácer,Villarreal,0,1,0,2,0,0,3
6124,Maxi Gómez,Valencia,1,1,0,1,0,0,3
2290,Iago Aspas,Celta Vigo,0,2,1,0,0,0,3
2098,Luis Suárez,Atletico Madrid,2,0,0,1,-,-,3
7887,Luuk de Jong,Sevilla,1,0,1,0,-,-,2
7008,Vinícius Júnior,Real Madrid,0,-,1,1,0,-,2
4091,Unai López,Athletic Club,0,2,0,0,0,-,2
7834,Manu Vallejo,Valencia,2,0,0,0,0,0,2
4136,Ángel,Getafe,0,0,2,0,-,-,2
1421,Cristian Tello,Real Betis,1,0,0,0,1,0,2
6926,William Carvalho,Real Betis,0,1,1,0,0,0,2
7350,Yangel Herrera,Granada,1,0,0,0,1,-,2
7195,Roberto López,Real Sociedad,1,-,1,0,0,0,2
5074,Kike García,Eibar,0,1,1,0,0,0,2
1131,Rodrigo Ely,Alaves,0,0,-,0,1,0,1
2183,Rubén García,Osasuna,1,0,0,0,0,-,1
1003,Pablo Maffeo,SD Huesca,1,0,-,-,-,0,1
802,Diego Costa,Atletico Madrid,1,0,0,0,-,-,1
2272,Yannick Carrasco,Atletico Madrid,0,0,0,1,-,-,1
2275,Ángel Correa,Atletico Madrid,1,0,0,0,-,-,1
2518,Marcos Llorente,Atletico Madrid,1,0,0,0,-,-,1
7892,João Félix,Atletico Madrid,1,0,0,0,-,-,1
1189,Lucas Boyé,Elche,0,1,0,-,-,-,1
4175,Pere Milla,Elche,0,0,0,1,-,-,1
8895,Tete Morente,Elche,0,0,0,1,-,-,1
2088,Edgar Méndez,Alaves,0,0,0,1,0,0,1
5093,Roberto Torres,Osasuna,0,0,1,-,-,-,1
5153,Kévin Rodrigues,Eibar,-,0,0,0,1,0,1
2305,Adrián,Osasuna,1,0,0,0,0,-,1
1884,Facundo Roncaglia,Osasuna,-,0,-,1,0,-,1
5064,Dimitrios Siovas,SD Huesca,-,0,1,0,0,0,1
1672,Jonathan Calleri,Osasuna,-,0,0,1,0,-,1
5091,Alex Berenguer,Athletic Club,-,-,-,0,1,-,1
2399,Iñaki Williams,Athletic Club,0,0,0,0,1,-,1
2378,Daniel Parejo,Villarreal,0,0,0,0,0,1,1
493,Gabriel,Valencia,1,0,-,-,-,0,1
2284,Daniel Wass,Valencia,0,0,1,0,0,0,1
5682,Gonçalo Guedes,Valencia,0,0,0,-,0,1,1
2120,Gerard Moreno,Villarreal,0,1,0,0,0,-,1
6919,Toni Villa,Real Valladolid,-,-,0,0,1,0,1
2566,Roger,Levante,-,1,0,0,0,-,1
4208,Míchel,Real Valladolid,1,0,-,0,-,-,1
2444,Bruno,Real Valladolid,0,0,0,0,-,1,1
