id,name,team,1,2,3,4,5,6,7,8,9,10,total
2460,Sergio Asenjo,Villarreal,90,90,90,90,90,90,90,90,90,90,900
2290,Iago Aspas,Celta Vigo,90,90,90,90,90,90,90,90,90,90,900
2075,Andrés Fernández,SD Huesca,90,90,90,90,90,90,90,90,90,90,900
6221,Pau Torres,Villarreal,90,90,90,90,90,90,90,90,90,90,900
2555,Remiro,Real Sociedad,90,90,90,90,90,90,90,90,90,90,900
5042,Fernando Pacheco,Alaves,90,90,90,90,90,90,90,90,90,90,900
6224,Marko Dmitrovic,Eibar,90,90,90,90,90,90,90,90,90,90,900
2320,Pedro Mosquera,SD Huesca,90,90,90,90,90,90,90,90,90,90,900
2475,Jaume,Valencia,90,90,90,90,90,90,90,90,90,90,900
8750,Rodrigo Battaglia,Alaves,90,90,82,90,90,90,90,90,90,90,892
2198,Moi Gómez,Villarreal,90,90,90,85,90,90,90,90,86,90,891
2284,Daniel Wass,Valencia,90,90,90,90,90,83,86,90,90,90,889
1588,Raúl Albiol,Villarreal,90,81,85,90,90,90,90,90,90,90,886
4120,Álex Moreno,Real Betis,90,90,90,90,90,75,90,90,90,90,885
2505,José Gayá,Valencia,90,90,90,90,90,90,68,90,90,90,878
8733,Alfonso Espino,Cadiz,90,90,90,90,90,90,90,90,46,90,856
8267,Guido Rodríguez,Real Betis,90,90,90,48,90,90,80,90,90,90,848
8710,Renato Tapia,Celta Vigo,90,82,80,78,73,90,90,90,68,90,831
5044,Víctor Laguardia,Alaves,90,90,90,85,65,42,90,90,90,90,822
2296,Mario,Villarreal,9,90,90,90,90,90,89,90,90,90,818
6151,Djené Dakonam,Getafe,90,90,90,90,90,90,90,90,90,-,810
2415,David Soria,Getafe,90,90,90,90,90,90,90,90,90,-,810
680,Thibaut Courtois,Real Madrid,90,90,90,90,90,90,90,90,90,-,810
5064,Dimitrios Siovas,SD Huesca,-,90,90,90,90,90,90,90,90,90,810
5185,Unai Simón,Athletic Club,90,90,90,90,90,90,90,90,90,-,810
2484,Iñigo Martínez,Athletic Club,90,90,90,90,90,90,90,90,90,-,810
6225,Paulo Oliveira,Eibar,90,90,90,-,90,90,90,90,90,90,810
2228,Aritz Elustondo,Real Sociedad,90,90,90,90,90,90,90,-,90,90,810
7134,Marc Cucurella,Getafe,90,90,90,90,90,90,90,90,90,-,810
7859,Sergio Herrera,Osasuna,90,90,90,90,90,90,90,90,90,-,810
5090,David García,Osasuna,90,90,90,90,90,90,90,90,90,-,810
7514,Lucas Olaza,Celta Vigo,90,90,90,90,90,89,90,-,90,90,809
3264,Mauro Arambarri,Getafe,90,90,88,90,90,90,90,90,90,-,808
1508,Jeison Murillo,Celta Vigo,-,82,90,90,90,90,90,90,90,90,802
4177,Álex Fernández,Cadiz,23,90,90,61,90,87,90,90,90,90,801
2453,Marc Bartra,Real Betis,90,90,90,90,90,90,90,80,90,-,800
2183,Rubén García,Osasuna,88,90,90,90,82,90,90,69,90,-,779
2571,Sergio Canales,Real Betis,90,90,90,90,90,59,90,90,89,-,778
5074,Kike García,Eibar,90,87,90,76,26,90,74,83,74,88,778
2125,Ander Capa,Athletic Club,59,90,86,90,90,90,90,90,90,-,775
2193,Cala,Cadiz,90,46,90,90,90,90,90,90,90,-,766
8735,Salvi Sánchez,Cadiz,80,81,85,29,79,90,90,62,90,74,760
6956,David Ferreiro,SD Huesca,66,73,90,82,90,90,56,43,83,86,759
2589,Rafa Mir,SD Huesca,90,53,90,20,90,90,90,90,90,56,759
7385,Javi Galán,SD Huesca,90,90,90,90,90,13,71,43,90,90,757
5128,Oier,Osasuna,90,84,90,83,90,90,60,75,90,-,752
2110,Rubén Duarte,Alaves,90,43,90,78,86,-,90,90,90,90,747
1732,Nolito,Celta Vigo,90,90,72,26,81,90,63,67,90,71,740
565,Nyom,Getafe,90,90,88,90,90,68,55,90,61,-,722
5712,Diego Carlos,Sevilla,90,90,90,90,90,90,90,90,-,-,720
652,Kieran Trippier,Atletico Madrid,90,90,90,90,90,90,90,90,-,-,720
8890,Edgar Badía,Elche,90,90,90,90,90,90,90,90,-,-,720
2261,Jan Oblak,Atletico Madrid,90,90,90,90,90,90,90,90,-,-,720
6950,Jorge Pulido,SD Huesca,90,90,90,90,90,90,90,90,-,-,720
4193,Aitor Fernández,Levante,90,90,90,90,-,90,90,90,90,-,720
2245,Raphael Varane,Real Madrid,90,90,90,90,90,90,-,90,90,-,720
8891,Gonzalo Verdú,Elche,90,90,90,90,90,90,90,90,-,-,720
6124,Maxi Gómez,Valencia,90,90,90,90,90,90,-,90,90,-,720
5109,Rui Silva,Granada,90,90,90,90,90,90,90,-,90,-,720
2444,Bruno,Real Valladolid,90,90,90,90,-,90,-,90,90,90,720
6954,Juan Camilo Hernández,Getafe,81,62,64,61,89,90,90,90,90,-,717
7276,Robin Le Normand,Real Sociedad,-,90,90,90,90,90,90,90,87,-,717
8771,Yunus Musah,Valencia,90,86,24,74,-,83,86,90,90,90,713
2065,Vicente Iborra,Villarreal,9,29,43,90,90,90,90,90,90,90,711
7781,Frenkie de Jong,Barcelona,90,90,90,80,90,90,90,90,-,-,710
866,Joselu,Alaves,90,90,90,-,90,90,74,31,83,71,709
2370,Karim Benzema,Real Madrid,90,90,87,90,90,90,90,81,-,-,708
8737,Jens Jonsson,Cadiz,23,46,72,72,90,87,90,81,72,74,707
2194,Damián Suárez,Getafe,90,90,75,90,90,90,90,-,90,-,705
8893,Josan,Elche,90,90,90,85,90,79,90,90,-,-,704
2378,Daniel Parejo,Villarreal,90,90,90,90,90,90,-,-,74,90,704
452,Takashi Inui,Eibar,61,90,86,76,90,72,90,47,90,-,702
2380,Paco Alcácer,Villarreal,81,88,47,86,72,82,89,83,73,-,701
5304,Mikel Merino,Real Sociedad,90,90,90,90,90,90,27,-,47,86,700
2120,Gerard Moreno,Villarreal,90,90,85,85,90,-,-,83,86,90,699
5212,Sergi Guardiola,Real Valladolid,90,90,90,16,67,75,90,-,90,90,698
2212,Sergio Álvarez,Eibar,90,90,-,67,90,90,90,90,90,1,698
2308,Denis Suárez,Celta Vigo,-,69,60,90,90,26,90,90,90,90,695
2092,Gerard Piqué,Barcelona,90,90,90,90,90,90,90,65,-,-,695
6368,Mathías Olivera,Getafe,90,90,90,80,90,90,74,-,90,-,694
2399,Iñaki Williams,Athletic Club,31,88,62,79,90,82,90,90,77,-,689
2285,Fabián Orellana,Real Valladolid,90,90,58,63,67,-,90,90,68,70,686
2186,Morales,Levante,90,86,79,69,64,62,61,90,82,-,683
2088,Edgar Méndez,Alaves,90,89,89,78,90,64,87,60,33,-,680
