id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,total
7781,Frenkie de Jong,Barcelona,1.9389,0.5277,0.1367,0.3177,0.9184,0.6472,1.0836,0.5059,1.5486,0.1549,0.2985,0.4862,0.9021,1.4981,0.4913,0.4728,1.0195,0.1374,1.3238,0.6468,0.1956,1.1079,0.4943,-,16.8539
2093,Jordi Alba,Barcelona,2.0239,0.4463,0.0761,-,0.0,0.5702,0.7317,0.1793,0.7684,0.5155,0.6986,0.5103,0.8135,1.1975,-,1.5403,0.5036,0.1998,0.6341,0.6468,0.0,-,0.4442,-,12.5001
5050,Clement Lenglet,Barcelona,2.1735,0.0,-,0.0983,0.9535,0.4035,1.1701,0.1556,1.0947,0.2751,0.3279,0.0,0.0466,1.364,0.3664,1.5148,0.6139,-,-,0.0,0.072,1.2094,0.488,-,12.3273
8935,Pedri,Barcelona,0.5405,0.4463,0.0232,0.0582,0.3627,0.4962,0.5001,0.1079,0.7702,0.4569,0.2464,0.5103,0.6954,1.6307,0.0872,0.8428,0.4407,0.2538,0.5663,1.1582,0.1621,0.9472,0.8482,-,12.1515
2097,Lionel Messi,Barcelona,1.7039,0.4463,0.0,0.0582,0.9461,0.2331,1.047,0.1024,1.2138,0.1943,0.3719,0.6137,0.2133,1.2182,-,0.7166,0.7605,0.1132,-,0.0375,0.2632,1.2599,0.3996,-,11.9127
2095,Sergio Busquets,Barcelona,1.3121,0.5277,0.0761,0.0,0.9526,0.557,0.8496,-,0.333,0.5903,0.2702,0.6253,0.0548,0.0959,0.1779,1.38,1.0564,0.4307,1.2217,-,0.4588,0.1512,0.3662,-,11.4875
2378,Daniel Parejo,Villarreal,0.6195,1.0555,0.0387,0.7567,0.1902,0.2616,-,-,0.5881,0.2704,0.1541,0.2555,0.5171,2.0157,0.61,0.1944,0.7343,0.2027,0.1179,0.341,0.0869,0.8786,0.1634,0.0,10.0523
8710,Renato Tapia,Celta Vigo,0.0,1.0372,0.0,0.093,0.0,0.0816,0.0453,0.5806,0.802,0.5957,2.4788,0.1122,0.3742,0.9237,0.0,0.5978,0.0,-,0.4196,0.0,0.0,0.6013,1.0375,0.0,9.7805
2290,Iago Aspas,Celta Vigo,0.0599,0.2333,0.0334,0.204,0.0119,0.4709,0.459,0.4701,0.6914,0.6991,2.4958,0.5493,0.108,0.1118,0.0239,0.6068,0.0,-,-,-,0.1225,1.0241,1.0631,-,9.4383
6221,Pau Torres,Villarreal,0.0397,0.5028,0.0387,0.6446,0.0104,0.2247,0.5693,0.0738,0.6585,0.4799,0.027,0.118,0.8472,1.7757,0.9814,0.0416,0.7196,1.1065,0.0,0.0551,0.0994,0.1624,0.1409,0.0,9.3172
2308,Denis Suárez,Celta Vigo,-,0.4092,0.0,0.1229,0.0541,0.0,0.0,0.5106,1.2201,0.0213,1.5424,0.4803,0.5139,0.641,0.0,1.0554,0.289,0.0985,0.5182,-,-,0.0804,1.4589,0.0248,9.041
5304,Mikel Merino,Real Sociedad,0.0,0.0767,0.0789,0.1612,0.3359,0.1519,0.1152,-,0.5135,0.0414,0.0,0.1144,0.0,0.0968,0.1697,0.0286,0.6619,0.0388,0.3984,1.2974,0.8151,1.6262,0.3638,1.3848,8.4706
2250,Luka Modric,Real Madrid,0.1031,0.3203,0.6251,1.1143,0.1665,0.7616,0.3747,0.3436,0.0,0.0,0.1554,0.0,1.0752,0.6182,-,0.5264,0.1056,0.0754,0.5608,0.0,0.3464,0.5684,0.5011,0.0834,8.4255
