id,name,team,1,2,3,4,5,total
6238,Ignatius Ganago,Lens,0.9477,0.5011,0.4566,1.2326,0.4826,3.6206
3530,Andy Delort,Montpellier,-,0.1738,0.8432,0.9228,1.0068,2.9466
5988,Ibrahima Niane,Metz,0.1109,0.6823,0.0764,0.8553,0.6802,2.4051
3243,Gaëtan Charbonnier,Brest,0.0,1.2956,0.1159,0.0784,0.5372,2.0271
3210,Wissam Ben Yedder,Monaco,0.4424,0.0743,0.1501,0.4212,0.8235,1.9115
8653,Adrian Grbic,Lorient,1.1465,0.0729,0.0772,0.5446,0.0,1.8412
7142,Moussa Dembele,Lyon,0.8393,0.2409,0.0609,0.659,0.039,1.8391
7169,Moses Simon,Nantes,0.0146,0.4566,0.7032,0.357,0.066,1.5974
5657,Karl Toko Ekambi,Lyon,0.5251,0.4719,0.5923,0.0,-,1.5893
942,Florian Thauvin,Marseille,0.0447,0.4687,1.0016,0.0168,0.0539,1.5857
8669,Simon Banza,Lens,0.7105,0.6899,-,0.0,0.1762,1.5766
5724,Irvin Cardona,Brest,0.0486,0.2308,0.6631,0.4821,0.0,1.4246
7776,Kévin Denkey,Nimes,0.758,0.214,0.4183,-,0.0,1.3903
6420,Romain Faivre,Brest,0.1333,0.1185,0.5082,0.1839,0.4281,1.372
7980,Adil Aouchiche,Saint-Etienne,0.0851,0.1775,0.1333,0.9215,0.0417,1.3591
3738,Sehrou Guirassy,Rennes,-,0.1061,0.7357,0.0945,0.4162,1.3525
3348,Florian Sotoca,Lens,0.0638,0.5265,0.0344,0.2988,0.3978,1.3213
3781,Denis Bouanga,Saint-Etienne,0.5921,0.0169,0.653,0.0211,0.0,1.2831
2199,Pablo Sarabia,Paris Saint Germain,0.0,0.446,0.8256,0.0,-,1.2716
5980,Stéphane Bahoken,Angers,-,0.1832,0.76,0.1028,0.1963,1.2423
5979,Idriss Saadi,Strasbourg,0.0,0.0,0.0,1.1789,0.0563,1.2352
1513,Mauro Icardi,Paris Saint Germain,-,-,0.685,0.529,-,1.214
7224,Boulaye Dia,Reims,1.0179,-,0.0661,0.1292,-,1.2132
3746,Gaetan Laborde,Montpellier,0.1936,0.74,0.0438,0.0119,0.1975,1.1868
6935,Naif Aguerd,Rennes,0.0,0.3514,0.4385,0.0242,0.3557,1.1698
7746,Hwang Ui-Jo,Bordeaux,0.5644,0.5137,0.0,0.0,0.0897,1.1678
3800,Steve Mounie,Brest,-,-,0.787,0.1595,0.2167,1.1632
3795,Adrien Hunou,Rennes,-,0.8062,0.0,-,0.2954,1.1016
6902,Toma Basic,Bordeaux,0.0158,0.5088,0.0,0.0,0.5718,1.0964
5786,Yoane Wissa,Lorient,0.5002,0.0435,0.0,0.363,0.1832,1.0899
5587,Josh Maja,Bordeaux,0.0,0.9357,0.0,0.0336,0.0697,1.039
6560,Aurelien Tchouameni,Monaco,0.4132,0.0351,0.5549,0.0139,0.0171,1.0342
