id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
555,Memphis Depay,Lyon,6,3,3,2,1,1,2,5,1,4,0,1,5,0,4,3,6,4,2,4,3,1,3,4,0,4,4,5,81
3781,Denis Bouanga,Saint-Etienne,2,2,6,1,0,1,2,2,2,8,3,3,1,2,3,2,4,2,2,-,0,5,6,2,5,4,0,2,72
3746,Gaetan Laborde,Montpellier,3,7,1,1,2,5,1,0,3,2,4,5,2,3,2,2,4,2,1,0,0,3,2,7,1,3,2,2,70
6401,Amine Gouiri,Nice,3,0,1,4,3,3,3,0,3,0,5,4,3,4,1,-,5,2,2,1,1,0,4,4,4,2,5,3,70
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,6,3,4,8,2,4,-,2,4,1,1,5,0,2,1,5,3,4,2,3,1,6,0,2,-,69
3348,Florian Sotoca,Lens,2,1,1,4,4,4,3,3,2,0,1,0,1,-,5,2,3,4,1,3,0,3,7,0,4,2,4,3,67
5657,Karl Toko Ekambi,Lyon,6,2,2,0,-,2,3,2,3,4,-,3,5,0,1,1,2,-,2,3,3,1,2,3,5,6,3,3,67
5757,Farid Boulaya,Metz,3,-,2,4,4,-,2,3,3,2,2,4,3,1,3,2,2,-,-,2,4,2,5,2,3,3,0,2,63
3210,Wissam Ben Yedder,Monaco,1,1,2,4,2,3,2,4,4,4,-,3,1,2,0,1,0,2,2,6,1,4,5,0,4,0,2,1,61
3800,Steve Mounie,Brest,-,-,5,2,3,1,3,1,1,1,3,0,1,4,0,4,2,1,1,7,2,4,0,2,0,7,2,3,60
3530,Andy Delort,Montpellier,-,3,3,6,3,2,0,3,1,2,6,2,-,3,1,4,3,5,2,5,-,-,-,3,2,-,-,-,59
5733,Houssem Aouar,Lyon,-,2,4,-,4,4,1,2,2,2,-,-,3,1,2,3,4,1,2,1,-,1,4,2,5,2,2,4,58
8702,Tinotenda Kadewere,Lyon,-,2,1,1,0,4,3,1,1,2,3,1,2,2,5,1,3,2,3,3,5,0,0,1,4,2,0,0,52
6905,Ludovic Ajorque,Strasbourg,1,1,0,0,2,1,2,2,2,-,3,1,3,4,1,1,1,7,3,3,4,1,2,-,1,1,2,2,51
7746,Hwang Ui-Jo,Bordeaux,2,2,0,0,2,1,1,0,2,-,-,3,5,1,3,2,3,0,3,5,3,2,2,1,2,2,0,3,50
3786,Mathieu Cafaro,Reims,0,1,2,1,-,0,1,3,3,4,4,3,2,-,2,1,-,1,3,1,2,1,3,5,2,-,4,0,49
6420,Romain Faivre,Brest,3,4,5,2,3,1,1,0,2,1,2,1,1,1,1,0,2,5,5,0,2,1,0,3,1,1,0,0,48
7224,Boulaye Dia,Reims,4,-,1,3,2,2,-,5,2,3,2,1,1,1,2,0,3,1,2,1,2,1,2,2,2,1,0,1,47
7747,Mama Baldé,Dijon,-,-,-,-,6,2,4,5,3,3,4,3,0,-,-,0,5,1,1,0,1,0,1,2,2,-,1,3,47
6864,Renaud Ripart,Nimes,0,2,1,2,2,4,1,0,3,1,2,0,3,0,1,1,3,1,2,0,2,3,2,2,2,1,1,5,47
4773,Benjamin Bourigeaud,Rennes,0,1,1,4,0,5,4,2,0,1,1,5,1,0,1,1,3,5,4,1,-,2,0,2,1,2,0,-,47
942,Florian Thauvin,Marseille,1,2,4,1,2,0,3,4,0,4,2,2,0,3,1,5,2,2,0,1,2,1,0,0,-,4,1,-,47
3749,Jonathan Bamba,Lille,1,2,4,1,2,0,2,2,5,2,3,1,2,1,1,0,1,0,2,5,0,2,1,2,4,1,0,0,47
8636,Jonathan Christian David,Lille,0,1,2,1,3,2,2,0,0,0,7,0,2,1,1,1,0,0,0,2,4,1,2,5,1,1,1,7,47
8637,Burak Yilmaz,Lille,0,0,2,1,3,3,2,5,2,7,-,3,3,5,0,2,1,2,4,-,-,-,-,-,-,-,-,-,45
2099,Neymar,Paris Saint Germain,-,6,-,-,4,5,-,7,-,-,1,5,-,0,-,-,-,-,-,1,8,5,-,2,-,-,-,-,44
6863,Téji Savanier,Montpellier,2,4,4,1,4,2,0,-,-,2,0,2,5,0,2,-,-,-,-,1,2,-,0,3,3,1,3,3,44
