id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
3487,Ismael Traoré,Angers,90,90,90,90,90,90,90,90,90,90,90,990
8635,Sven Botman,Lille,90,90,90,90,90,90,90,90,90,90,90,990
8244,Dylan Bronn,Metz,90,90,90,90,90,90,90,90,90,90,90,990
4883,Bruno Ecuele Manga,Dijon,90,90,90,90,90,90,90,90,90,90,90,990
3430,Paul Nardi,Lorient,90,90,90,90,90,90,90,90,90,90,90,990
3271,Jérémy Morel,Lorient,90,90,90,90,90,90,90,90,90,90,90,990
3269,Anthony Lopes,Lyon,90,90,90,90,90,90,90,90,90,90,90,990
6935,Naif Aguerd,Rennes,90,90,90,90,90,90,90,90,90,90,90,990
3338,Daniel Congré,Montpellier,90,90,90,90,90,90,90,90,90,90,90,990
7551,Mohamed Simakan,Strasbourg,90,90,90,90,90,90,90,90,90,90,90,990
3251,Paul Bernardoni,Angers,90,90,90,90,90,90,90,90,90,90,90,990
3218,Benoit Costil,Bordeaux,90,90,90,90,90,90,90,90,90,90,90,990
3518,Jessy Moulin,Saint-Etienne,90,90,90,90,90,90,90,90,90,90,90,990
5614,Baptiste Reynet,Nimes,90,90,90,90,90,90,90,90,90,90,90,990
5984,Alexandre Oukidja,Metz,90,90,90,90,90,90,90,90,90,90,90,990
3737,Mike Maignan,Lille,90,90,90,90,90,90,90,90,90,90,90,990
7728,Gautier Larsonneur,Brest,90,90,90,90,90,90,90,90,90,90,90,990
8049,Jean-Kevin Duverne,Brest,90,90,90,90,90,90,90,90,90,90,90,990
3749,Jonathan Bamba,Lille,90,90,90,90,90,90,90,90,90,90,89,989
6452,Mahdi Camara,Saint-Etienne,90,90,90,90,90,90,90,90,86,90,90,986
6019,Angelo Fulgini,Angers,90,90,90,90,90,90,90,90,87,90,83,980
5786,Yoane Wissa,Lorient,90,74,90,90,90,90,90,90,90,90,90,974
7240,Benoit Badiashile Mukinayi,Monaco,90,90,90,90,90,90,90,90,72,90,90,972
