id,name,team,1,2,3,4,5,6,7,8,9,total
555,Memphis Depay,Lyon,0.2919,0.0,0.1206,0.4488,0.0764,0.6131,3.0785,0.1511,0.0507,4.8311
2199,Pablo Sarabia,Paris Saint Germain,0.0,0.6778,0.0,0.0,0.3304,0.4392,1.5993,1.1872,0.3777,4.6116
3553,Ángel Di María,Paris Saint Germain,-,0.0113,0.9824,1.5566,0.4822,-,-,-,-,3.0325
942,Florian Thauvin,Marseille,1.2325,0.0,0.6644,0.1178,0.0875,0.3315,0.0179,0.464,-,2.9156
2549,Gaël Kakuta,Lens,0.172,0.6454,0.1169,0.9797,0.7404,0.0884,0.1082,-,-,2.851
6401,Amine Gouiri,Nice,0.0,0.0,0.0582,0.4921,0.1978,0.5182,0.0,0.1355,0.989,2.3908
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,0.0,1.158,0.6687,0.1036,0.0,0.3915,2.3218
5743,Randal Kolo Muani,Nantes,-,0.4566,0.6248,0.0642,0.112,0.0226,0.0722,0.7216,-,2.074
3412,Léo Dubois,Lyon,0.239,0.342,0.4645,0.4977,0.2938,0.1277,0.0692,0.0,0.0173,2.0512
2099,Neymar,Paris Saint Germain,-,0.0,-,-,0.418,0.3998,-,1.1458,-,1.9636
3721,Romain Del Castillo,Rennes,0.6031,0.0,0.3309,0.0242,0.4001,0.0,0.0,0.0607,0.4046,1.8236
5657,Karl Toko Ekambi,Lyon,0.118,0.1131,0.0,0.0,-,0.4623,0.0,0.9209,0.0292,1.6435
6006,Ruben Aguilar,Monaco,0.4149,0.0,0.1197,0.0796,0.0832,0.0438,0.0134,0.0102,0.8726,1.6374
6884,Remi Oudin,Bordeaux,0.0,0.7841,0.0,0.1396,0.021,0.5576,0.0859,0.0,0.026,1.6142
6019,Angelo Fulgini,Angers,0.0999,0.0545,0.3771,0.1286,0.0808,0.3694,0.0,0.4427,0.0553,1.6083
3696,Morgan Sanson,Marseille,0.0447,-,0.8607,0.5629,0.1284,0.0,0.0,0.0,-,1.5967
3786,Mathieu Cafaro,Reims,0.0913,0.0,0.0,0.0,-,0.0,0.0,1.466,0.0,1.5573
3746,Gaetan Laborde,Montpellier,0.0,0.0,0.0598,0.8315,0.488,0.0,0.0,0.0052,0.1085,1.493
8310,Mitchel Bakker,Paris Saint Germain,0.0,-,0.0,0.0868,0.0,0.3596,0.5826,0.455,0.0,1.484
3210,Wissam Ben Yedder,Monaco,0.0329,0.0,0.4924,0.0488,0.0,0.0,0.2039,0.0651,0.6319,1.475
8651,Enzo Le Fée,Lorient,1.0803,0.0712,0.0,0.2439,0.0,0.0624,-,-,0.0,1.4578
1254,Alessandro Florenzi,Paris Saint Germain,-,1.2391,-,0.0,0.0,0.0,0.2127,-,-,1.4518
83,Kevin Volland,Monaco,-,-,0.0,0.0,1.2141,0.0,0.1821,0.0,0.0307,1.4269
7012,Gelson Martins,Monaco,0.1309,0.0,0.0,0.0,-,0.1095,0.065,0.0,1.1188,1.4242
7729,Julien Faussurier,Brest,0.0732,0.7549,0.2212,0.0442,-,-,0.0917,0.185,0.0396,1.4098
6420,Romain Faivre,Brest,0.2271,0.0,0.1157,0.0322,0.5681,0.1135,0.1978,0.1271,0.0,1.3815
8026,Raphinha,Rennes,0.0,0.3735,0.0778,0.0,0.2954,0.5814,-,-,-,1.3281
3348,Florian Sotoca,Lens,0.8885,0.0,0.4007,0.0,0.0287,0.0,0.0,-,-,1.3179
3278,Maxwel Cornet,Lyon,0.3821,0.1347,0.6024,0.0,0.0,0.155,0.0,0.0412,0.0,1.3154
5745,Matthieu Udol,Metz,0.2705,0.0924,-,0.6151,0.2819,0.0491,0.0,0.0,0.0,1.309
3495,Pierrick Capelle,Angers,0.0718,0.0193,0.0,0.1403,0.6188,0.3981,0.0556,-,-,1.3039
2100,Rafinha,Paris Saint Germain,-,-,-,-,-,-,0.7496,0.3908,0.1469,1.2873
3530,Andy Delort,Montpellier,-,0.6485,0.0,0.0,0.0,0.1687,0.0367,0.0,0.3795,1.2334
8637,Burak Yilmaz,Lille,0.0,0.0229,0.2352,0.0166,0.0,0.8347,0.0,0.0,0.0715,1.1809
6560,Aurelien Tchouameni,Monaco,0.8261,0.0,0.2265,0.0,0.0409,-,0.0,0.0654,0.0,1.1589
7762,Jean-Ricner Bellegarde,Strasbourg,0.0,0.0,0.0,0.4064,0.0,0.1282,0.1843,0.0,0.4336,1.1525
6872,Mehmet Zeki Çelik,Lille,0.0152,0.0,0.0,0.0,0.6596,0.0817,0.2431,0.0,0.1497,1.1493
3243,Gaëtan Charbonnier,Brest,0.0,0.4493,0.4537,0.027,0.0,0.0,0.0,0.1311,0.0457,1.1068
3749,Jonathan Bamba,Lille,0.0228,0.0,0.0766,0.1614,0.0,0.2997,0.5163,0.014,0.0134,1.1042
5686,Digbo Maiga,Metz,0.0,0.0,0.0699,0.0,0.4254,0.0824,-,0.0273,0.4628,1.0678
6239,Junior Sambia,Montpellier,0.0,0.1763,0.0,0.4285,0.4597,0.0,0.0,-,0.0,1.0645
8749,Lamine Gueye,Metz,-,0.0,-,-,-,-,1.0498,0.0,0.0,1.0498
536,Dimitri Payet,Marseille,-,0.4134,0.3797,0.0769,0.1702,0.0,-,-,-,1.0402
8689,Yvan Neyou,Saint-Etienne,0.0,0.0,0.0565,0.9215,0.0,0.0,-,0.0,0.0575,1.0355
5757,Farid Boulaya,Metz,0.1182,-,0.4313,0.3068,0.0,-,0.0,0.1552,0.0,1.0115
1513,Mauro Icardi,Paris Saint Germain,-,-,0.1129,0.0771,0.7255,0.0946,-,-,-,1.0101
4773,Benjamin Bourigeaud,Rennes,0.0251,0.0232,0.4385,0.0,0.3013,0.0119,0.0,0.0389,0.168,1.0069
5655,Flavien Tait,Rennes,0.0,-,0.5069,0.0521,0.0216,0.0,0.3013,0.1073,-,0.9892
3738,Sehrou Guirassy,Rennes,-,0.0,0.0,0.0628,0.1502,0.5337,0.0,0.0358,0.2061,0.9886
6012,Luiz Araujo,Lille,0.0,0.0,0.0405,0.0244,0.0546,0.0,0.087,0.686,0.0783,0.9708
6863,Téji Savanier,Montpellier,0.0,0.1566,0.1048,0.2125,0.3606,0.1223,0.0,-,-,0.9568
6697,Armand Lauriente,Lorient,-,-,-,-,-,-,0.8686,0.0265,0.0562,0.9513
5978,Dmitri Lienard,Strasbourg,-,0.0,0.1265,0.423,0.0508,0.132,0.2151,-,-,0.9474
5975,Kenny Lala,Strasbourg,0.0,0.0102,0.475,0.1282,0.076,0.2287,0.0,0.0,0.0263,0.9444
3561,Romain Hamouma,Saint-Etienne,0.234,0.0,0.0,0.0,0.0825,0.0,0.3665,0.0076,0.2349,0.9255
3314,Franck Honorat,Brest,0.0486,0.2399,-,0.5262,0.0524,0.0,0.0583,0.0,0.0,0.9254
7773,Zinedine Ferhat,Nimes,0.1376,0.3113,0.0,0.05,0.0245,0.3739,-,-,-,0.8973
4849,Sada Thioub,Angers,0.5034,0.1093,0.0,0.1506,0.077,0.0,0.0,0.0392,0.0,0.8795
8636,Jonathan Christian David,Lille,0.0,0.0379,0.0814,0.5921,0.1611,0.0,0.0,0.0,0.0,0.8725
3244,Nicolas de Preville,Bordeaux,0.5752,0.0,0.0,0.0,0.0949,0.1701,0.0,0.0,0.0181,0.8583
7178,Valon Berisha,Reims,0.0,0.02,0.0,0.1371,0.0368,0.0,-,0.2114,0.4475,0.8528
3729,Hassane Kamara,Nice,0.0679,0.0,0.0987,0.1381,0.0695,0.4521,0.0,0.0,0.0213,0.8476
8023,Mounir Chouiar,Dijon,0.0969,0.0,-,0.0,0.0719,0.0,0.3815,0.2144,0.0584,0.8231
6905,Ludovic Ajorque,Strasbourg,0.1045,0.0,0.0578,0.097,0.32,0.0871,0.0371,0.118,0.0,0.8215
7562,Eric Junior Dina Ebimbe,Dijon,0.1319,0.0,0.082,0.0,0.0,0.0836,0.1076,0.3362,0.0674,0.8087
8278,Papa Ndiaga Yade,Metz,0.038,0.0,-,0.635,0.1256,0.0,0.0,-,0.0,0.7986
3370,Issiaga Sylla,Lens,0.2524,0.5265,0.0,0.0127,0.0,-,-,-,-,0.7916
6061,Quentin Boisgard,Lorient,0.4962,0.0,0.0,0.0,-,-,0.0447,0.0506,0.1902,0.7817
3463,Romain Philippoteaux,Nimes,0.7451,0.0145,0.0176,-,-,-,-,-,-,0.7772
7551,Mohamed Simakan,Strasbourg,0.0,0.0,0.0,0.6537,0.0,0.0361,0.0808,0.0,0.0,0.7706
3800,Steve Mounie,Brest,-,-,0.0,0.0898,0.0,0.0,0.0332,0.0871,0.5482,0.7583
3463,Romain Philippoteaux,Brest,0.7451,-,-,-,0.0,-,0.0122,0.0,0.0,0.7573
7278,Imran Louza,Nantes,0.0311,0.5232,-,-,0.0,0.0,0.2028,0.0,-,0.7571
6500,Romain Perraud,Brest,-,0.075,0.5065,0.0587,0.0507,0.0,0.0084,0.0156,0.0354,0.7503
5733,Houssem Aouar,Lyon,-,0.0,0.0,-,0.0635,0.0,0.0,0.4613,0.2201,0.7449
3552,Marco Verratti,Paris Saint Germain,0.118,0.0,-,0.0545,0.5105,0.0536,-,-,-,0.7366
5228,Renato Sanches,Lille,0.0,-,-,0.0,0.0,0.0,0.6106,0.0962,0.0273,0.7341
3357,Djibril Sidibe,Monaco,-,0.0351,-,0.283,-,-,0.014,0.3911,0.0,0.7232
