id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,1.192,0.7418,0.6229,1.4317,0.715,1.21,-,1.294,7.2074
5657,Karl Toko Ekambi,Lyon,0.5251,0.4719,0.5923,0.0,-,0.6335,1.9384,0.9004,0.2868,0.7221,-,6.0705
7224,Boulaye Dia,Reims,1.0179,-,0.0661,0.8893,0.0559,0.1826,-,2.5997,0.1942,0.9175,0.0721,5.9953
3210,Wissam Ben Yedder,Monaco,0.4424,0.0743,0.1501,0.4212,0.8235,0.4417,0.8278,1.0204,0.9327,0.571,-,5.7051
555,Memphis Depay,Lyon,2.1776,0.1515,0.831,0.087,0.0551,0.0916,0.5981,0.6679,0.0171,0.1773,0.0,4.8542
5786,Yoane Wissa,Lorient,0.5002,0.0435,0.7601,0.363,0.1832,0.0,0.9313,0.472,0.9123,0.4431,0.1853,4.794
2099,Neymar,Paris Saint Germain,-,1.0125,-,-,0.4456,1.1447,-,2.0076,-,-,0.0583,4.6687
8637,Burak Yilmaz,Lille,0.0,0.0,0.0898,0.5321,0.8638,0.3496,0.4286,0.4609,0.0477,1.8642,-,4.6367
3530,Andy Delort,Montpellier,-,0.1738,0.8432,0.9228,1.0068,0.0847,0.0,0.0738,0.0359,0.6729,0.7258,4.5397
7142,Moussa Dembele,Lyon,0.8393,0.2409,0.0609,0.659,0.039,0.0,0.7433,0.8106,0.0,0.5185,0.0,3.9115
6905,Ludovic Ajorque,Strasbourg,0.0432,0.0705,0.0,0.0,0.8017,0.1282,0.0761,0.3102,1.1937,-,1.0922,3.7158
6238,Ignatius Ganago,Lens,0.9477,0.5011,0.4566,1.2326,0.4826,0.0,-,-,0.0937,-,-,3.7143
2549,Gaël Kakuta,Lens,0.8037,0.0,0.8236,1.1057,0.1163,0.76,0.0289,0.0477,0.0,-,-,3.6859
8702,Tinotenda Kadewere,Lyon,-,0.1973,0.0646,0.0622,0.0,0.3359,0.6683,0.1103,0.0173,1.2775,0.8736,3.607
3781,Denis Bouanga,Saint-Etienne,0.5921,0.777,0.653,0.0211,0.0,0.035,0.0455,0.0569,0.1873,1.0689,0.11,3.5468
5988,Ibrahima Niane,Metz,0.1109,0.6823,0.0764,0.8553,0.6802,1.0446,-,-,-,-,-,3.4497
5980,Stéphane Bahoken,Angers,-,0.1832,1.5201,0.1028,0.1963,0.4013,-,0.4785,0.0,0.4307,0.1116,3.4245
7747,Mama Baldé,Dijon,-,-,-,-,0.6418,0.142,0.5157,0.9769,0.1137,0.7043,0.2893,3.3837
2199,Pablo Sarabia,Paris Saint Germain,0.0,0.446,0.8256,0.0,0.5729,0.0,0.3902,0.1755,0.8558,-,0.0707,3.3367
83,Kevin Volland,Monaco,-,-,0.1185,0.0,0.0,0.0,0.0,0.0,1.5881,0.1642,1.3656,3.2364
5733,Houssem Aouar,Lyon,-,0.3602,0.1072,-,0.2769,0.9633,0.0827,0.7757,0.0743,0.4602,-,3.1005
3348,Florian Sotoca,Lens,0.0638,0.5265,0.0344,0.2988,0.3978,0.7287,0.1238,0.6903,0.1719,-,-,3.036
8653,Adrian Grbic,Lorient,1.9065,0.0729,0.0772,0.5446,0.0,0.0442,0.0682,0.0,0.0726,0.0,0.159,2.9452
1513,Mauro Icardi,Paris Saint Germain,-,-,0.685,0.529,1.3685,0.275,-,-,-,-,-,2.8575
3243,Gaëtan Charbonnier,Brest,0.0,1.2956,0.1159,0.0784,0.5372,0.4448,0.022,0.2882,0.0,0.0,0.0,2.7821
3738,Sehrou Guirassy,Rennes,-,0.1061,0.7357,0.0945,0.4162,0.5977,0.0,0.0,0.1847,0.062,0.5766,2.7735
5676,Opa Nguette,Metz,0.0,0.0,0.0405,0.6151,0.022,0.2442,0.9891,0.066,0.0,0.7601,0.0,2.737
1304,Moise Kean,Paris Saint Germain,-,-,-,-,-,-,0.5708,1.2165,0.0,0.4926,0.4381,2.718
3795,Adrien Hunou,Rennes,-,0.8062,0.0,-,0.2954,-,0.0,0.6828,0.0704,0.0402,0.7704,2.6654
6401,Amine Gouiri,Nice,0.1596,0.0,0.0409,0.1746,0.1769,0.2108,1.4385,0.0,0.4548,0.0,-,2.6561
3800,Steve Mounie,Brest,-,-,0.787,0.1595,0.9768,0.1088,0.2248,0.0578,0.0396,0.0822,0.1828,2.6193
942,Florian Thauvin,Marseille,0.0447,0.4687,1.0016,0.0168,0.0539,0.0,0.8366,0.1948,0.0,-,-,2.6171
5724,Irvin Cardona,Brest,0.0486,0.2308,0.6631,0.4821,0.0,-,0.0583,0.0445,0.0,0.5902,0.4256,2.5432
8025,Kasper Dolberg,Nice,0.0,1.1829,0.1502,-,0.0783,0.6461,-,0.3991,0.0213,0.0278,-,2.5057
7169,Moses Simon,Nantes,0.0146,0.4566,0.7032,0.357,0.066,0.0,0.1591,0.7216,-,-,-,2.4781
8669,Simon Banza,Lens,0.7105,0.6899,-,0.0,0.1762,0.1171,0.0654,0.703,0.0,-,-,2.4621
3746,Gaetan Laborde,Montpellier,0.1936,0.74,0.0438,0.0119,0.1975,0.313,0.0367,0.0,0.3959,0.2336,0.2941,2.4601
5743,Randal Kolo Muani,Nantes,-,0.1239,0.075,0.1049,0.1343,0.1893,1.0756,0.0793,0.0188,0.6275,-,2.4286
