id,name,team,1,2,3,4,5,6,7,8,total
8310,Mitchel Bakker,Paris Saint Germain,0.0,-,1.0265,0.3418,0.9942,0.7946,0.8279,1.3717,5.3567
2099,Neymar,Paris Saint Germain,-,1.0549,-,-,1.9374,1.1294,-,1.1435,5.2652
552,Ander Herrera,Paris Saint Germain,0.1385,1.0732,1.3674,0.0,0.4255,0.1411,0.5039,1.1058,4.7554
668,Idrissa Gueye,Paris Saint Germain,0.1629,1.905,0.8107,0.1052,-,0.1411,1.4385,-,4.5634
3552,Marco Verratti,Paris Saint Germain,0.2238,1.4893,-,0.1375,0.8182,1.669,-,-,4.3378
3599,Presnel Kimpembe,Paris Saint Germain,0.1385,1.3278,0.4472,0.214,1.0341,0.1143,0.9169,-,4.1928
3412,Léo Dubois,Lyon,0.1551,0.1322,0.0293,0.8036,0.0865,0.1514,1.5016,1.0253,3.885
152,Julian Draxler,Paris Saint Germain,-,0.0485,0.5417,0.1412,1.2865,0.8269,-,0.9606,3.8054
555,Memphis Depay,Lyon,0.7912,0.0168,0.0,0.6827,0.1458,0.0,1.5016,0.5165,3.6546
1254,Alessandro Florenzi,Paris Saint Germain,-,0.81,-,0.0868,0.9536,0.6324,1.0953,-,3.5781
7365,Lucas Paquetá,Lyon,-,-,-,-,-,-,2.9022,0.5421,3.4443
8049,Jean-Kevin Duverne,Brest,0.0,1.0405,0.6422,0.3469,0.6367,0.0,0.3446,0.2646,3.2755
3269,Anthony Lopes,Lyon,0.085,0.2157,0.0263,0.106,0.0,0.0,1.5694,1.2323,3.2347
2243,Keylor Navas,Paris Saint Germain,-,-,0.6741,0.1446,1.4122,0.1259,0.8402,-,3.197
93,Marcelo,Lyon,0.0286,0.2263,0.0556,0.6906,0.0658,0.177,0.9713,0.8576,3.0728
2199,Pablo Sarabia,Paris Saint Germain,0.1166,0.6357,0.5191,0.0,0.0,0.0,1.3062,0.455,3.0326
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,0.0,1.2499,0.8821,0.3521,0.3908,2.8749
6907,Colin Dagba,Paris Saint Germain,0.0,0.0,0.1846,0.0,-,0.4392,0.7187,1.5253,2.8678
8327,Bruno Guimarães,Lyon,0.5769,0.4773,0.621,0.9024,0.2255,0.0,-,0.0,2.8031
8666,Cheick Oumar Doucoure,Lens,1.0213,0.6454,0.4337,0.119,0.1606,0.3049,0.0,-,2.6849
4804,Abdou Diallo,Paris Saint Germain,0.0,-,0.2988,-,0.4255,0.1411,0.7652,0.9606,2.5912
3297,Marquinhos,Paris Saint Germain,-,-,0.926,0.1412,0.7089,0.277,-,0.52,2.5731
3542,Damien Da Silva,Rennes,0.7584,0.3296,0.6581,0.238,0.4001,0.0593,-,0.053,2.4965
1039,Jason Denayer,Lyon,0.1143,0.1377,0.0187,0.9965,0.1064,0.0483,1.0692,-,2.4911
2413,Steven N'Zonzi,Rennes,0.1405,0.2247,0.6346,0.2755,0.8986,0.1965,-,0.1058,2.4762
6019,Angelo Fulgini,Angers,0.5377,0.0,0.4964,0.2524,0.0174,0.4923,0.0935,0.5113,2.401
1248,Leandro Paredes,Paris Saint Germain,-,0.0599,-,-,1.1574,0.9507,0.091,-,2.259
6500,Romain Perraud,Brest,-,0.8566,0.3775,0.3038,0.3036,0.0547,0.023,0.3083,2.2275
3749,Jonathan Bamba,Lille,0.0269,0.1197,0.137,0.5279,0.1211,0.2997,0.8821,0.0683,2.1827
3278,Maxwel Cornet,Lyon,0.4678,0.1482,0.0,0.0,0.0131,0.3791,1.017,0.1374,2.1626
5655,Flavien Tait,Rennes,0.6308,-,0.5847,0.0,0.0958,0.0163,0.1451,0.6828,2.1555
