id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,0.432,2.4939,2.1041,1.7544,1.1058,0.8414,-,0.5505,0.888,0.9101,0.1034,0.7719,0.0,1.2547,0.7152,1.6213,1.2025,2.5306,0.6892,0.4978,1.0995,1.466,0.1436,0.9236,-,24.0995
555,Memphis Depay,Lyon,1.5294,0.1032,0.0464,1.012,0.2008,0.0916,3.5858,1.2568,0.3039,0.6284,0.7402,0.6479,0.7931,0.0278,0.2384,0.8408,2.4792,0.7906,0.1994,0.5322,0.5718,0.1974,0.3857,0.5234,1.7057,1.32,0.4125,0.8904,22.0548
5657,Karl Toko Ekambi,Lyon,0.6622,0.6944,0.5923,0.0735,-,0.1286,2.4828,1.9587,0.316,1.3088,-,1.3706,1.1722,0.6562,0.1624,0.8629,1.0188,-,0.095,0.4141,0.4678,0.1273,1.3509,0.2612,2.236,1.0956,0.4782,0.9497,20.9362
5733,Houssem Aouar,Lyon,-,0.46,0.1072,-,0.3451,0.426,0.1805,0.6143,0.3105,1.0138,-,-,0.4766,0.1439,0.7023,1.7254,1.5643,0.1878,0.2575,0.556,-,0.1574,1.8885,0.7617,1.3058,0.9424,0.4834,1.3585,15.9689
3412,Léo Dubois,Lyon,0.4372,0.3479,0.0821,0.8036,0.4108,0.4914,1.5306,1.0253,0.2813,1.2295,0.5801,0.6274,0.0887,0.0,0.7916,0.6838,0.9018,0.4535,-,0.3765,0.135,0.1809,1.0194,0.1066,1.4172,0.4562,0.4488,0.7939,15.7011
3210,Wissam Ben Yedder,Monaco,0.0514,0.0743,0.761,0.1284,1.3031,0.3788,0.3738,0.4332,2.7648,0.9929,-,1.5747,0.2185,0.6091,0.0683,0.1984,0.6804,0.0979,0.5471,0.9082,0.0672,0.3669,1.0342,0.0,0.8172,0.4428,0.1871,0.5869,15.6666
6401,Amine Gouiri,Nice,0.1202,0.4228,0.0409,0.6964,0.3747,0.765,1.3715,0.0,1.4438,0.0338,1.0709,0.3602,0.2717,1.0148,0.5892,-,1.2807,0.3938,0.1639,0.3599,0.3103,0.024,0.4843,0.6377,1.0417,0.0726,0.7495,1.3729,15.4672
7365,Lucas Paquetá,Lyon,-,-,-,-,-,-,2.9022,0.7751,0.3424,0.5319,0.2465,0.64,0.6965,0.2016,0.7577,0.228,1.3593,0.7922,0.0615,0.3153,-,0.1574,1.2836,0.4903,1.9012,1.1533,0.459,-,15.295
2099,Neymar,Paris Saint Germain,-,1.9557,-,-,2.5103,2.5404,-,2.7367,-,-,0.0781,0.4343,-,0.1298,-,-,-,-,-,0.9364,2.5035,0.7159,-,0.5447,-,-,-,-,15.0858
8702,Tinotenda Kadewere,Lyon,-,0.1255,0.0832,0.0961,0.1134,0.3359,1.5995,0.9982,0.0612,0.4749,0.6151,0.3766,0.5318,0.4618,1.1765,1.1253,1.4595,0.4323,0.1486,0.4153,0.4715,0.0337,1.0396,0.484,0.8687,0.322,0.1557,0.6983,14.7042
83,Kevin Volland,Monaco,-,-,0.1185,0.0796,1.2885,0.0,0.1961,0.0,1.604,0.5653,1.3183,2.1439,0.1106,0.049,0.1038,0.2109,0.3817,0.6887,1.2488,0.3175,0.296,0.7195,1.1147,0.3832,0.2177,0.9399,0.1461,0.0247,14.267
3749,Jonathan Bamba,Lille,0.3684,0.1646,0.2851,0.6224,0.3189,0.2997,2.0818,0.4072,0.2844,0.4618,1.4236,0.0495,0.7825,0.4379,0.402,0.1338,0.8432,0.091,0.146,0.235,0.1739,0.7864,0.5644,1.1755,0.4145,0.0444,0.0,0.6632,13.6611
2199,Pablo Sarabia,Paris Saint Germain,0.1166,1.7594,0.9566,0.0,0.9032,0.4392,3.0298,1.7503,0.8213,-,0.5087,0.0535,-,-,-,-,-,0.0937,0.6099,0.0,0.0,0.0,0.841,0.6269,0.0,-,0.1225,0.7587,13.3913
8636,Jonathan Christian David,Lille,0.0,0.0577,0.2547,0.6634,0.9234,0.2287,0.2654,0.0,0.0,0.0935,2.3422,0.0,0.5899,0.6827,0.549,0.0657,0.3713,0.0,0.0,1.1406,0.1104,0.0286,1.2124,1.3433,0.1606,0.2099,0.0946,1.7439,13.1319
3553,Ángel Di María,Paris Saint Germain,-,0.1455,1.257,1.3711,1.1472,-,-,-,-,0.4581,0.9213,0.0,0.7676,0.1107,0.3584,0.3078,1.3447,1.0694,1.2383,0.2927,0.6903,0.0,0.8241,0.3054,-,-,-,-,12.6096
3348,Florian Sotoca,Lens,0.9104,0.0,0.7954,0.8176,0.3448,0.9518,0.0348,0.7584,0.2566,0.0,0.5255,0.8745,0.2982,-,0.3482,0.862,0.5069,0.3513,0.1599,0.0171,0.0,0.1866,0.3463,0.0647,1.7401,0.7321,0.1914,0.4231,12.4977
6905,Ludovic Ajorque,Strasbourg,0.1477,0.1021,0.0747,0.2421,0.3615,0.2152,0.262,0.4282,0.4336,-,0.6273,0.122,0.2832,0.3624,0.3314,0.0649,0.0,1.4662,0.705,2.4104,1.8365,0.1574,0.1343,-,0.0796,0.6319,0.4963,0.312,12.2879
942,Florian Thauvin,Marseille,0.2281,0.0,1.8271,0.0721,0.1739,0.3315,0.1599,0.5936,0.0,1.3599,0.2393,1.5171,0.5278,0.5117,0.0309,2.3344,0.6469,0.8392,0.0,0.0112,0.4538,0.1753,0.01,0.0,-,0.2003,0.039,-,12.283
3530,Andy Delort,Montpellier,-,0.7262,0.8655,0.803,0.9197,0.2242,0.0367,0.0738,0.3635,0.9064,1.6387,0.4161,-,0.1589,0.4278,0.4249,0.3359,0.5075,0.1946,0.4035,-,-,-,1.7853,0.7881,-,-,-,12.0003
6560,Aurelien Tchouameni,Monaco,0.2487,0.0351,0.8113,0.11,0.1891,-,0.2221,0.0946,0.9414,0.4659,0.8582,2.2531,0.0396,0.6148,0.0,0.0234,0.2987,0.1136,0.1691,0.1233,0.3452,0.3361,1.4013,0.7224,0.2324,0.9399,0.3035,0.0,11.8928
3746,Gaetan Laborde,Montpellier,0.1134,0.6867,0.334,1.074,0.6231,0.279,0.0367,0.0144,0.436,1.309,0.4396,0.2308,0.8371,0.0,0.0606,0.063,0.2095,0.3579,0.1524,0.1453,0.0,0.1856,0.516,1.7323,0.522,0.8841,0.1226,0.3271,11.6922
6846,Sofiane Diop,Monaco,0.1672,0.0351,1.2937,0.11,0.0496,0.2294,0.1859,0.0,1.2851,0.6958,0.7671,1.0795,0.1862,0.6582,0.0683,0.1837,0.2987,0.4773,0.3076,0.4436,0.0272,0.3351,0.9697,0.6535,0.0934,0.9399,0.1148,0.0,11.6556
3800,Steve Mounie,Brest,-,-,1.3621,0.3375,0.356,0.1417,0.1371,0.0578,0.6232,0.7844,0.5066,0.1452,0.0414,1.5092,0.0,0.338,0.0924,0.4471,0.0276,0.8476,0.325,1.2346,0.0,0.6617,0.0147,0.2561,0.0945,0.9384,11.2799
668,Idrissa Gueye,Paris Saint Germain,0.1791,1.9751,0.8497,0.1052,-,0.1824,1.5862,-,0.4821,0.0,-,-,0.1919,0.0578,0.6722,0.3004,0.0182,0.5675,0.1891,-,-,0.0438,0.5161,0.5415,1.8621,0.0763,0.0,0.8696,11.2663
3552,Marco Verratti,Paris Saint Germain,0.24,1.499,-,0.1919,0.9032,1.669,-,-,-,-,-,0.1371,-,0.1107,0.3917,0.4129,1.0765,0.6988,1.4261,0.651,0.6024,-,-,0.9752,-,0.1015,-,-,11.087
3278,Maxwel Cornet,Lyon,0.5092,0.3559,0.6024,0.7969,0.0131,0.4275,1.017,0.1787,0.0958,0.9493,-,0.824,0.816,0.0278,0.6156,0.1114,0.7205,0.5994,0.1742,0.0,-,0.344,0.1287,0.8189,0.5674,0.0,0.3788,0.0,11.0725
