id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
7668,Marcus Berg,FC Krasnodar,1.2701,0.1112,1.0441,0.2123,0.1421,0.6155,-,1.3185,0.0288,0.0928,0.7169,5.5523
2774,Sardar Azmoun,Zenit St. Petersburg,0.0,0.8946,0.4753,1.4399,0.0,0.295,0.0206,0.3369,1.0653,0.0,0.1729,4.7005
2925,Fedor Smolov,Lokomotiv Moscow,0.1753,0.233,1.5434,0.0901,-,0.06,0.0893,0.7234,1.1596,-,0.0328,4.1069
8361,Denis Makarov,Rubin Kazan,0.0902,0.0978,0.4704,0.091,1.786,0.075,0.4628,0.4849,0.2528,0.0,0.0889,3.8998
7121,Djorde Despotovic,Rubin Kazan,0.1081,0.8599,0.0308,0.0423,0.5979,1.2531,0.0739,0.3139,0.5128,0.0288,0.0454,3.8669
3063,Artem Dzyuba,Zenit St. Petersburg,0.8802,-,0.1092,0.5088,0.0,0.0,0.9254,0.6389,0.3058,0.1454,0.0475,3.5612
7770,Jordan Larsson,Spartak Moscow,0.4944,0.2032,0.0264,0.8023,0.0335,0.0578,0.0378,0.206,0.1528,0.3564,0.8456,3.2162
2057,Ezequiel Ponce,Spartak Moscow,0.0695,0.6456,0.4736,0.0143,-,-,0.4086,0.0135,0.1131,0.7275,0.6793,3.145
5454,Fedor Chalov,CSKA Moscow,0.0572,-,-,-,0.2642,0.7069,0.0,1.0413,0.7173,0.0266,0.0741,2.8876
2772,Aleksandr Erokhin,Zenit St. Petersburg,-,0.068,0.0,0.5897,0.0519,0.0,0.6419,0.0,0.3633,0.8242,0.2039,2.7429
5459,Konstantin Kuchaev,CSKA Moscow,0.3702,0.1859,0.1171,0.0,0.0781,0.6413,0.0,0.3467,0.0,0.124,0.8313,2.6946
5478,Viktor Claesson,FC Krasnodar,-,-,0.0,0.7038,0.4086,0.1396,-,1.1903,0.151,0.0218,0.0278,2.6429
2924,Pavel Mamaev,FC Rostov,0.4353,0.2709,0.0814,0.5855,-,-,0.0251,-,-,0.0,1.19,2.5882
8610,Kento Hashimoto,FC Rostov,0.0,0.0391,0.0,0.353,0.1506,0.0,-,-,1.0083,0.0769,0.9386,2.5665
