id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
6276,Nikola Vlasic,CSKA Moscow,-,-,4,4,5,3,4,4,7,2,5,10,4,5,2,5,6,2,2,2,8,2,4,90
8361,Denis Makarov,Rubin Kazan,3,4,3,4,3,3,8,6,2,0,2,-,1,2,1,4,4,6,3,3,3,2,0,67
7770,Jordan Larsson,Spartak Moscow,2,4,2,5,1,2,2,2,4,1,4,3,2,0,0,3,8,2,1,-,6,0,5,59
5899,Anton Zabolotny,PFC Sochi,0,3,0,3,4,2,-,1,3,4,1,4,6,5,5,2,-,0,3,2,3,-,8,59
2057,Ezequiel Ponce,Spartak Moscow,1,1,6,1,-,-,4,1,1,6,3,1,3,2,2,7,7,3,1,4,2,2,-,58
2774,Sardar Azmoun,Zenit St. Petersburg,0,4,3,4,0,1,1,5,6,0,2,-,-,-,-,0,7,3,4,5,7,4,1,57
5483,Eric Bicfalvi,Ural,3,5,1,3,0,5,3,3,-,-,5,5,5,4,1,2,3,-,-,0,-,5,4,57
2946,Bernard Berisha,FK Akhmat,4,1,2,1,1,5,3,2,2,-,2,3,1,4,3,4,3,2,4,5,0,1,-,53
3063,Artem Dzyuba,Zenit St. Petersburg,4,-,1,2,0,0,3,3,4,3,1,0,-,5,1,3,5,3,7,2,1,2,3,53
7121,Djorde Despotovic,Rubin Kazan,2,5,1,1,3,4,2,6,3,1,2,2,3,-,-,2,-,4,-,6,2,0,3,52
5497,Vladimir Iljin,FK Akhmat,0,1,4,2,1,2,5,2,4,1,-,3,3,3,2,5,0,2,-,2,0,3,6,51
7631,Sebastian Szymanski,Dinamo Moscow,2,5,1,0,2,3,3,2,4,3,0,6,4,3,-,2,2,1,2,1,3,1,1,51
5397,Alexander Sobolev,Spartak Moscow,4,5,5,2,4,2,2,0,2,0,-,-,2,7,-,-,-,-,-,4,4,4,2,49
7453,Khvicha Kvaratskhelia,Rubin Kazan,1,2,3,2,7,2,0,3,4,2,0,2,0,1,-,-,1,5,-,2,3,4,3,47
