id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,total
3063,Artem Dzyuba,Zenit St. Petersburg,0.1291,-,0.5728,0.4889,0.0706,0.0247,0.155,0.1128,0.6503,0.822,0.0,0.0,3.0262
4605,Anton Miranchuk,Lokomotiv Moscow,-,0.0,0.4015,0.0313,0.208,0.0844,0.0409,0.6746,1.1273,0.3016,0.0,0.0,2.8696
3131,Zelimkhan Bakaev,Spartak Moscow,0.4688,0.0,0.0,0.0368,0.9479,0.4326,0.1647,0.0,0.0,0.4075,-,0.0623,2.5206
7453,Khvicha Kvaratskhelia,Rubin Kazan,1.0006,0.0974,0.4912,0.0,0.1594,0.0616,0.0,0.1587,0.4291,0.0484,0.0,0.0,2.4464
2946,Bernard Berisha,FK Akhmat,0.1645,0.0712,0.4896,0.2686,0.0,0.0,0.1679,0.0232,0.0079,-,0.4381,0.7492,2.3802
2450,Wanderson,FC Krasnodar,1.0816,0.9214,0.0928,-,0.0433,0.0444,-,0.1572,-,-,-,-,2.3407
7770,Jordan Larsson,Spartak Moscow,0.1221,0.0,0.2253,0.0,0.0728,0.3515,0.0925,0.0,0.1028,0.1506,0.714,0.4917,2.3233
7283,Daniil Utkin,FC Krasnodar,0.1427,0.0387,0.2559,0.5181,0.3058,0.1087,-,0.1069,0.2855,0.3589,0.0746,0.0247,2.2205
2896,Mario Fernandes,CSKA Moscow,0.7823,0.089,0.0277,0.1564,0.1872,0.0,0.1002,0.4947,0.0802,0.2214,-,0.0222,2.1613
7630,Kings Kangwa,Arsenal Tula,0.0,0.2517,-,0.0637,0.7431,0.3306,0.0248,0.5042,0.0466,0.0372,0.0164,0.0,2.0183
8634,Hwang In-Beom,Rubin Kazan,-,-,-,0.0362,0.5025,0.299,0.0977,-,0.8688,0.0,0.0214,0.0905,1.9161
8360,Darko Jevtic,Rubin Kazan,0.1081,0.1082,0.4247,0.0158,0.0,0.3288,0.0,0.537,-,0.0687,-,0.3199,1.9112
2771,Christian Noboa,PFC Sochi,0.1013,0.0938,0.7688,0.4354,0.0276,0.0235,0.0,0.043,0.0142,0.0228,0.3781,-,1.9085
2928,Joãozinho,PFC Sochi,-,0.1755,0.5426,0.3219,0.1917,0.0723,0.1244,0.1125,0.101,0.0784,0.1309,0.0,1.8512
5286,Douglas Santos,Zenit St. Petersburg,0.1125,0.1562,0.029,0.1246,0.1232,0.0793,0.5061,0.0333,0.1469,0.1083,0.2027,0.2185,1.8406
5454,Fedor Chalov,CSKA Moscow,0.0191,-,-,-,0.0,0.6413,0.0,0.0842,0.0375,0.0723,0.3394,0.6297,1.8235
2751,Aleksey Ionov,FC Rostov,0.0,0.1132,0.0497,0.0669,0.1199,0.0352,0.0846,-,0.8623,0.4877,-,-,1.8195
5397,Alexander Sobolev,Spartak Moscow,0.4977,0.6698,0.4876,0.0,0.0941,0.0,0.02,0.0,0.0,0.0,-,-,1.7692
7631,Sebastian Szymanski,Dinamo Moscow,0.4004,0.072,0.1164,0.0419,0.0589,0.0,0.0409,0.141,0.4798,0.0465,0.2429,0.1207,1.7614
2745,Dmitry Zhivoglyadov,Lokomotiv Moscow,0.0,0.3127,1.0099,-,-,-,0.0,0.0925,0.0,0.1032,0.0,0.2268,1.7451
6276,Nikola Vlasic,CSKA Moscow,-,-,0.0176,0.0,0.1315,0.1707,0.0711,0.2022,0.0,0.3417,0.0,0.767,1.7018
3162,Khoren Bayramyan,FC Rostov,0.0,0.0,0.0,0.635,0.0,0.1289,0.5537,-,0.0,0.0,-,0.346,1.6636
5483,Eric Bicfalvi,Ural,0.0539,0.0,0.1114,0.6026,0.0,0.0,0.5596,0.0755,-,-,0.1353,0.1012,1.6395
7121,Djorde Despotovic,Rubin Kazan,0.0,0.0,0.0,0.039,0.8313,0.0,0.2129,0.104,0.0,0.0,0.0736,0.3157,1.5765
2772,Aleksandr Erokhin,Zenit St. Petersburg,-,0.0,0.0,0.8377,0.0,0.0,0.0,0.0,0.0709,0.1359,0.1157,0.4098,1.57
7668,Marcus Berg,FC Krasnodar,0.0697,0.0,0.4423,0.0,0.0,0.2177,-,0.4656,0.2478,0.1116,0.0,-,1.5547
2774,Sardar Azmoun,Zenit St. Petersburg,0.0149,0.0733,0.0738,0.9969,0.0373,0.0,0.1479,0.0,0.1219,0.0,0.0438,-,1.5098
