id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
3063,Artem Dzyuba,Zenit St. Petersburg,0.8802,-,0.1092,0.5088,0.0,0.0,0.9254,0.6389,1.0601,0.1454,0.0475,0.0,-,1.8299,0.0128,1.2588,1.3019,-,8.7189
2774,Sardar Azmoun,Zenit St. Petersburg,0.0,1.6488,0.4753,1.4399,0.0,0.295,0.0206,0.3369,1.0653,0.0,0.1729,-,-,-,-,0.0,2.1117,-,7.5664
7770,Jordan Larsson,Spartak Moscow,0.4944,0.9574,0.7807,0.8023,0.0335,0.0578,0.0378,0.206,0.1528,0.3564,0.8456,0.1947,0.5663,0.0,0.0,0.1942,1.7855,-,7.4654
7668,Marcus Berg,FC Krasnodar,1.2701,0.1112,1.0441,0.2123,0.1421,0.6155,-,2.0727,0.0288,0.0928,0.7169,-,0.0127,0.8012,-,0.1889,-,-,7.3093
5483,Eric Bicfalvi,Ural,0.184,1.1054,0.0444,0.3159,0.0,0.3133,1.1843,0.123,-,-,0.2428,0.335,1.4802,0.5911,0.0112,0.0998,0.1535,-,6.1839
2946,Bernard Berisha,FK Akhmat,0.14,0.0786,0.2415,0.0328,0.2934,0.2469,0.1091,0.0192,0.837,-,0.0624,1.5944,0.0499,0.1121,1.1728,0.1994,0.8493,-,6.0388
2057,Ezequiel Ponce,Spartak Moscow,0.0695,0.6456,0.4736,0.0143,-,-,0.4086,0.0135,0.1131,0.7275,0.6793,0.3428,0.2649,0.0775,0.1072,0.5899,1.4307,-,5.958
7121,Djorde Despotovic,Rubin Kazan,0.1081,0.8599,0.0308,0.0423,0.5979,1.2531,0.8282,0.3139,0.5128,0.0288,0.0454,0.1077,0.8413,-,-,0.1646,-,-,5.7348
5497,Vladimir Iljin,FK Akhmat,0.0,0.049,0.9607,0.8203,0.2115,0.0656,0.1878,0.3823,0.9797,0.0269,-,0.814,0.3587,0.2265,0.4115,0.2232,0.0,-,5.7177
5454,Fedor Chalov,CSKA Moscow,0.0572,-,-,-,0.2642,0.7069,0.0,1.0413,0.7173,0.0266,0.0741,1.0411,0.2083,0.3261,0.0528,0.6758,0.1585,-,5.3502
2772,Aleksandr Erokhin,Zenit St. Petersburg,-,0.068,0.0,0.5897,0.0519,0.0,0.6419,0.0,0.3633,0.8242,0.2039,0.2763,0.6252,-,0.1344,0.1861,1.1895,-,5.1544
8361,Denis Makarov,Rubin Kazan,0.0902,0.0978,0.4704,0.091,1.786,0.075,0.4628,0.4849,0.2528,0.0,0.0889,-,0.1244,0.0639,0.0377,0.4676,0.1987,-,4.7921
4605,Anton Miranchuk,Lokomotiv Moscow,-,0.0,0.0,0.0204,0.8818,0.0392,0.0639,0.2445,0.0,0.3069,0.2762,0.8297,0.1412,0.0,0.8459,-,0.8959,-,4.5456
5397,Alexander Sobolev,Spartak Moscow,0.2528,0.2887,0.5591,0.3953,0.175,0.4828,0.0802,0.0,0.0773,0.0,-,-,0.0469,2.114,-,-,-,-,4.4721
6025,Ivan Ignatyev,Rubin Kazan,1.1287,0.8143,0.8791,0.0929,0.0,0.3492,-,0.0354,0.1445,-,0.0,-,-,0.0413,-,0.1724,0.7777,-,4.4355
2771,Christian Noboa,PFC Sochi,0.8323,0.1842,0.1322,0.1163,0.8593,0.035,0.057,0.9258,0.7543,0.1617,0.0456,-,-,-,-,0.0724,0.0,-,4.1761
2925,Fedor Smolov,Lokomotiv Moscow,0.1753,0.233,1.5434,0.0901,-,0.06,0.0893,0.7234,1.1596,-,0.0328,0.0,0.0124,0.0,-,-,-,-,4.1193
5899,Anton Zabolotny,PFC Sochi,0.0,0.2659,0.0,0.1094,0.9687,0.102,-,0.0746,0.2029,0.2301,0.1309,0.1599,0.5232,0.5145,0.5194,0.0728,-,-,3.8743
5478,Viktor Claesson,FC Krasnodar,-,-,0.0,0.7038,0.4086,0.1396,-,1.1903,0.151,0.0218,0.0278,-,-,0.0275,0.0,0.0,0.9585,-,3.6289
5459,Konstantin Kuchaev,CSKA Moscow,0.3702,0.1859,0.1171,0.0,0.0781,0.6413,0.0,0.3467,0.0,0.124,0.8313,0.2806,0.1323,0.3972,-,-,0.0521,-,3.5568
2822,George Melkadze,FK Akhmat,-,-,-,0.0532,0.0,0.1407,0.0,0.0516,0.4401,0.8171,1.3151,0.0,0.3764,0.0672,0.0808,0.0906,0.0228,-,3.4556
2775,Dmitriy Poloz,FC Rostov,-,-,-,0.0445,0.1001,0.0195,0.0,-,0.0,0.4598,0.0485,0.4338,0.0375,0.0,0.0,2.1828,0.1026,-,3.4291
6276,Nikola Vlasic,CSKA Moscow,-,-,0.4555,0.1034,0.1896,0.1431,0.2214,0.1078,0.2078,0.0973,0.0811,0.3723,0.4401,0.3192,0.0926,0.171,0.2844,-,3.2866
6793,Daniil Lesovoy,Dinamo Moscow,-,-,-,1.2827,-,-,-,0.0903,0.0506,0.4492,0.0414,0.1735,0.4236,0.465,0.0201,0.0746,0.2024,-,3.2734
8143,German Onugkha,FC Tambov,-,-,-,-,0.0538,-,0.0,-,0.0,0.0823,0.7542,0.0174,1.5234,0.0296,-,0.1636,0.3149,-,2.9392
