id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
5286,Douglas Santos,Zenit St. Petersburg,0.0149,0.0929,0.4581,1.727,0.1088,0.0247,0.7143,0.3659,0.471,0.8504,0.1184,0.0271,0.0642,0.7413,0.2155,-,0.6487,0.0754,0.711,0.0198,1.01,0.2946,0.2175,8.9715
2968,Magomed Ozdoev,Zenit St. Petersburg,0.0841,0.1671,0.5431,0.0641,0.0184,0.295,0.5396,0.4131,0.4898,0.7698,0.0475,0.0,1.1229,0.1234,-,-,1.1505,0.0754,0.0878,1.0217,0.0752,0.8502,0.0819,8.0206
6276,Nikola Vlasic,CSKA Moscow,-,-,0.0277,0.2781,0.1985,0.6819,0.1186,1.5462,0.6776,0.2462,0.0,0.4673,0.4187,1.0305,0.0369,0.748,0.2599,0.3054,0.2098,0.0925,0.0274,0.552,0.0666,7.9898
5442,Ivan Oblyakov,CSKA Moscow,0.93,0.1377,0.0519,0.2516,0.1055,0.0731,0.3568,0.0875,0.889,0.3722,0.3394,0.4502,0.1726,0.9024,0.0,0.8011,0.1215,0.4778,-,-,-,0.0677,0.5797,7.1677
2450,Wanderson,FC Krasnodar,0.4463,0.6013,0.4885,-,0.4658,0.8036,-,1.7674,-,-,-,-,-,-,-,0.0208,0.166,0.4163,0.0,0.4244,0.7831,0.0,0.7626,7.1461
2928,Joãozinho,PFC Sochi,-,0.0128,0.1654,0.571,0.923,0.0483,0.0519,0.0662,0.0142,0.0,0.4911,0.0,0.2711,0.0969,0.6869,0.0,0.7035,0.4084,0.508,1.5824,0.0406,0.2439,0.0,6.8856
3390,Rémy Cabella,FC Krasnodar,1.3819,0.4631,0.0746,-,-,0.5931,-,0.5486,0.2256,0.6095,0.0,-,-,0.0,0.8278,0.0291,0.1806,0.0,0.1552,0.0511,0.541,0.9169,0.0414,6.6395
2414,Grzegorz Krychowiak,Lokomotiv Moscow,0.1691,0.233,1.354,0.1152,0.2085,-,0.0639,0.7654,-,0.3902,0.2007,0.2568,-,0.3902,0.1201,0.0865,0.1489,0.107,0.0,0.0,0.5302,0.5788,0.7531,6.4716
7521,Konstantin Maradishvili,CSKA Moscow,0.6254,0.0851,0.3718,0.2705,0.0212,0.6088,0.1081,0.2014,-,0.248,0.3535,0.0,0.3759,0.1002,0.0127,0.7534,0.8688,-,-,0.0209,0.2585,1.1703,0.0122,6.4667
3262,Malcom,Zenit St. Petersburg,0.0,0.0929,0.1458,0.9678,0.0833,0.0,0.0568,0.331,0.1411,0.3045,-,-,-,-,0.0,1.2294,2.3736,0.1486,0.3038,-,-,-,-,6.1786
8359,Oliver Abildgaard,Rubin Kazan,0.1061,0.165,0.1571,0.0423,0.3223,0.8745,0.2415,0.4639,0.478,0.3451,0.0153,-,0.0,0.0816,0.0334,0.0344,0.1849,0.5532,0.2991,0.3561,-,0.5901,0.811,6.1549
2896,Mario Fernandes,CSKA Moscow,0.5452,0.1961,0.0277,0.1283,0.1701,0.1454,0.1081,0.4928,0.7571,0.2857,-,0.3017,0.4296,-,-,-,0.6825,0.476,0.3022,0.1682,0.1177,0.0,0.6443,5.9787
7479,Kristoffer Olsson,FC Krasnodar,0.7332,0.0574,0.5535,0.4573,0.1094,0.8168,-,1.0813,0.3294,-,0.1373,-,0.061,0.1875,0.3384,0.0084,-,0.4163,0.031,0.3596,0.0254,0.0,0.0494,5.7526
7475,Ayrton Lucas,Spartak Moscow,0.0,0.1033,0.2892,0.5261,0.2836,0.4326,0.2041,0.0,0.0367,0.0556,0.0112,0.3928,0.0709,1.2444,0.0,-,1.4182,0.0389,0.0,0.1094,0.3965,0.0691,0.0349,5.7175
3067,Artur Yusupov,PFC Sochi,-,-,-,-,-,-,0.026,0.0463,0.0948,0.0934,0.2205,0.0,0.1026,0.4044,0.7306,-,0.0,0.3378,0.5139,0.9305,0.0394,0.6588,1.4797,5.6787
2929,Yuri Gazinskiy,FC Krasnodar,1.5963,0.3822,0.5113,0.0406,0.0951,0.1223,-,-,0.0435,0.5066,-,0.0204,0.0,0.072,0.3039,0.0084,-,0.0,0.0569,1.2613,0.2362,0.178,0.0794,5.5144
2834,Giorgi Jikia,Spartak Moscow,0.1674,0.0851,0.0808,0.5421,0.1977,0.4326,0.0184,0.126,0.0588,0.0736,-,0.0,0.5911,0.3548,0.0,0.1992,1.7696,0.0389,0.0,0.0558,0.3133,0.0,0.2588,5.364
8017,Alex Kral,Spartak Moscow,0.1954,0.2752,0.3857,0.5797,0.391,0.0,0.2972,0.126,0.1111,0.2076,0.3222,0.1259,0.1202,0.7358,0.1162,0.047,0.7325,0.0,0.0286,0.0393,0.1365,0.2644,0.0806,5.3181
7447,Yaroslav Rakitskiy,Zenit St. Petersburg,0.16,0.0733,-,1.3214,0.0,0.0247,-,-,0.2217,0.2297,0.2514,0.4098,0.5672,0.0979,0.2155,-,0.6349,0.0754,0.4112,0.1699,0.0445,0.242,0.1612,5.3117
2771,Christian Noboa,PFC Sochi,0.1855,0.0624,0.0,0.1614,0.2416,0.0235,0.0,0.0893,0.0169,0.0343,0.1663,-,-,-,-,0.0,1.1779,0.0707,0.4771,1.5509,0.0,-,1.0523,5.3101
5538,Vyacheslav Karavayev,Zenit St. Petersburg,0.0306,0.1213,0.3974,1.3485,0.0184,0.0247,0.4596,0.3018,0.718,0.063,0.2039,0.0271,0.5833,0.4142,0.0968,-,-,-,-,0.1991,0.0445,0.1856,0.0641,5.3019
2990,Ibrahim Tsallagov,PFC Sochi,0.1193,0.0718,0.0,0.249,0.2433,0.0424,0.026,0.0,-,-,0.0706,0.116,-,0.0,0.3834,0.0271,0.0359,0.3822,0.5139,1.4199,0.0416,0.3653,0.9395,5.0472
