id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
2371,Cristiano Ronaldo,Juventus,1,2,-,-,2,1,2,-,0,2,0,2,0,2,0,1,0,0,0,1,0,2,1,1,0,3,0,-,23
594,Romelu Lukaku,Inter,1,2,0,1,1,-,0,2,0,1,1,1,1,0,1,0,0,0,0,2,0,2,1,1,0,0,1,-,19
1229,Luis Muriel,Atalanta,1,0,1,0,-,2,0,-,0,0,0,1,2,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,16
1741,Zlatan Ibrahimovic,AC Milan,2,-,-,2,2,1,1,2,-,-,-,-,-,-,-,-,0,2,0,0,2,0,0,0,-,-,-,1,15
1209,Ciro Immobile,Lazio,1,0,0,-,1,1,-,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-,14
7006,Lautaro Martínez,Inter,1,1,1,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,1,2,0,0,0,1,-,14
1393,Lorenzo Insigne,Napoli,1,0,-,1,-,0,0,1,1,0,0,-,1,1,0,1,2,0,0,0,1,0,0,1,2,0,0,-,13
1362,Simy,Crotone,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,2,1,13
1592,João Pedro,Cagliari,0,0,1,1,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,13
7084,Dusan Vlahovic,Fiorentina,0,0,1,0,0,0,-,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,3,0,12
1186,Andrea Belotti,Torino,0,2,2,1,1,0,0,-,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,-,0,0,0,-,11
1612,Domenico Berardi,Sassuolo,0,1,1,1,0,-,0,1,0,0,1,0,1,1,0,0,-,-,-,-,0,1,0,1,0,0,2,-,11
6980,Francesco Caputo,Sassuolo,0,1,2,1,1,-,0,-,-,-,-,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,-,11
1148,Duván Zapata,Atalanta,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,1,-,0,0,0,1,10
677,Jordan Veretout,Roma,0,2,0,1,1,0,0,0,0,-,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,-,-,-,10
1489,Franck Kessié,AC Milan,0,1,0,0,0,1,0,0,1,1,0,0,0,-,1,0,1,0,0,1,0,0,0,1,1,0,0,0,9
9018,M'Bala Nzola,Spezia,-,-,-,0,0,0,2,0,1,1,-,2,0,1,0,1,1,-,-,-,-,-,-,0,0,0,0,0,9
6155,Robin Gosens,Atalanta,0,1,0,0,0,-,-,0,-,1,0,1,0,1,1,0,0,0,0,-,1,0,1,1,1,0,0,-,9
7999,Hirving Lozano,Napoli,0,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,-,-,-,-,-,0,-,9
1230,Fabio Quagliarella,Sampdoria,0,1,1,1,1,0,0,0,1,0,0,-,1,1,0,-,0,0,0,0,0,1,0,0,0,0,1,0,9
1580,Mattia Destro,Genoa,1,0,-,-,-,0,0,0,0,0,0,2,0,1,1,0,1,-,1,2,0,0,0,-,0,0,-,0,9
1810,Roberto Soriano,Bologna,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,9
317,Henrikh Mkhitaryan,Roma,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,0,-,1,0,0,0,0,0,0,-,-,9
1219,Luis Alberto,Lazio,0,0,0,0,1,-,0,0,0,0,-,0,1,1,0,0,1,2,-,0,0,0,1,0,0,1,0,-,8
1473,Matteo Politano,Napoli,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-,1,0,1,1,0,0,1,0,0,1,0,-,8
2116,Felipe Caicedo,Lazio,0,1,-,0,-,1,1,0,0,0,1,0,0,-,0,1,1,0,0,-,-,0,0,0,0,1,-,-,7
1384,Dries Mertens,Napoli,1,1,0,0,0,0,1,1,0,0,0,-,-,-,-,-,0,0,-,-,-,-,1,0,0,0,2,-,7
1253,Edin Dzeko,Roma,-,0,0,2,1,0,-,-,0,0,1,0,1,1,1,0,0,0,-,-,0,0,0,-,-,-,0,0,7
1804,Álvaro Morata,Juventus,-,0,1,0,1,0,0,1,-,0,0,1,0,-,-,0,0,0,0,0,0,0,-,1,2,0,0,-,7
8838,Junior Messias,Crotone,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,-,0,0,0,0,0,0,1,7
1958,Mattia Zaccagni,Verona,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,-,0,0,0,0,0,0,6
6208,Antonin Barak,Verona,0,0,0,-,0,2,1,0,0,0,0,0,-,-,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6
