id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
189,Hakan Calhanoglu,AC Milan,1,4,3,1,5,1,11,2,5,2,7,3,3,4,0,5,1,58
1145,Rodrigo de Paul,Udinese,4,4,2,4,2,2,1,2,4,1,3,1,2,2,2,6,-,42
1324,Federico Dimarco,Verona,1,6,3,2,-,4,1,6,1,5,1,0,2,1,3,1,4,41
1219,Luis Alberto,Lazio,4,2,4,3,1,-,2,3,1,1,-,1,4,1,1,2,7,37
1471,Lorenzo Pellegrini,Roma,4,2,1,5,3,3,1,0,0,5,2,0,0,0,7,0,3,36
1426,Josip Ilicic,Atalanta,-,-,-,2,6,2,-,4,2,-,-,2,0,4,2,7,-,31
1612,Domenico Berardi,Sassuolo,5,1,2,3,2,-,1,2,2,0,0,2,5,3,2,0,-,30
6512,Musa Barrow,Bologna,3,0,6,1,1,3,3,1,2,0,2,2,2,0,1,2,1,30
7947,Ruslan Malinovskiy,Atalanta,2,3,0,1,0,7,2,-,-,3,0,1,0,1,1,6,-,27
6978,Giovanni Di Lorenzo,Napoli,1,2,3,2,1,2,1,1,0,1,2,1,1,4,4,1,-,27
1164,Cristiano Biraghi,Fiorentina,3,0,2,2,2,0,2,3,0,3,0,1,0,1,-,7,0,26
1511,Marcelo Brozovic,Inter,3,0,0,1,1,2,0,-,-,3,1,0,2,4,2,2,5,26
317,Henrikh Mkhitaryan,Roma,0,1,3,3,1,2,5,2,0,1,2,0,1,1,1,1,2,26
1810,Roberto Soriano,Bologna,1,2,3,3,1,6,1,1,1,2,1,0,2,1,0,0,1,26
1233,Filip Djuricic,Sassuolo,6,4,1,5,3,-,-,2,1,0,1,0,1,-,-,0,0,24
1384,Dries Mertens,Napoli,3,4,2,2,3,3,1,2,2,2,0,-,-,-,-,-,-,24
1517,Antonio Candreva,Sampdoria,-,1,3,0,-,0,2,3,2,3,1,-,0,2,2,4,0,23
1089,Juan Cuadrado,Juventus,3,2,0,2,0,3,6,0,4,2,1,0,0,-,-,-,-,23
1617,Roberto Insigne,Benevento,1,1,-,2,0,1,2,2,1,0,5,1,0,2,3,1,1,23
1148,Duván Zapata,Atalanta,2,0,4,0,2,1,0,0,3,2,1,2,1,1,2,2,-,23
1386,Piotr Zielinski,Napoli,0,2,-,-,1,0,1,2,2,1,1,2,2,2,4,2,-,22
1409,Nicolò Barella,Inter,3,1,3,1,2,4,0,1,0,0,1,3,0,0,1,1,1,22
6691,Dejan Kulusevski,Juventus,3,1,4,2,0,1,3,1,0,0,-,1,0,0,1,4,-,21
1518,Rodrigo Palacio,Bologna,0,0,0,3,2,2,1,0,1,1,1,2,3,3,0,1,1,21
1792,Mário Rui,Napoli,-,-,-,3,2,-,0,2,0,1,3,0,2,1,6,1,-,21
7006,Lautaro Martínez,Inter,1,1,1,3,0,1,1,0,2,0,1,0,4,1,3,1,1,21
5197,Achraf Hakimi,Inter,1,3,2,2,0,0,0,1,0,1,2,0,0,4,0,3,2,21
1445,Simone Verdi,Torino,0,1,0,4,1,1,1,1,2,-,-,-,2,4,0,2,2,21
