id,name,team,1,2,3,4,5,total
594,Romelu Lukaku,Inter,0.7552,1.2974,0.0754,1.6877,0.4363,4.252
1253,Edin Dzeko,Roma,-,0.7875,0.3897,1.9411,0.5955,3.7138
1903,Kevin Lasagna,Udinese,0.5801,0.604,0.8285,0.1223,1.1763,3.3112
6980,Francesco Caputo,Sassuolo,0.9661,0.7224,0.5915,0.6555,0.1971,3.1326
1763,Stefano Okaka,Udinese,0.105,0.6268,0.4409,0.5366,1.2217,2.931
1102,Giovanni Simeone,Cagliari,0.7619,0.5258,0.1431,0.8173,0.6067,2.8548
7091,Christian Kouamé,Fiorentina,1.2581,1.1262,0.4028,0.0,0.0,2.7871
317,Henrikh Mkhitaryan,Roma,0.8078,0.547,0.0537,0.9226,0.1337,2.4648
1136,Gianluca Lapadula,Benevento,0.0,0.6187,0.5835,1.0452,0.0164,2.2638
1741,Zlatan Ibrahimovic,AC Milan,0.6993,-,-,1.1497,0.4126,2.2616
7999,Hirving Lozano,Napoli,0.1192,1.1315,0.5673,0.2814,-,2.0994
1592,João Pedro,Cagliari,0.0286,0.0728,0.1991,0.7122,0.9669,1.9796
1148,Duván Zapata,Atalanta,0.5489,0.1152,1.1499,0.046,0.0783,1.9383
5700,Yann Karamoh,Parma Calcio 1913,0.0,0.3488,0.0697,0.5422,0.9631,1.9238
1233,Filip Djuricic,Sassuolo,0.0,0.229,0.0,0.8636,0.7912,1.8838
1230,Fabio Quagliarella,Sampdoria,0.1932,0.6192,0.2659,0.6613,0.0989,1.8385
7193,Rafael Leão,AC Milan,-,0.2423,1.5089,0.0327,0.0,1.7839
2371,Cristiano Ronaldo,Juventus,0.7413,0.9832,-,-,-,1.7245
1229,Luis Muriel,Atalanta,0.1669,0.2643,1.2812,0.0,-,1.7124
1804,Álvaro Morata,Juventus,-,0.0477,1.0115,0.6199,-,1.6791
6201,Andrej Galabinov,Spezia,0.8388,0.7052,0.0,-,-,1.544
7909,Gaetano Castrovilli,Fiorentina,0.6529,0.1319,0.1368,0.0083,0.6037,1.5336
1393,Lorenzo Insigne,Napoli,0.9417,0.0,-,0.5649,-,1.5066
1362,Simy,Crotone,0.5066,0.0,0.1866,0.061,0.7294,1.4836
6421,Brahim Diaz,AC Milan,0.0,1.0071,0.4438,-,-,1.4509
7084,Dusan Vlahovic,Fiorentina,0.0,0.3555,0.635,0.4513,0.0,1.4418
1209,Ciro Immobile,Lazio,0.3327,0.4256,0.0308,-,0.6001,1.3892
4941,Hans Hateboer,Atalanta,0.9757,0.3819,0.0139,-,0.0,1.3715
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,0.0,0.0,1.3554,1.3554
6512,Musa Barrow,Bologna,0.1276,0.1957,0.7798,0.1463,0.0583,1.3077
1491,Alejandro Gomez,Atalanta,0.2035,0.5189,0.0273,0.1415,0.3751,1.2663
1997,Andrea Favilli,Verona,-,0.6254,0.1121,0.1837,0.3438,1.265
7934,Andreas Skov Olsen,Bologna,0.1295,0.3481,0.7575,-,-,1.2351
1543,Sergej Milinkovic-Savic,Lazio,0.5469,0.0581,0.4069,0.1455,-,1.1574
1810,Roberto Soriano,Bologna,0.1397,0.4661,0.0158,0.4376,0.0921,1.1513
1580,Mattia Destro,Genoa,1.1449,0.0,-,-,-,1.1449
5322,Victor Osimhen,Napoli,0.1491,0.4314,0.257,0.3059,-,1.1434
6155,Robin Gosens,Atalanta,0.3987,0.5741,0.0,0.1279,0.0368,1.1375
1193,Lorenzo De Silvestri,Bologna,0.0991,0.0,0.0126,0.1224,0.8769,1.111
8870,Sam Lammers,Atalanta,0.0,0.0,0.3111,0.2442,0.5406,1.0959
1186,Andrea Belotti,Torino,0.0807,0.4818,0.1729,0.313,-,1.0484
1287,Leonardo Bonucci,Juventus,1.0391,0.0,0.0,0.0,-,1.0391
448,Ivan Perisic,Inter,0.246,0.5909,0.0539,0.0929,0.0374,1.0211
5197,Achraf Hakimi,Inter,0.0,0.6261,0.0719,0.313,0.0,1.011
6806,Rodrigo Becão,Udinese,0.9964,0.0098,0.0,0.0,0.0,1.0062
8838,Junior Messias,Crotone,0.0456,0.0984,0.1965,0.0706,0.5812,0.9923
2116,Felipe Caicedo,Lazio,0.0,0.891,-,0.0984,-,0.9894
1142,Samir,Udinese,0.1596,0.0,0.0,0.7373,0.0905,0.9874
7006,Lautaro Martínez,Inter,0.1691,0.0866,0.2896,0.3177,0.1124,0.9754
222,Arturo Vidal,Inter,0.0991,0.8114,0.0,0.0,0.0346,0.9451
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,0.7781,0.1294,0.0364,0.9439
1445,Simone Verdi,Torino,0.0,0.0,0.0995,0.8392,-,0.9387
1219,Luis Alberto,Lazio,0.1274,0.053,0.3893,0.0375,0.3124,0.9196
1523,Danilo D'Ambrosio,Inter,0.2772,-,0.0,0.0,0.6363,0.9135
6160,Riccardo Orsolini,Bologna,0.0497,0.3081,0.0606,0.0795,0.3656,0.8635
1433,Federico Chiesa,Fiorentina,0.0836,0.4826,0.2932,-,-,0.8594
677,Jordan Veretout,Roma,0.1126,0.5581,0.1052,0.0,0.056,0.8319
6180,Manuel Lazzari,Lazio,0.8217,0.0,0.0,-,0.0,0.8217
6174,Nikola Milenkovic,Fiorentina,0.0117,0.0501,0.0201,0.1679,0.5573,0.8071
1409,Nicolò Barella,Inter,0.0195,0.4981,0.0744,0.1356,0.0788,0.8064
687,Pedro,Roma,0.5103,0.0497,0.1062,0.1241,0.0145,0.8048
1826,Nicola Sansone,Bologna,0.0738,0.5489,0.0441,0.0829,0.0269,0.7766
1617,Roberto Insigne,Benevento,0.2293,0.0564,-,0.0397,0.4374,0.7628
3925,Gabriele Moncini,Benevento,0.7283,0.0269,0.0,-,-,0.7552
1210,Keita,Sampdoria,-,-,-,0.7272,0.0,0.7272
1612,Domenico Berardi,Sassuolo,0.2115,0.0,0.188,0.2676,0.0573,0.7244
7939,Morten Thorsby,Sampdoria,0.1166,0.0,0.0,0.0,0.5823,0.6989
8859,Mikkel Damsgaard,Sampdoria,0.0,-,0.1697,0.5084,0.0,0.6781
3978,Marco Faraoni,Verona,0.0,0.2735,0.3363,0.0584,0.0,0.6682
6324,Marash Kumbulla,Roma,-,0.0,0.0,0.0,0.6614,0.6614
498,Alexis Sánchez,Inter,0.0,0.657,0.0,0.0,-,0.657
7500,Giacomo Raspadori,Sassuolo,-,-,-,0.6508,0.0,0.6508
4920,Matteo Gabbia,AC Milan,0.5447,0.0492,0.0496,-,-,0.6435
2044,Daniele Verde,Spezia,-,0.0306,0.1071,0.2842,0.2101,0.632
777,Emmanuel Rivière,Crotone,0.6241,-,-,-,0.0,0.6241
1170,Gianluca Caprari,Benevento,0.0792,0.3506,0.0927,0.045,0.0451,0.6126
8297,Alexis Saelemaekers,AC Milan,0.0,0.0,0.0772,0.0,0.5334,0.6106
6981,Ismael Bennacer,AC Milan,0.607,0.0,0.0,0.0,0.0,0.607
1134,Mario Pasalic,Atalanta,0.0,0.0,0.582,0.0181,0.0,0.6001
1146,Jakub Jankto,Sampdoria,0.0314,0.0587,-,0.0,0.4914,0.5815
5509,Hernani,Parma Calcio 1913,0.0,0.4079,0.049,0.1183,0.0,0.5752
1030,Fernando Forestieri,Udinese,0.0,0.5592,0.0141,0.0,0.0,0.5733
1394,Lorenzo Tonelli,Sampdoria,0.0,0.0,0.0,0.0,0.5652,0.5652
1119,Alessio Romagnoli,AC Milan,-,-,-,0.12,0.4338,0.5538
9018,M'Bala Nzola,Spezia,-,-,-,0.3994,0.1458,0.5452
6176,Adam Marusic,Lazio,0.1174,0.377,0.0,0.0,0.0446,0.539
1122,Manuel Locatelli,Sassuolo,0.1409,0.1776,0.1141,0.0,0.1042,0.5368
1395,Vlad Chiriches,Sassuolo,0.0253,0.3463,0.0,0.0,0.1563,0.5279
1354,Gianmarco Ferrari,Sassuolo,0.0791,0.0,0.0,0.4294,0.0147,0.5232
1123,Juraj Kucka,Parma Calcio 1913,0.0412,0.0549,0.0688,0.0564,0.2996,0.5209
189,Hakan Calhanoglu,AC Milan,0.1288,0.1355,0.0594,0.0,0.1887,0.5124
1294,Paulo Dybala,Juventus,-,-,-,0.509,-,0.509
7096,Omar Colley,Sampdoria,0.0,0.5044,-,-,-,0.5044
7625,Manolo Portanova,Juventus,-,-,0.4869,-,-,0.4869
1226,Karol Linetty,Torino,0.0,0.0,0.0,0.4816,-,0.4816
1246,Kostas Manolas,Napoli,0.0,0.0,0.0,0.4799,-,0.4799
5091,Alex Berenguer,Torino,0.4089,0.0516,-,-,-,0.4605
1115,Goran Pandev,Genoa,0.3423,0.0,0.1051,0.0129,-,0.4603
1089,Juan Cuadrado,Juventus,0.0,0.0,0.0512,0.4036,-,0.4548
1468,Gregoire Defrel,Sassuolo,0.0177,0.4354,0.0,-,-,0.4531
5996,Adrien Tameze,Verona,0.3509,0.0791,0.0,0.0141,0.0,0.4441
1500,Leonardo Spinazzola,Roma,0.1934,0.1146,0.0,0.1219,0.0,0.4299
1424,Federico Bernardeschi,Juventus,-,-,0.0,0.428,-,0.428
8035,Samuel Di Carmine,Verona,0.4093,0.0,-,-,-,0.4093
1165,Gastón Brugman,Parma Calcio 1913,0.0,0.3,0.0637,0.0,0.0442,0.4079
2547,Theo Hernández,AC Milan,0.0678,0.0,0.2207,0.0214,0.098,0.4079
1311,Rade Krunic,AC Milan,0.0,0.0288,0.0,0.334,0.0444,0.4072
4699,Simon Kjaer,AC Milan,0.0,0.1072,0.1219,0.0515,0.1218,0.4024
1104,Leonardo Pavoletti,Cagliari,-,0.1149,0.0922,0.0,0.1942,0.4013
6974,Mattias Svanberg,Bologna,0.0,-,0.0414,0.2856,0.0725,0.3995
1493,Andrea Petagna,Napoli,0.0,-,0.0,0.3929,-,0.3929
952,Gastón Ramírez,Sampdoria,0.0118,0.0,0.3746,0.0,0.0,0.3864
1471,Lorenzo Pellegrini,Roma,0.0919,0.0,0.0727,0.1796,0.0375,0.3817
1518,Rodrigo Palacio,Bologna,0.0,0.1358,0.0112,0.143,0.0868,0.3768
1473,Matteo Politano,Napoli,0.0427,0.1076,0.1179,0.0991,-,0.3673
1241,Pedro Pereira,Crotone,-,0.0,0.0,0.3641,0.0,0.3641
1489,Franck Kessié,AC Milan,0.1356,0.0,0.0,0.0,0.2242,0.3598
6672,Riccardo Sottil,Cagliari,0.0,0.0291,0.0436,0.1947,0.087,0.3544
3893,Lukas Haraslin,Sassuolo,0.3438,-,-,-,-,0.3438
1384,Dries Mertens,Napoli,0.1192,0.1137,0.0937,0.0162,-,0.3428
8161,Ebrima Colley,Verona,-,0.0406,0.0,0.2715,0.029,0.3411
1723,Roberto Pereyra,Udinese,-,-,0.3252,0.0,0.014,0.3392
1943,Gervinho,Parma Calcio 1913,-,0.1333,0.153,0.0,0.0528,0.3391
8913,Emmanuel Gyasi,Spezia,0.1843,0.0,0.0,0.0,0.1477,0.332
3209,Jean-Daniel Akpa-Akpro,Lazio,0.0,0.0,0.0,-,0.3201,0.3201
1425,Nikola Kalinic,Verona,-,-,-,0.1821,0.1372,0.3193
2040,Paolo Ghiglione,Genoa,0.3158,0.0,0.0,0.0,-,0.3158
1942,Martín Cáceres,Fiorentina,0.0,0.0,0.3105,0.0,0.0,0.3105
1809,Joaquín Correa,Lazio,0.0,-,0.1887,0.0966,0.0212,0.3065
1577,Marko Pjaca,Genoa,0.3059,0.0,-,0.0,-,0.3059
1569,Valerio Verre,Sampdoria,0.011,0.0,0.2709,0.0233,0.0,0.3052
