id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
2371,Cristiano Ronaldo,Juventus,10,4,-,-,2,5,5,-,3,8,3,5,6,4,2,6,3,5,5,3,8,11,-,98
1393,Lorenzo Insigne,Napoli,3,0,-,7,-,5,0,3,4,4,4,-,4,5,11,10,4,3,5,2,5,2,-,81
1186,Andrea Belotti,Torino,2,3,5,5,3,2,1,-,3,1,2,8,6,4,3,5,2,4,2,5,4,4,2,76
7006,Lautaro Martínez,Inter,3,1,3,6,2,3,5,1,5,1,1,1,2,5,7,7,3,3,1,3,1,4,5,73
1209,Ciro Immobile,Lazio,6,4,1,-,2,3,-,3,3,2,4,2,2,4,3,3,4,3,4,1,6,1,3,64
594,Romelu Lukaku,Inter,6,3,1,8,1,-,0,4,0,2,4,1,3,3,1,1,6,3,1,2,3,4,4,61
1741,Zlatan Ibrahimovic,AC Milan,7,-,-,5,2,4,14,3,-,-,-,-,-,-,-,-,0,5,4,4,7,1,5,61
8838,Junior Messias,Crotone,3,4,4,1,4,2,4,1,2,2,4,2,1,4,2,3,3,1,3,3,-,1,6,60
317,Henrikh Mkhitaryan,Roma,5,1,2,3,2,5,6,5,1,3,4,1,0,2,3,1,3,1,-,3,3,2,2,58
1612,Domenico Berardi,Sassuolo,6,1,2,5,2,-,1,3,1,0,2,4,6,5,2,2,-,-,-,-,0,10,3,55
6512,Musa Barrow,Bologna,3,2,3,3,1,6,1,4,1,3,1,5,3,2,1,1,1,5,3,0,2,2,1,54
1136,Gianluca Lapadula,Benevento,0,2,1,4,1,5,2,2,2,3,7,3,1,0,4,0,1,3,1,0,4,4,2,52
1145,Rodrigo de Paul,Udinese,1,1,0,4,2,4,1,5,1,3,3,1,4,1,6,2,5,0,2,1,-,3,2,52
1230,Fabio Quagliarella,Sampdoria,4,1,4,4,2,0,1,4,3,2,2,-,1,8,3,-,0,1,1,4,0,2,5,52
7084,Dusan Vlahovic,Fiorentina,0,2,4,2,0,2,-,2,1,5,2,2,4,1,2,3,3,5,4,2,0,3,3,52
7999,Hirving Lozano,Napoli,2,4,5,1,1,1,2,2,1,2,3,3,1,7,4,2,1,3,1,3,2,-,-,51
1148,Duván Zapata,Atalanta,3,1,5,1,2,4,0,2,2,3,3,1,1,6,1,3,1,1,5,1,1,3,1,51
189,Hakan Calhanoglu,AC Milan,2,4,1,0,3,2,3,1,5,2,6,3,1,3,2,6,0,-,-,-,0,2,4,50
1592,João Pedro,Cagliari,1,2,3,1,5,3,3,0,3,1,3,3,1,3,3,1,1,2,1,3,1,1,3,48
1229,Luis Muriel,Atalanta,4,1,4,0,-,6,2,-,3,0,0,2,3,2,3,3,3,2,0,1,2,2,4,47
1123,Juraj Kucka,Parma Calcio 1913,2,2,2,2,2,0,3,0,0,-,-,2,2,3,3,-,-,3,6,0,4,4,5,45
1253,Edin Dzeko,Roma,-,3,2,6,2,5,-,-,1,6,4,0,1,2,5,0,1,2,-,-,1,1,1,43
1903,Kevin Lasagna,Udinese,7,4,3,1,3,0,0,0,-,1,-,1,6,2,2,5,5,1,1,-,0,-,-,42
1426,Josip Ilicic,Atalanta,-,-,-,0,5,1,-,0,2,-,-,2,2,6,3,6,3,1,7,0,3,1,-,42
1219,Luis Alberto,Lazio,2,1,4,2,3,-,1,2,2,0,-,3,1,3,2,1,2,3,-,3,2,1,3,41
1170,Gianluca Caprari,Benevento,3,2,1,2,1,2,-,-,0,1,8,2,2,4,3,2,-,1,0,0,4,2,0,40
6160,Riccardo Orsolini,Bologna,1,1,1,1,5,4,2,2,1,-,-,-,-,2,1,3,2,6,2,3,2,0,0,39
1810,Roberto Soriano,Bologna,3,4,1,1,2,2,1,1,2,2,0,1,2,1,1,0,4,3,2,2,1,1,2,39
1471,Lorenzo Pellegrini,Roma,1,0,2,3,1,0,2,1,1,0,2,3,1,0,7,1,2,0,6,1,-,1,4,39
1233,Filip Djuricic,Sassuolo,0,5,0,5,3,-,-,1,4,0,1,0,1,-,-,3,1,2,0,3,0,3,6,38
1543,Sergej Milinkovic-Savic,Lazio,4,1,2,3,-,1,2,-,-,1,2,1,1,0,3,3,3,1,3,2,2,1,1,37
1102,Giovanni Simeone,Cagliari,3,2,2,3,4,1,0,0,-,-,0,1,0,4,1,1,3,4,1,1,1,0,4,36
1642,Simone Zaza,Torino,2,2,-,-,-,-,-,7,4,1,1,-,-,0,-,-,0,1,6,4,6,0,1,35
677,Jordan Veretout,Roma,4,3,3,1,2,2,0,3,0,-,1,2,1,2,0,0,1,0,1,4,1,3,1,35
6980,Francesco Caputo,Sassuolo,6,5,2,3,2,-,0,-,-,-,-,0,1,2,0,2,1,1,1,0,1,3,4,34
1362,Simy,Crotone,3,0,3,2,5,2,0,2,1,1,0,1,1,1,0,5,0,3,1,1,0,0,2,34
1386,Piotr Zielinski,Napoli,0,1,-,-,0,1,0,2,1,3,3,3,5,6,2,1,1,0,0,3,0,1,-,33
