id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
1555,Bartlomiej Dragowski,Fiorentina,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
8881,Lorenzo Montipò,Benevento,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
1302,Emil Audero,Sampdoria,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
1351,Alex Cordaz,Crotone,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
3927,Alessio Cragno,Cagliari,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
6132,Marco Silvestri,Verona,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
1800,Kamil Glik,Benevento,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
1505,Samir Handanovic,Inter,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
1392,Luigi Sepe,Parma Calcio 1913,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
7931,Takehiro Tomiyasu,Bologna,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1620
8838,Junior Messias,Crotone,90,90,90,90,90,90,90,90,90,90,90,83,90,90,87,90,90,90,1610
1592,João Pedro,Cagliari,90,90,86,86,90,90,90,90,90,90,90,90,88,90,84,90,90,90,1604
1140,Danilo,Bologna,90,90,72,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1602
1810,Roberto Soriano,Bologna,81,90,90,90,90,90,90,90,90,90,71,90,90,90,90,90,90,90,1592
1574,Davide Calabria,AC Milan,90,90,90,90,90,71,90,90,90,90,90,90,90,90,84,81,90,90,1586
317,Henrikh Mkhitaryan,Roma,90,90,71,90,90,90,90,90,90,90,90,90,90,90,90,64,90,90,1575
1460,Andrea Consigli,Sassuolo,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,1530
1145,Rodrigo de Paul,Udinese,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,1530
1116,Gianluigi Donnarumma,AC Milan,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,1530
1354,Gianmarco Ferrari,Sassuolo,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,1530
6174,Nikola Milenkovic,Fiorentina,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,87,1527
1226,Karol Linetty,Torino,90,65,89,90,90,90,90,90,90,90,90,90,90,90,87,73,41,90,1525
1186,Andrea Belotti,Torino,90,90,90,90,78,90,90,-,90,90,90,90,90,90,90,90,89,90,1517
7927,Sofyan Amrabat,Fiorentina,-,90,87,90,90,82,90,74,90,90,90,90,90,90,90,90,90,87,1500
1142,Samir,Udinese,90,79,90,90,83,90,90,90,90,90,90,90,90,90,78,90,90,-,1500
1604,Artur Ionita,Benevento,90,90,76,90,90,90,90,90,74,90,57,90,90,62,90,90,80,68,1497
7413,Ibañez,Roma,90,90,90,82,90,90,90,53,90,90,90,90,90,25,90,65,90,90,1485
7938,Tommaso Augello,Sampdoria,90,90,85,90,90,90,39,-,90,85,90,90,90,90,90,90,90,90,1469
1099,Tomás Rincón,Torino,90,81,90,89,90,90,90,87,90,90,90,43,90,90,90,90,79,-,1459
1489,Franck Kessié,AC Milan,78,90,29,89,90,90,90,90,90,90,90,90,90,-,90,90,90,90,1456
1518,Rodrigo Palacio,Bologna,81,90,90,78,74,83,90,90,90,79,90,84,90,90,76,85,82,14,1456
1362,Simy,Crotone,90,90,90,90,90,90,90,90,90,88,90,90,89,30,27,90,43,90,1447
1164,Cristiano Biraghi,Fiorentina,90,90,90,90,90,90,90,90,90,90,74,90,28,83,-,90,90,90,1445
3301,Salvatore Sirigu,Torino,90,90,90,90,90,90,90,90,90,90,90,-,-,90,90,90,90,90,1440
6978,Giovanni Di Lorenzo,Napoli,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,-,1440
1324,Federico Dimarco,Verona,90,90,90,22,-,90,90,90,90,90,90,90,90,90,76,90,90,73,1431
8030,Sebastian Walukiewicz,Cagliari,90,90,90,90,90,90,90,90,90,90,90,72,-,90,90,90,90,-,1422
1122,Manuel Locatelli,Sassuolo,90,90,90,90,90,90,90,90,90,90,90,84,-,90,90,76,90,-,1420
8856,Razvan Marin,Cagliari,78,70,66,90,88,87,48,72,90,83,90,12,90,87,90,90,90,90,1411
2244,Danilo,Juventus,90,90,90,90,90,90,87,90,72,-,90,90,71,90,90,90,90,-,1400
6806,Rodrigo Becão,Udinese,90,90,87,90,90,90,90,90,90,48,90,90,90,-,90,90,90,-,1395
189,Hakan Calhanoglu,AC Milan,72,86,41,90,90,89,87,90,90,90,90,90,90,90,90,90,27,-,1392
6512,Musa Barrow,Bologna,84,81,90,78,16,90,90,86,90,79,90,90,90,66,90,72,30,76,1388
1409,Nicolò Barella,Inter,77,37,90,90,32,80,90,90,86,19,90,90,90,90,71,84,90,90,1386
8913,Emmanuel Gyasi,Spezia,90,68,80,90,90,15,90,90,81,90,32,90,82,90,70,43,90,90,1371
1541,Stefan de Vrij,Inter,-,90,90,90,-,90,90,14,90,90,90,90,90,90,90,90,90,90,1364
411,Albin Ekdal,Sampdoria,90,90,85,58,90,66,79,90,47,41,90,90,90,90,90,-,90,85,1361
8857,Gabriele Zappa,Cagliari,26,11,85,90,88,71,90,90,90,90,90,90,90,90,90,90,9,80,1360
1958,Mattia Zaccagni,Verona,41,79,60,8,90,90,90,90,90,67,88,90,81,56,88,85,76,90,1359
2547,Theo Hernández,AC Milan,90,90,90,90,90,90,90,90,90,90,90,-,90,90,-,90,90,-,1350
6982,Ivan Provedel,Spezia,-,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1350
3978,Marco Faraoni,Verona,90,90,90,90,90,-,-,-,90,90,90,90,90,90,90,90,90,90,1350
1093,Mattia Perin,Genoa,90,-,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,90,1350
6960,Bremer,Torino,90,90,-,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,1350
7095,Juan Musso,Udinese,90,90,90,-,-,90,90,90,90,90,90,90,90,90,90,90,90,-,1350
1246,Kostas Manolas,Napoli,90,48,90,90,90,90,90,90,90,90,90,35,90,88,90,15,81,-,1347
7014,Arkadiusz Reca,Crotone,-,15,90,90,61,90,90,90,82,90,90,90,90,90,90,90,90,-,1328
7939,Morten Thorsby,Sampdoria,70,30,90,90,90,90,90,90,90,90,90,-,83,36,90,90,90,28,1327
6159,Gianluca Mancini,Roma,90,90,90,90,90,90,90,90,37,-,-,47,90,90,90,90,90,73,1327
677,Jordan Veretout,Roma,90,90,90,77,86,90,90,90,48,-,84,90,84,90,90,9,81,48,1327
1471,Lorenzo Pellegrini,Roma,82,74,83,90,76,79,89,10,81,84,90,90,84,25,82,26,90,90,1325
7909,Gaetano Castrovilli,Fiorentina,90,90,83,79,90,46,83,90,79,40,43,76,89,90,90,90,-,75,1323
1241,Pedro Pereira,Crotone,-,75,87,73,77,78,86,43,90,88,90,90,90,90,90,47,43,83,1320
6182,Pasquale Schiattarella,Benevento,90,90,90,86,90,75,77,90,90,-,90,90,-,90,90,90,90,-,1318
4939,Alessandro Bastoni,Inter,90,-,90,-,90,-,90,90,90,83,73,90,90,90,82,90,90,90,1318
1287,Leonardo Bonucci,Juventus,90,90,90,77,79,90,-,-,90,90,90,76,90,85,90,90,90,-,1307
7933,Jerdy Schouten,Bologna,90,90,90,90,90,90,90,79,90,90,-,-,26,77,87,78,60,90,1307
1219,Luis Alberto,Lazio,89,71,82,90,81,-,79,90,67,59,-,80,90,90,90,90,67,90,1305
6252,Lyanco,Torino,-,-,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,42,1302
6180,Manuel Lazzari,Lazio,90,72,90,-,49,-,34,90,90,90,82,90,90,90,90,78,86,90,1301
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,76,65,79,76,90,28,90,90,77,90,85,90,90,90,90,90,1296
1209,Ciro Immobile,Lazio,90,90,71,-,90,32,-,76,90,59,90,90,80,78,90,90,90,85,1291
1463,Francesco Acerbi,Lazio,90,90,90,90,90,90,90,90,90,90,27,-,-,-,90,90,90,90,1287
1723,Roberto Pereyra,Udinese,-,-,86,79,83,82,90,90,90,83,90,78,90,76,90,90,90,-,1287
1612,Domenico Berardi,Sassuolo,90,90,90,90,90,-,90,90,90,90,87,90,90,89,83,34,-,-,1283
6176,Adam Marusic,Lazio,90,90,34,44,41,-,90,43,40,90,90,90,90,90,90,90,86,90,1278
1543,Sergej Milinkovic-Savic,Lazio,71,71,90,90,-,90,90,-,-,74,90,90,85,78,83,90,90,90,1272
1710,Marten de Roon,Atalanta,90,33,90,90,64,-,-,90,90,90,90,90,90,90,90,90,90,-,1267
