id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
1145,Rodrigo de Paul,Udinese,0.6022,0.1443,0.4623,0.5837,0.5159,0.0216,0.0207,0.0839,1.2196,0.0334,0.5685,0.2836,1.1473,0.0302,0.0935,0.9049,0.1422,0.018,0.0436,0.3576,-,0.0,0.4923,7.7693
317,Henrikh Mkhitaryan,Roma,0.0,0.5066,0.0949,1.081,0.1201,1.1408,0.8928,0.1288,0.0,0.0616,0.6782,0.0,0.3647,0.4471,0.0791,0.6461,0.1526,0.0,-,0.5259,0.0757,0.0,0.1031,7.0991
1426,Josip Ilicic,Atalanta,-,-,-,0.0352,0.6474,0.3825,-,0.7621,0.0991,-,-,0.5676,0.0,1.0092,0.4332,1.8953,0.0525,0.0,0.4841,0.0505,0.3767,0.1319,-,6.9273
189,Hakan Calhanoglu,AC Milan,0.0536,0.2312,0.7807,0.0515,0.95,0.0297,0.7801,0.0522,0.2031,0.0669,0.7027,0.6533,0.4493,0.5535,0.0,0.1605,0.0109,-,-,-,0.9101,0.1365,0.0461,6.8219
1471,Lorenzo Pellegrini,Roma,0.1052,0.5597,0.0917,0.2454,0.528,0.7076,0.5157,0.0,0.0,0.1346,0.7844,0.0,0.0,0.0,0.7743,0.0,0.1886,0.0673,0.4499,0.2995,-,0.0279,0.1246,5.6044
1810,Roberto Soriano,Bologna,0.0818,0.897,0.3893,0.4604,0.0769,0.2046,0.3963,0.3672,0.108,0.6253,0.0809,0.0,0.1246,0.0226,0.0,0.0,0.0147,0.049,0.0836,0.3758,0.7116,0.4562,0.0,5.5258
594,Romelu Lukaku,Inter,0.0,0.0,0.0888,0.1618,0.0531,-,0.0,1.4767,0.0,0.2358,0.0892,0.0872,0.0,0.5095,0.3475,0.0,0.5739,0.1819,0.1447,0.0,0.0982,0.6908,0.691,5.4301
1324,Federico Dimarco,Verona,0.0278,0.2337,0.4475,0.0707,-,0.6083,0.1321,0.4738,0.6115,0.7352,0.0256,0.0,0.1208,0.0442,0.5637,0.0574,0.8937,0.0079,0.0,0.0784,0.0,0.2073,-,5.3396
1186,Andrea Belotti,Torino,0.0,0.0,0.0676,0.5448,0.6797,0.0,0.0819,-,0.274,0.5622,0.3298,0.0547,0.1695,0.0535,1.2,0.0,0.0,0.0,0.3921,0.2984,0.3391,0.0,0.2334,5.2807
1500,Leonardo Spinazzola,Roma,0.9241,0.3565,0.0713,0.1373,0.0,0.1024,0.0,0.3205,0.0,0.6452,0.4717,0.5236,0.0,-,-,-,0.0,0.0,0.6858,0.1975,0.1435,0.5738,0.0468,5.2
1164,Cristiano Biraghi,Fiorentina,0.7714,0.0,0.0653,0.3322,0.6037,0.0,0.372,0.1704,0.0,0.4913,0.0,0.048,0.0,0.6157,-,0.9145,0.0,0.0958,0.0945,0.0823,0.0843,0.3049,0.1183,5.1646
1433,Federico Chiesa,Juventus,-,-,0.9824,-,0.3994,-,0.0,0.5269,0.0153,0.5572,0.0712,0.0,0.0,0.9769,0.0885,0.1144,0.0117,-,0.2435,0.0,0.4854,0.552,-,5.0248
1089,Juan Cuadrado,Juventus,0.2396,0.0507,0.0,0.0888,0.0,0.7268,0.3768,0.0,1.4252,0.0614,0.0696,0.0,0.0,-,-,-,-,1.1704,0.6187,0.0,0.1049,-,-,4.9329
1543,Sergej Milinkovic-Savic,Lazio,0.0798,0.4771,0.08,0.0,-,0.0,0.551,-,-,0.2491,0.0,0.0687,0.0,0.3206,0.1298,0.0,0.9021,0.0,0.1774,0.2619,0.4815,0.5694,0.4132,4.7616
1804,Álvaro Morata,Juventus,-,0.3977,0.347,0.1739,1.0535,0.1922,0.1499,0.0232,-,0.0,0.5339,0.8488,0.0,-,-,0.0,0.0263,0.0,0.5349,0.1233,0.2185,0.0,-,4.6231
1958,Mattia Zaccagni,Verona,0.0,0.0,0.0,0.0,0.3438,1.4688,0.9464,0.6717,0.0,0.0,0.0436,0.0885,0.0,0.09,0.033,0.0329,0.0697,0.0,0.3821,0.0,0.0864,-,0.3372,4.5941
