id,name,team,1,2,3,4,5,6,7,total
1741,Zlatan Ibrahimovic,AC Milan,1.4605,-,-,1.911,1.1738,0.2423,1.9482,6.7358
317,Henrikh Mkhitaryan,Roma,0.8078,0.547,0.0537,0.9226,0.1337,1.0486,1.5326,5.046
2371,Cristiano Ronaldo,Juventus,0.7413,1.7445,-,-,1.4396,0.9098,-,4.8352
1253,Edin Dzeko,Roma,-,0.7875,0.3897,1.9411,0.5955,0.9323,-,4.6461
594,Romelu Lukaku,Inter,0.7552,1.2974,0.0754,1.6877,0.4363,-,0.0,4.252
6980,Francesco Caputo,Sassuolo,0.9661,0.7224,1.3528,0.6555,0.1971,-,0.0,3.8939
1136,Gianluca Lapadula,Benevento,0.0,0.6187,0.5835,1.8065,0.0164,0.6186,0.1758,3.8195
1592,João Pedro,Cagliari,0.0286,0.0728,0.1991,0.7122,0.9669,0.4312,1.173,3.5838
1148,Duván Zapata,Atalanta,0.5489,0.1152,1.1499,0.046,0.8396,0.7942,0.0,3.4938
1362,Simy,Crotone,0.5066,0.0,0.9479,0.8223,0.7294,0.4278,0.0,3.434
1230,Fabio Quagliarella,Sampdoria,0.1932,0.6192,1.0272,0.6613,0.8602,0.0,0.0525,3.4136
677,Jordan Veretout,Roma,0.1126,1.3194,0.1052,0.7613,0.8173,0.2808,0.0,3.3966
1903,Kevin Lasagna,Udinese,0.5801,0.604,0.8285,0.1223,1.1763,0.0,0.0,3.3112
1102,Giovanni Simeone,Cagliari,0.7619,0.5258,0.1431,0.8173,0.6067,0.3989,0.0,3.2537
5322,Victor Osimhen,Napoli,0.1491,0.4314,0.257,0.3059,1.2865,0.7637,-,3.1936
1229,Luis Muriel,Atalanta,0.1669,0.2643,1.2812,0.0,-,0.8981,0.5717,3.1822
7091,Christian Kouamé,Fiorentina,1.2581,1.1262,0.4028,0.0,0.0,0.0827,0.3111,3.1809
1763,Stefano Okaka,Udinese,0.105,0.6268,0.4409,0.5366,1.2217,0.0,0.0,2.931
1186,Andrea Belotti,Torino,0.0807,0.4818,0.9341,0.313,0.8719,0.1788,0.0582,2.9185
1491,Alejandro Gomez,Atalanta,0.2035,0.5189,0.0273,0.1415,0.3751,1.1981,0.1589,2.6233
1209,Ciro Immobile,Lazio,0.3327,0.4256,0.0308,-,0.6001,0.9213,-,2.3105
1804,Álvaro Morata,Juventus,-,0.0477,1.0115,0.6199,0.5294,0.0,-,2.2085
7999,Hirving Lozano,Napoli,0.1192,1.1315,0.5673,0.2814,0.0531,0.0403,-,2.1928
448,Ivan Perisic,Inter,0.246,0.5909,0.0539,0.0929,0.0374,1.0797,0.0,2.1008
7193,Rafael Leão,AC Milan,-,0.2423,1.5089,0.0327,0.0,0.0,0.291,2.0749
6512,Musa Barrow,Bologna,0.1276,0.1957,0.7798,0.1463,0.0583,0.7512,0.0112,2.0701
222,Arturo Vidal,Inter,0.0991,0.8114,0.0,0.0,0.0346,0.6423,0.3652,1.9526
6208,Antonin Barak,Verona,0.0,0.1175,0.0204,-,0.0,0.7308,1.0565,1.9252
5700,Yann Karamoh,Parma Calcio 1913,0.0,0.3488,0.0697,0.5422,0.9631,-,0.0,1.9238
1233,Filip Djuricic,Sassuolo,0.0,0.229,0.0,0.8636,0.7912,-,-,1.8838
687,Pedro,Roma,0.5103,0.0497,0.1062,0.1241,0.0145,0.9935,0.0843,1.8826
1393,Lorenzo Insigne,Napoli,0.9417,0.0,-,0.5649,-,0.2922,-,1.7988
5197,Achraf Hakimi,Inter,0.0,0.6261,0.0719,0.313,0.0,0.6592,0.0,1.6702
1445,Simone Verdi,Torino,0.0,0.0,0.0995,0.8392,0.7128,0.0,0.0,1.6515
7909,Gaetano Castrovilli,Fiorentina,0.6529,0.1319,0.1368,0.0083,0.6037,0.0516,0.0171,1.6023
1425,Nikola Kalinic,Verona,-,-,-,0.1821,0.1372,0.6791,0.5874,1.5858
6201,Andrej Galabinov,Spezia,0.8388,0.7052,0.0,-,-,-,-,1.544
7084,Dusan Vlahovic,Fiorentina,0.0,0.3555,0.635,0.4513,0.0,0.0838,-,1.5256
1612,Domenico Berardi,Sassuolo,0.2115,0.7613,0.188,0.2676,0.0573,-,0.0187,1.5044
6160,Riccardo Orsolini,Bologna,0.0497,0.3081,0.0606,0.0795,0.3656,0.1847,0.42,1.4682
1489,Franck Kessié,AC Milan,0.1356,0.7613,0.0,0.0,0.2242,0.1574,0.182,1.4605
6421,Brahim Diaz,AC Milan,0.0,1.0071,0.4438,-,-,0.0,0.0,1.4509
1810,Roberto Soriano,Bologna,0.1397,0.4661,0.0158,0.4376,0.0921,0.2202,0.0174,1.3889
