id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
1541,Stefan de Vrij,Inter,-,1.3236,0.1756,0.4592,-,0.9107,0.1502,0.4949,0.2106,0.4333,1.431,0.0872,0.1257,0.8739,1.3585,0.0612,0.0569,0.3297,0.1206,0.5489,1.1163,0.7782,0.6004,0.9727,0.7425,0.0,0.1139,-,13.4757
1409,Nicolò Barella,Inter,0.3321,0.5909,0.3038,0.2251,0.567,0.4166,0.4446,0.2213,0.2208,0.0,1.6738,0.0872,0.1379,0.989,0.7381,0.7012,0.185,0.3057,0.1206,0.109,1.3185,0.1977,0.5343,1.0472,1.2062,0.0,0.3536,-,13.0272
6108,Rodrigo Bentancur,Juventus,0.0815,0.5643,0.4139,-,1.2077,0.8446,0.1835,0.0951,0.5658,1.2017,0.1599,1.3351,0.2269,0.4707,0.8557,0.5798,0.1344,1.0975,0.5672,-,0.1653,0.6304,0.5373,0.8236,-,-,0.0928,-,12.8347
4939,Alessandro Bastoni,Inter,0.6926,-,0.3789,-,0.7445,-,0.1502,0.4949,0.2785,0.915,0.3869,0.0872,0.0844,0.9566,1.1808,0.2666,0.6165,0.6551,0.1206,0.7385,0.8954,0.2067,0.2218,0.4777,0.9733,0.0,0.8046,-,12.3273
1511,Marcelo Brozovic,Inter,0.6014,0.6885,0.0859,0.135,0.723,0.9283,0.5021,-,-,0.5751,0.3282,0.0,0.1718,0.3639,0.9571,0.5136,0.3362,0.4132,0.1432,-,1.1218,0.8151,0.1557,0.7165,1.0819,0.0,0.719,-,12.0765
1223,Milan Skriniar,Inter,-,0.7571,0.2186,-,-,-,0.4446,0.4949,0.2287,0.3014,0.3388,0.0872,0.0798,0.8739,1.383,0.2833,0.7235,0.2468,0.1206,0.109,1.8504,0.0874,0.5343,0.9081,0.0,0.0,0.627,-,10.6984
677,Jordan Veretout,Roma,0.741,0.0,0.3974,0.1704,0.0727,1.1408,0.807,0.9723,0.0,-,1.7729,0.8967,0.1801,1.0434,0.5969,0.0,0.1635,0.0641,0.8494,0.441,0.0979,0.0,0.0287,0.0464,0.1332,-,-,-,10.6158
2244,Danilo,Juventus,0.2255,0.5643,0.3982,0.4781,1.2077,0.1948,0.6848,0.5854,0.0364,-,0.3407,0.5648,0.0941,0.4373,1.227,0.6691,0.0459,0.7132,0.0343,0.0,0.6466,0.3286,-,0.7541,0.0312,0.0,0.1258,-,10.3879
5197,Achraf Hakimi,Inter,0.194,0.9477,0.3978,1.1972,0.6,0.5127,0.0,0.4949,0.0,0.1903,0.0143,0.0,0.0413,0.9123,0.387,0.4423,0.0826,0.4575,0.0,0.5627,1.624,0.1601,0.5797,-,0.0,0.0,0.3782,-,10.1766
7413,Ibañez,Roma,0.0661,0.6267,0.3309,0.1016,0.1074,0.1426,1.0934,0.3831,0.0103,0.6937,0.9854,0.5009,0.3647,0.571,1.1256,0.0649,0.0796,0.0,1.1671,0.2333,0.1416,0.4431,-,-,-,-,0.077,0.3907,9.7007
6978,Giovanni Di Lorenzo,Napoli,0.2405,0.8878,0.4192,0.654,0.3138,0.1189,0.1866,0.1369,0.0242,0.1535,1.1201,0.4662,0.236,0.6477,1.2481,0.0465,-,0.202,0.3759,1.0317,0.0,0.0735,0.192,0.0457,0.505,0.3563,-,-,9.6821
317,Henrikh Mkhitaryan,Roma,0.5192,0.498,0.0355,0.2987,0.0144,0.1426,0.8176,1.3368,0.0,0.7114,1.0175,1.2478,0.3647,0.6119,1.0097,0.2119,0.0753,0.0,-,0.0816,0.144,0.1783,0.0,0.225,0.0,0.0225,-,-,9.5644
1710,Marten de Roon,Atalanta,1.3498,0.0635,1.264,0.0805,0.2211,-,-,0.037,0.1634,0.4376,0.0201,0.3226,0.5375,0.2811,0.9383,0.5704,0.3233,0.222,0.4688,0.4132,0.2968,0.0595,0.1463,0.3612,-,0.1592,0.1894,0.0,8.9266
2447,Fabián,Napoli,0.2695,0.4322,0.2377,0.9476,0.1206,0.2514,0.1761,0.2209,-,0.0755,0.3643,0.1444,0.3165,1.1201,1.4333,0.0,-,-,-,-,0.0858,0.4788,0.192,0.6922,0.6949,0.1957,0.4428,-,8.8923
4941,Hans Hateboer,Atalanta,1.0138,0.0635,0.533,-,0.0994,1.1731,0.6516,-,0.2603,0.302,0.0914,0.2471,0.0969,1.3008,0.3737,1.6215,0.2462,0.6662,0.0,-,-,-,-,-,-,-,-,-,8.7405
1145,Rodrigo de Paul,Udinese,0.0421,1.1913,1.2196,0.1662,1.1218,0.0337,0.0,0.0,0.0154,0.0965,0.2857,0.4278,0.0702,0.3054,0.1121,0.6356,0.0704,0.0,0.1427,0.0,-,0.0,0.4939,0.4861,0.0957,0.823,0.6323,0.0,8.4675
1393,Lorenzo Insigne,Napoli,0.3593,1.0157,-,0.5074,-,0.1316,0.2438,0.115,0.4786,0.543,0.1725,-,0.4785,1.3309,0.3285,0.0609,0.4531,0.1382,0.4799,0.4773,0.1393,0.0,0.0889,0.0302,0.1308,0.3155,0.4428,-,8.4617
6362,Rick Karsdorp,Roma,0.1618,-,-,-,0.061,0.0218,0.3539,0.963,0.0,0.6063,1.474,0.0,0.0,0.571,1.3062,0.2569,0.1151,0.0,0.1262,0.4316,0.0979,0.9715,0.2685,0.2731,0.0,0.1252,-,0.1057,8.2907
1488,Remo Freuler,Atalanta,1.3334,0.7858,0.1334,-,-,0.9314,0.6126,-,0.5061,0.4019,0.0914,0.1392,0.0827,0.7038,0.0944,0.2205,0.3224,0.052,0.1465,0.0949,-,0.0,0.0876,0.6096,0.3517,0.0491,0.3298,0.1284,8.2086
1386,Piotr Zielinski,Napoli,0.3766,1.0069,-,-,0.0,0.0,0.0959,0.2677,0.9193,0.6904,0.7253,0.493,0.1378,0.8913,0.081,0.0465,0.4963,0.0,0.0,0.0312,0.0,0.0735,0.0764,0.7345,0.2763,0.628,0.1143,-,8.1622
1471,Lorenzo Pellegrini,Roma,0.0987,0.0,0.0537,0.5385,0.2419,0.7459,0.8133,0.0658,0.033,0.7228,1.1919,0.0,0.1801,0.0,0.8516,0.019,0.1083,0.0641,0.0303,0.7012,-,0.1306,0.1269,0.2163,0.4338,0.2616,0.077,0.2067,7.913
222,Arturo Vidal,Inter,0.158,0.3287,0.2033,0.3665,0.5347,1.0811,0.1369,0.6178,0.2208,0.36,-,-,0.0459,0.7817,0.9205,0.0,0.7639,0.2998,0.0,0.5489,0.5202,-,0.0,0.0,0.0,0.0,-,-,7.8887
1484,Rafael Toloi,Atalanta,0.887,0.3637,-,0.0325,0.1313,1.419,0.0732,0.037,0.1634,0.3385,-,0.1764,0.0,-,0.7823,0.3037,0.1937,0.741,0.4159,0.1078,0.3634,-,0.2338,0.518,-,0.1615,0.2745,0.0,7.7176
7933,Jerdy Schouten,Bologna,0.1043,0.8932,0.3174,0.3934,0.1393,0.4841,0.4743,1.0468,0.079,0.2633,-,-,0.0,0.0,0.2437,0.0131,0.0868,0.6031,0.1352,0.3952,0.5458,0.4562,0.0,0.0,0.1315,-,0.3542,0.4803,7.6402
6155,Robin Gosens,Atalanta,1.074,0.2643,1.0444,0.0345,0.1045,-,-,0.5727,-,0.1095,0.3218,0.2424,0.1279,1.0523,0.2894,0.3507,0.241,0.052,0.2145,-,0.0885,0.4237,0.2834,0.2652,0.2084,0.0747,0.1575,-,7.5973
1376,Kalidou Koulibaly,Napoli,0.2716,0.5202,0.2193,0.4743,0.0752,0.0999,0.4353,0.1991,0.9436,0.2329,1.7218,0.4002,-,-,-,-,0.1965,0.1636,0.0583,-,-,0.0,0.1525,-,0.5735,0.1734,0.6334,-,7.5446
1089,Juan Cuadrado,Juventus,0.2899,0.5643,0.0,0.2645,1.0535,0.8032,0.5436,0.4758,0.0153,1.1423,0.5354,0.077,0.0201,-,-,-,-,0.6585,0.6975,0.0,0.1049,-,-,-,0.0737,0.1634,-,-,7.4829
2547,Theo Hernández,AC Milan,0.1605,0.1319,0.1459,0.0,0.4413,0.5377,0.1452,1.2885,0.1061,0.0722,0.6682,-,0.0,0.1773,-,0.159,0.3549,-,0.1511,0.5711,0.7391,0.0,0.0967,0.3349,0.208,-,0.7487,0.1104,7.3487
1489,Franck Kessié,AC Milan,0.1749,0.097,0.0594,0.0,0.6315,0.5222,0.2037,0.2751,0.1347,0.1605,0.6588,0.3356,0.0401,-,0.4574,0.2185,0.0,0.3357,0.359,0.717,0.043,0.0,0.0771,0.2679,0.0837,0.1303,0.5288,0.8267,7.3386
1246,Kostas Manolas,Napoli,0.2249,0.0825,0.0778,0.1156,0.3464,0.7042,0.1633,0.1408,0.5029,0.1967,1.39,0.1028,0.4179,1.1122,1.0907,0.0,0.0432,-,0.0583,0.4801,-,-,-,0.0,-,-,0.0,-,7.2503
6942,Arthur,Juventus,-,0.5643,0.0157,1.1169,1.9325,-,0.2413,0.2229,-,-,0.0,-,-,0.3252,0.0,1.2819,-,1.2209,0.089,0.0,-,-,-,-,0.0,0.0,0.1097,-,7.1203
6691,Dejan Kulusevski,Juventus,0.2794,0.5643,1.2622,0.2145,0.0,0.6861,0.1651,0.0,0.0876,0.0,-,0.1227,0.0,0.2504,0.0,0.6516,0.0675,0.6903,-,0.0,0.3264,0.8778,0.0782,0.5119,0.0935,0.1336,0.0,-,7.0631
6750,Gonzalo Villar,Roma,0.0,-,0.0,0.6287,0.0,-,0.0,0.9211,0.033,0.8151,2.012,0.0,0.0,0.0156,0.6242,0.825,0.2071,0.0641,0.1371,0.1177,0.0,0.0477,0.2685,0.0,-,0.0225,0.2601,0.0564,7.0559
3291,Adrien Rabiot,Juventus,0.3316,0.0,0.0512,0.0544,0.3994,0.1077,0.6169,0.3557,0.1288,0.5263,0.1307,-,-,-,0.6561,0.9547,0.0261,0.4962,0.0,0.0,0.4325,-,0.0679,0.693,0.0312,0.8817,0.1097,-,7.0518
7013,Matteo Pessina,Atalanta,-,-,-,-,-,0.0,0.6285,0.3796,-,0.2033,0.0,0.0568,0.1169,1.2701,0.4942,0.936,-,0.8374,0.326,-,0.3772,0.0,0.1434,0.3612,0.7589,0.0333,0.014,0.0,6.9368
1463,Francesco Acerbi,Lazio,0.069,0.3687,0.3924,0.0474,0.0692,0.1764,0.563,0.2849,0.1701,0.0,0.0,-,-,-,0.0708,0.0466,1.2315,0.0839,0.1544,0.1156,0.6657,0.2156,0.1933,0.1589,0.3612,0.9054,0.5786,-,6.9226
1122,Manuel Locatelli,Sassuolo,0.9916,0.5703,0.0,1.063,0.4528,0.149,0.0,0.1853,0.5542,0.0,0.0521,0.2269,-,0.3489,0.0452,0.1358,0.192,-,0.0202,0.0,0.258,0.7073,0.1106,0.5345,0.0975,0.1266,0.1007,-,6.9225
1543,Sergej Milinkovic-Savic,Lazio,0.0278,0.1566,0.3863,0.1248,-,0.6471,0.563,-,-,0.0,0.1849,0.1064,0.0451,0.0374,0.0,0.1253,1.8139,0.1963,0.1065,0.5396,0.1239,0.0489,0.1568,0.2075,0.1722,0.5072,0.6292,-,6.9067
1168,Bryan Cristante,Roma,0.1376,-,0.0,0.7552,0.0,0.0,0.8906,0.7974,0.0433,0.7374,0.871,-,0.0,0.4724,0.4761,0.1261,0.0583,0.0,0.0968,0.024,0.0296,0.319,-,0.1856,0.3355,0.1376,0.0362,0.3584,6.8881
1500,Leonardo Spinazzola,Roma,0.1187,0.4555,0.0329,0.2194,0.0,0.0574,0.0,0.9728,0.0433,0.063,1.1841,0.0,0.0,-,-,-,0.0281,0.0,1.5961,0.0816,0.2186,0.0477,0.1963,0.4242,0.7673,0.0225,0.2115,0.1093,6.8503
1354,Gianmarco Ferrari,Sassuolo,0.951,0.7317,0.0,0.7073,0.4098,0.0576,0.0,0.0402,0.0805,0.0344,0.0,-,0.4013,0.1613,0.0,0.667,0.2013,0.1292,0.0202,0.0265,0.5502,-,0.1667,0.3956,0.6998,0.0258,0.3243,-,6.7817
1287,Leonardo Bonucci,Juventus,0.307,0.0,0.0157,0.0297,1.4529,0.1533,-,-,0.0355,1.1274,0.3407,0.4519,0.1587,0.6549,0.4966,0.8813,0.0936,0.0753,0.1304,0.0,-,-,-,-,0.0,0.2948,0.0396,-,6.7393
