id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
317,Henrikh Mkhitaryan,Roma,1.327,1.5515,0.1634,2.3023,0.2682,2.2295,2.2947,2.3184,0.0643,0.9459,2.2904,1.3001,0.3647,1.1171,1.5676,0.8581,0.3571,0.0641,-,0.8454,0.1963,0.3304,0.211,0.8484,0.0983,0.0225,23.9367
594,Romelu Lukaku,Inter,1.0071,1.8942,0.3828,2.0509,0.6403,-,0.0,2.1858,0.0,0.895,1.4747,0.1213,0.1959,1.4661,1.0779,0.1124,0.8403,0.4027,0.2126,0.8361,0.7544,1.2535,1.5484,1.2184,2.7576,0.0,23.3284
2371,Cristiano Ronaldo,Juventus,0.9491,1.0204,-,-,0.6783,0.9367,0.8171,-,0.5995,1.1128,1.0595,0.7586,0.1953,1.1838,0.7453,1.2793,0.0936,1.7133,1.5499,0.2511,0.6231,2.2586,0.6292,0.7591,0.0,-,19.2136
7006,Lautaro Martínez,Inter,0.2347,0.1406,0.4314,1.1709,0.1124,0.4294,0.6538,0.4949,1.3552,0.0834,1.0228,0.4368,0.2418,0.8635,2.0028,0.6255,0.8575,0.9262,0.3613,0.6378,0.0982,1.2232,1.8746,0.5739,0.8948,0.0951,17.8425
1393,Lorenzo Insigne,Napoli,1.2543,1.0157,-,1.0532,-,0.3523,0.2438,0.2356,1.0539,0.5716,1.6868,-,0.5385,2.1174,2.0247,0.3814,1.2602,0.1755,0.6143,0.9099,0.2006,0.0735,0.3048,0.7673,0.6474,-,17.4827
1409,Nicolò Barella,Inter,0.4142,1.1866,0.462,0.3959,0.6457,0.9567,0.4981,0.2372,0.2535,0.0,1.6738,0.5567,0.1379,1.0078,0.7799,0.7012,0.2823,0.9095,0.1206,0.2536,1.9864,0.1977,0.7686,1.3915,1.2762,0.0,17.0936
1229,Luis Muriel,Atalanta,1.2036,0.2643,1.7727,0.0,-,0.8981,0.6285,-,0.12,0.0426,0.0213,1.0656,0.5328,0.6885,0.4666,0.6145,0.367,0.8907,0.0,1.1778,1.513,0.5502,1.8564,0.2878,1.765,0.0429,16.7699
1148,Duván Zapata,Atalanta,1.7107,0.4971,1.8426,0.046,0.1352,0.6578,0.0231,0.7109,0.5013,1.2317,0.4219,0.2845,0.228,2.4138,0.4565,1.7077,0.2509,0.0707,0.6651,0.0,0.3665,0.0751,1.2453,-,0.928,0.2447,16.7151
6155,Robin Gosens,Atalanta,1.6095,1.2202,1.5483,0.1277,0.1413,-,-,1.4197,-,1.0687,0.4424,0.7508,0.4099,1.1416,0.9143,0.9638,0.241,0.052,0.3049,-,0.296,0.4773,1.0532,0.5396,0.4279,0.0882,15.2383
677,Jordan Veretout,Roma,0.8718,0.5581,0.4386,0.1704,0.1288,1.1626,1.139,1.0313,0.0,-,2.276,1.5234,0.2031,1.1984,0.5969,0.0,0.2558,0.0641,0.9892,1.2115,0.1143,0.6741,0.1269,0.1884,0.2164,-,15.1391
