team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Arsenal,0.5503,0.3215,0.1962,0.968,0.8209,0.0619,0.2058,0.2656,0.7711,0.6823,0.7627,0.374,0.7058,0.293,0.145,0.322,0.4516,0.0421,0.7035,0.2859,0.2907,0.5612,0.1436,0.3605,0.5461,0.1203,0.2516,0.0921,0.1093,0.5214,0.7418,0.3105,0.7528,0.3239,0.5256,0.5512,0.4577,0.7952,16.3847
Manchester City,0.6354,0.6026,0.5472,0.678,0.4084,0.247,0.0455,0.3082,0.8378,0.6626,0.0318,0.8268,0.034,0.2272,0.0611,0.3484,0.1583,0.2485,0.4144,0.3187,0.6823,0.5074,0.2815,0.3657,0.0393,0.1335,0.2399,0.8823,0.8675,0.3283,0.185,0.2729,0.6055,0.5835,0.2936,0.0055,0.2637,0.8889,15.0682
Tottenham,0.5192,0.0188,0.4045,0.448,0.2599,0.5665,0.1647,0.4397,0.4331,0.6007,0.716,0.0755,0.3608,0.744,0.134,0.0202,0.3999,0.624,0.1576,0.4704,0.5389,0.4954,0.3616,0.3005,0.8563,0.0846,0.2097,0.4377,0.5668,0.0715,0.8832,0.2141,0.6935,0.6252,0.3768,0.4071,0.1993,0.036,14.9157
Liverpool,0.667,0.6245,0.1036,0.326,0.1029,0.5174,0.3269,0.2438,0.5428,0.0237,0.427,0.3679,0.2417,0.6849,0.4757,0.3342,0.0249,0.5902,0.6037,0.0514,0.0273,0.4042,0.1798,0.1728,0.5859,0.8367,0.8271,0.1667,0.0779,0.2508,0.3746,0.4083,0.9138,0.7714,0.0486,0.3766,0.4274,0.0641,14.1942
Manchester United,0.4756,0.7986,0.6318,0.3229,0.253,0.0824,0.3028,0.0574,0.5084,0.7239,0.3396,0.479,0.1131,0.3058,0.2687,0.2926,0.5485,0.2213,0.355,0.5663,0.0727,0.3711,0.3816,0.6961,0.1205,0.1951,0.1532,0.0694,0.5525,0.122,0.4384,0.1176,0.7639,0.8693,0.2751,0.2014,0.0863,0.5915,13.7244
Southampton,0.0134,0.1618,0.1464,0.4345,0.6525,0.141,0.1138,0.5828,0.0344,0.4935,0.4765,0.7368,0.2676,0.0099,0.2516,0.1676,0.1479,0.3261,0.0898,0.1299,0.8886,0.652,0.827,0.0084,0.3504,0.4579,0.5209,0.1562,0.2001,0.2857,0.243,0.1884,0.8436,0.718,0.1941,0.2279,0.0067,0.2434,12.3901
Chelsea,0.012,0.0657,0.1199,0.0567,0.2559,0.3943,0.4605,0.1617,0.3985,0.4148,0.4183,0.3769,0.8104,0.7099,0.2257,0.4478,0.1267,0.0857,0.139,0.5444,0.4765,0.1168,0.2656,0.5784,0.4468,0.6324,0.2765,0.2198,0.1596,0.4049,0.4629,0.085,0.0232,0.5533,0.0487,0.4475,0.1258,0.2468,11.7953
Leicester,0.1279,0.588,0.0892,0.7071,0.3141,0.2597,0.0075,0.2388,0.1238,0.7824,0.1097,0.1851,0.6827,0.285,0.4308,0.0419,0.0972,0.2098,0.1401,0.1966,0.2474,0.5028,0.6674,0.5484,0.1363,0.0742,0.3609,0.1579,0.3884,0.5835,0.4243,0.4704,0.363,0.1034,0.5335,0.2837,0.2204,0.0753,11.7586
Stoke,0.7097,0.1287,0.0163,0.3868,0.0028,0.1478,0.3647,0.3728,0.6081,0.303,0.254,0.3417,0.4815,0.4104,0.6043,0.3104,0.0591,0.2037,0.0435,0.0972,0.8197,0.5183,0.0542,0.0357,0.0139,0.2249,0.6222,0.7565,0.3269,0.3856,0.3404,0.6424,0.0483,0.0269,0.036,0.1191,0.217,0.0201,11.0546
Watford,0.5253,0.4506,0.4903,0.1642,0.588,0.2574,0.035,0.1044,0.0311,0.3758,0.5066,0.1028,0.2222,0.1471,0.7252,0.359,0.6808,0.0559,0.577,0.4896,0.1383,0.6128,0.2324,0.2765,0.1049,0.2764,0.3322,0.4395,0.1733,0.1316,0.0129,0.1363,0.0242,0.0026,0.5976,0.0493,0.04,0.3231,10.7922
