team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Juventus,0.7747,0.8422,0.4011,0.4626,0.9293,0.8896,0.7257,0.7687,0.7703,0.6972,0.3327,0.1672,0.3004,0.0131,0.6983,0.654,0.586,0.7886,0.4419,0.8024,0.464,0.4515,0.881,0.6348,0.5256,0.8096,0.6074,0.3182,0.6238,0.2116,0.6264,0.834,0.6286,0.0156,0.7056,0.0321,0.7656,0.683,21.8644
Napoli,0.266,0.4023,0.4865,0.7233,0.3916,0.6448,0.1227,0.1159,0.0332,0.7388,0.6008,0.649,0.7033,0.5523,0.2842,0.8014,0.0114,0.3978,0.3537,0.1396,0.3273,0.8615,0.0696,0.8902,0.3193,0.2974,0.2602,0.7748,0.1285,0.5749,0.2659,0.6282,0.2216,0.6782,0.5201,0.6799,0.4958,0.217,16.629
Atalanta,0.0841,0.2004,0.5121,0.3324,0.2156,0.4643,0.5635,0.1785,0.7852,0.7904,0.4166,0.29,0.0992,0.7564,0.2789,0.2649,0.5977,0.8943,0.3686,0.0571,0.2729,0.4449,0.8631,0.4338,0.8332,0.2745,0.4646,0.0151,0.7295,0.7896,0.2089,0.1612,0.1984,0.2108,0.2394,0.3486,0.3426,0.3494,15.3307
Roma,0.5858,0.1023,0.2142,0.3976,0.1505,0.0305,0.2827,0.143,0.6346,0.3242,0.714,0.4168,0.0927,0.2151,0.5492,0.1773,0.395,0.3915,0.6365,0.2078,0.6814,0.1159,0.5069,0.6283,0.4069,0.1724,0.1026,0.414,0.394,0.5898,0.465,0.7296,0.0423,0.0898,0.3041,0.2336,0.0543,0.1344,12.7266
Lazio,0.1418,0.5295,0.0714,0.1483,0.0208,0.2881,0.3014,0.2646,0.0849,0.1394,0.247,0.4807,0.5137,0.4812,0.2934,0.5763,0.0932,0.3237,0.535,0.6808,0.0974,0.4615,0.0534,0.7343,0.7559,0.531,0.6802,0.6313,0.8675,0.1324,0.0587,0.0969,0.5041,0.0809,0.0774,0.1431,0.1232,0.3015,12.5459
Inter,0.4236,0.5348,0.1588,0.192,0.6367,0.5461,0.0491,0.1681,0.0171,0.5261,0.4024,0.7719,0.4831,0.4005,0.1302,0.3196,0.5515,0.5556,0.2242,0.6997,0.7384,0.542,0.3036,0.5933,0.395,0.1015,0.3355,0.3958,0.2856,0.0104,0.0549,0.1232,0.0314,0.1657,0.2094,0.015,0.1573,0.031,12.2801
AC Milan,0.0856,0.0044,0.5873,0.5409,0.485,0.107,0.2428,0.7691,0.4712,0.3478,0.4577,0.3152,0.1487,0.1562,0.3629,0.5651,0.5341,0.6768,0.0106,0.1461,0.0935,0.1419,0.1645,0.033,0.1412,0.1452,0.0799,0.0089,0.7348,0.3149,0.8058,0.127,0.1092,0.583,0.0112,0.0915,0.7528,0.0549,11.4077
Chievo,0.3003,0.4486,0.4497,0.4065,0.6115,0.5151,0.5835,0.1058,0.6289,0.8152,0.0626,0.0824,0.7218,0.3207,0.5991,0.4884,0.4357,0.011,0.0032,0.0272,0.1352,0.1012,0.3657,0.0426,0.2218,0.4472,0.001,0.5811,0.0263,0.4296,0.0736,0.0233,0.2795,0.1122,0.1996,0.248,0.0886,0.1887,11.1824
Genoa,0.3317,0.2945,0.001,0.3666,0.1903,0.8513,0.9075,0.0519,0.6378,0.2187,0.3403,0.0732,0.1953,0.1827,0.3763,0.5837,0.0339,0.1579,0.2607,0.0193,0.1136,0.0434,0.2937,0.0978,0.0763,0.3533,0.6644,0.4677,0.122,0.0041,0.5885,0.0169,0.1797,0.6654,0.123,0.3756,0.7607,0.0006,11.0213
Fiorentina,0.1449,0.3787,0.3275,0.0906,0.4762,0.3645,0.3252,0.2103,0.3516,0.7909,0.4277,0.4455,0.0081,0.6627,0.2179,0.2743,0.0767,0.0541,0.0931,0.1795,0.0134,0.6053,0.0099,0.3872,0.5071,0.0441,0.252,0.0703,0.4394,0.7629,0.3785,0.0459,0.1344,0.5461,0.051,0.384,0.0013,0.1582,10.691
Udinese,0.0,0.2487,0.2971,0.0336,0.1709,0.1283,0.2289,0.025,0.4883,0.541,0.2572,0.2422,0.0845,0.0396,0.475,0.0316,0.301,0.4206,0.2292,0.0334,0.7189,0.2269,0.8104,0.0945,0.0721,0.182,0.3561,0.587,0.5763,0.0593,0.3873,0.1643,0.2728,0.1501,0.3758,0.3685,0.1968,0.0109,9.8861
Bologna,0.6681,0.002,0.3549,0.1955,0.3353,0.2152,0.1958,0.0208,0.4714,0.3021,0.0845,0.0113,0.16,0.2169,0.2375,0.9034,0.7601,0.0503,0.3525,0.5185,0.3752,0.0479,0.0461,0.022,0.0121,0.0177,0.0817,0.5144,0.2366,0.4454,0.2602,0.2256,0.1319,0.4819,0.0561,0.3658,0.0234,0.0095,9.4096
Torino,0.0245,0.5612,0.0347,0.8276,0.3517,0.0171,0.1813,0.4082,0.2147,0.0253,0.0119,0.6151,0.2184,0.3661,0.3681,0.0372,0.0004,0.4237,0.5117,0.003,0.2294,0.3408,0.0832,0.2858,0.3035,0.0837,0.7416,0.0831,0.1266,0.0025,0.0892,0.6076,0.3399,0.5943,0.0163,0.0572,0.0034,0.0057,9.1957
Sampdoria,0.3355,0.7223,0.0079,0.3968,0.2971,0.1833,0.537,0.0827,0.2182,0.0663,0.0372,0.1671,0.2182,0.5451,0.4622,0.0677,0.0212,0.5997,0.0278,0.0937,0.0784,0.2229,0.0738,0.2787,0.3898,0.047,0.057,0.4755,0.0712,0.0621,0.1775,0.2968,0.1257,0.1211,0.0017,0.8004,0.4074,0.1059,8.8799
Empoli,0.3095,0.3289,0.5605,0.4557,0.0896,0.0903,0.0015,0.7447,0.3139,0.0015,0.2055,0.0326,0.0038,0.4447,0.0019,0.2293,0.1088,0.0119,0.5868,0.2546,0.3105,0.0289,0.0531,0.0029,0.1508,0.0435,0.521,0.0032,0.0324,0.212,0.0742,0.2349,0.0359,0.0647,0.8774,0.0373,0.2206,0.229,7.9083
Pescara,0.1854,0.5698,0.1559,0.0199,0.5057,0.5871,0.1118,0.1571,0.0215,0.4747,0.1254,0.0423,0.1042,0.0132,0.6923,0.1358,0.011,0.5922,0.0118,0.2166,0.0058,0.4725,0.0025,0.0372,0.2413,0.0587,0.0364,0.162,0.0464,0.0545,0.3528,0.0412,0.0286,0.1239,0.6169,0.1329,0.4854,0.0486,7.6813
