team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Paris Saint Germain,0.8228,0.9403,0.7033,0.5065,0.1879,0.3507,0.852,0.0446,0.4824,0.1779,0.8166,0.4723,0.2761,0.6765,0.6277,0.6559,0.5597,0.0064,0.1842,0.4395,0.8541,0.593,0.4685,0.7558,0.8604,0.5741,0.2837,0.7451,0.7225,0.0782,0.2772,0.0123,0.1116,0.3158,0.0707,0.5854,0.1593,0.6331,17.8841
Nantes,0.066,0.0356,0.4296,0.4104,0.6548,0.7521,0.2093,0.1238,0.3301,0.3316,0.7056,0.4082,0.0804,0.38,0.6766,0.4231,0.5214,0.7885,0.3454,0.0424,0.1491,0.6342,0.7878,0.0677,0.496,0.3076,0.6625,0.2146,0.6856,0.3736,0.1122,0.7064,0.6391,0.3757,0.0217,0.64,0.5403,0.7032,15.8322
Marseille,0.5383,0.2087,0.4295,0.0005,0.0511,0.3885,0.5539,0.0237,0.0679,0.7165,0.5047,0.2797,0.7053,0.7539,0.7007,0.3319,0.7967,0.183,0.196,0.133,0.8881,0.8535,0.4593,0.2169,0.0644,0.8967,0.3221,0.2427,0.246,0.2269,0.6273,0.8396,0.0462,0.3665,0.248,0.5133,0.0138,0.6029,15.2377
Lyon,0.7401,0.478,0.367,0.7163,0.4018,0.0768,0.0839,0.3295,0.0806,0.7505,0.5677,0.3648,0.4342,0.7793,0.169,0.3434,0.0072,0.1541,0.024,0.1588,0.6076,0.4825,0.0189,0.0632,0.3011,0.3654,0.1593,0.2929,0.7751,0.1376,0.6882,0.6372,0.7398,0.4815,0.7293,0.4126,0.4037,0.3229,14.6458
Montpellier,0.7193,0.0803,0.4834,0.2009,0.5417,0.4609,0.4981,0.2612,0.0678,0.2584,0.5066,0.5981,0.4642,0.8181,0.6469,0.1861,0.2451,0.2046,0.7076,0.3883,0.5146,0.403,0.0007,0.188,0.3733,0.1826,0.6851,0.2334,0.4805,0.2643,0.2464,0.2877,0.1185,0.2626,0.1185,0.1651,0.2239,0.6101,13.6959
Monaco,0.7752,0.2834,0.3992,0.1588,0.013,0.2138,0.2731,0.3574,0.1178,0.6741,0.176,0.7371,0.1807,0.0014,0.5483,0.4197,0.1252,0.7377,0.1576,0.5282,0.2585,0.9147,0.0857,0.3047,0.5719,0.7326,0.1147,0.5424,0.1902,0.3409,0.0859,0.7152,0.0144,0.0147,0.3082,0.3168,0.5554,0.474,13.4186
Bordeaux,0.234,0.5333,0.3091,0.5186,0.6966,0.3653,0.1564,0.0348,0.2542,0.2705,0.38,0.3647,0.3227,0.2895,0.7086,0.0976,0.0562,0.063,0.3552,0.1161,0.198,0.5689,0.45,0.7288,0.2874,0.1293,0.8533,0.0309,0.3537,0.2009,0.3648,0.4398,0.07,0.4926,0.1312,0.0246,0.363,0.7222,12.5358
Nice,0.2581,0.6407,0.6258,0.1361,0.2992,0.397,0.1155,0.0064,0.2097,0.2726,0.0013,0.5523,0.0444,0.0571,0.0613,0.6464,0.2066,0.5506,0.3494,0.5266,0.1754,0.7225,0.4995,0.751,0.064,0.158,0.0959,0.3688,0.1075,0.0402,0.6257,0.3531,0.1845,0.7779,0.4683,0.0914,0.4783,0.0692,11.9883
Guingamp,0.4999,0.0456,0.1807,0.5592,0.4293,0.6789,0.0099,0.5362,0.4384,0.4359,0.6912,0.0163,0.7289,0.1217,0.4862,0.2974,0.7557,0.396,0.6636,0.5387,0.0817,0.0564,0.0889,0.0855,0.3445,0.1728,0.1949,0.0369,0.0524,0.2281,0.0189,0.7619,0.142,0.814,0.0589,0.0715,0.0939,0.1034,11.9163
Rennes,0.2067,0.1655,0.1496,0.0208,0.1119,0.5034,0.0456,0.1809,0.0049,0.5018,0.2872,0.711,0.1844,0.1642,0.6675,0.7756,0.1809,0.0011,0.0864,0.0408,0.5778,0.6443,0.1176,0.5157,0.2613,0.0057,0.7237,0.1533,0.1426,0.6693,0.2449,0.6283,0.168,0.1374,0.6178,0.2827,0.5259,0.5042,11.9107
