team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Bayern Munich,0.4298,0.9042,0.2358,0.6924,0.0171,0.0989,0.5421,0.3654,0.4769,0.5063,0.0217,0.1813,0.4795,0.8206,0.4099,0.4334,0.2137,0.2552,0.6863,0.1958,0.1118,0.5742,0.7513,0.5467,0.8492,0.7327,0.468,0.5723,0.1946,0.8691,0.0549,0.2147,0.5299,0.1025,14.5382
Borussia Dortmund,0.1766,0.6166,0.8145,0.0793,0.8544,0.208,0.0134,0.2577,0.051,0.6312,0.0626,0.2902,0.8624,0.0846,0.6215,0.1603,0.5022,0.4138,0.4072,0.1616,0.05,0.5701,0.2375,0.2983,0.3276,0.0042,0.8387,0.0006,0.0005,0.572,0.1662,0.5148,0.0443,0.5015,11.3954
RasenBallsport Leipzig,0.0701,0.1765,0.3672,0.0734,0.4774,0.075,0.6192,0.7594,0.4173,0.1019,0.6184,0.1078,0.4856,0.0421,0.2006,0.0926,0.0701,0.3097,0.7437,0.8689,0.5619,0.1192,0.1166,0.1836,0.8303,0.3199,0.2824,0.0406,0.6674,0.066,0.3739,0.1265,0.0846,0.1469,10.5967
Bayer Leverkusen,0.0064,0.0707,0.1769,0.4217,0.0801,0.007,0.5709,0.2614,0.1647,0.0563,0.0364,0.6662,0.4814,0.441,0.0047,0.0934,0.1821,0.4239,0.2465,0.118,0.0771,0.8037,0.2794,0.7645,0.4928,0.1989,0.004,0.1119,0.6314,0.7765,0.7518,0.8395,0.0705,0.0219,10.3336
Wolfsburg,0.0542,0.4014,0.5305,0.0272,0.6901,0.3737,0.2929,0.0153,0.7774,0.2043,0.051,0.4754,0.142,0.0103,0.534,0.7119,0.6755,0.0128,0.0172,0.1073,0.4015,0.453,0.2451,0.0841,0.0063,0.0786,0.1638,0.1324,0.0902,0.1054,0.0018,0.5554,0.4844,0.487,9.3934
Borussia M.Gladbach,0.3114,0.1103,0.4708,0.0043,0.2647,0.4288,0.5396,0.6127,0.122,0.4554,0.1946,0.5932,0.0506,0.4677,0.0029,0.0847,0.0697,0.2792,0.3409,0.4849,0.0378,0.2145,0.3491,0.0,0.5517,0.5884,0.0991,0.3037,0.1816,0.0508,0.1475,0.0225,0.4166,0.0134,8.8651
Eintracht Frankfurt,0.1912,0.2017,0.002,0.0634,0.1834,0.4295,0.021,0.4782,0.3194,0.267,0.4827,0.0901,0.1309,0.7798,0.4557,0.1529,0.0522,0.147,0.0197,0.0972,0.1662,0.2758,0.6669,0.0542,0.3352,0.448,0.552,0.2053,0.0531,0.0762,0.2529,0.0174,0.2442,0.0009,7.9133
Schalke 04,0.1756,0.5237,0.1965,0.0227,0.1942,0.5124,0.5413,0.6588,0.4508,0.2525,0.0192,0.0168,0.0328,0.3738,0.0821,0.4551,0.2669,0.0999,0.1797,0.1051,0.0584,0.2705,0.0501,0.016,0.032,0.0626,0.4569,0.022,0.0375,0.0963,0.2363,0.4964,0.1599,0.5025,7.6573
Hoffenheim,0.0134,0.1325,0.0589,0.1574,0.044,0.2043,0.2975,0.1676,0.7658,0.0677,0.286,0.0253,0.0452,0.5833,0.524,0.0688,0.2904,0.0113,0.0784,0.2412,0.0693,0.643,0.0957,0.0638,0.3945,0.1974,0.1365,0.4766,0.7235,0.0591,0.0829,0.2178,0.3738,0.015,7.6119
Nuernberg,0.2371,0.6823,0.4831,0.5558,0.0709,0.2535,0.0103,0.0416,0.2768,0.0278,0.134,0.03,0.1953,0.0263,0.4745,0.0043,0.718,0.0693,0.0306,0.201,0.1956,0.3809,0.1567,0.3612,0.0214,0.0351,0.4045,0.1404,0.3947,0.1885,0.1425,0.2436,0.0974,0.317,7.602
Werder Bremen,0.4,0.1363,0.5885,0.0887,0.3484,0.0464,0.6959,0.3269,0.0042,0.1429,0.0279,0.0185,0.0123,0.1225,0.024,0.0894,0.0919,0.5873,0.0838,0.2517,0.2972,0.2879,0.3128,0.2718,0.1555,0.3846,0.324,0.0684,0.5401,0.0478,0.0668,0.0432,0.1233,0.0626,7.0735
Hertha Berlin,0.1269,0.1008,0.0386,0.0197,0.0101,0.0467,0.1775,0.642,0.0019,0.0099,0.0182,0.1435,0.5694,0.3003,0.1415,0.4008,0.1119,0.1806,0.314,0.2259,0.165,0.6641,0.2942,0.3952,0.2796,0.0703,0.0004,0.027,0.0129,0.5798,0.0544,0.209,0.0995,0.0151,6.4467
Freiburg,0.3997,0.0079,0.0782,0.425,0.3538,0.0011,0.5649,0.3938,0.1621,0.103,0.418,0.0672,0.0191,0.2624,0.0401,0.0768,0.2767,0.0159,0.0105,0.4075,0.0628,0.5306,0.1294,0.0002,0.3058,0.2064,0.0159,0.0404,0.111,0.0055,0.0558,0.3621,0.0479,0.4668,6.4243
VfB Stuttgart,0.2023,0.1654,0.2582,0.2263,0.0087,0.5055,0.0929,0.3474,0.0052,0.0136,0.6385,0.0338,0.1452,0.0362,0.1557,0.1743,0.0416,0.2716,0.0079,0.0081,0.1544,0.1559,0.1634,0.4132,0.0273,0.0297,0.0757,0.0323,0.0329,0.0615,0.2338,0.0049,0.7016,0.4702,5.8952
Fortuna Duesseldorf,0.4546,0.0698,0.0523,0.173,0.0423,0.0261,0.0837,0.0092,0.0858,0.0133,0.3346,0.0286,0.3175,0.0084,0.3624,0.1768,0.5005,0.3718,0.0662,0.0936,0.2758,0.0881,0.8923,0.4578,0.0067,0.0016,0.2076,0.0701,0.0079,0.0018,0.0198,0.1428,0.0548,0.3056,5.8032
Mainz 05,0.2915,0.1424,0.4575,0.2268,0.2303,0.1257,0.3182,0.0031,0.0758,0.1703,0.1046,0.2441,0.2868,0.0565,0.0006,0.2343,0.0839,0.0209,0.7128,0.0032,0.0011,0.0435,0.4166,0.0717,0.2126,0.036,0.2341,0.0991,0.0681,0.0236,0.3221,0.0195,0.1013,0.128,5.5666
