team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Valencia,0.3067,0.1872,0.1605,0.2306,0.6094,0.6588,0.1734,0.6823,0.2026,0.5169,0.6643,0.1145,0.4037,0.3625,0.0808,0.1043,0.0401,0.0244,0.8428,0.3959,0.3495,0.0813,0.5902,0.7823,0.0932,0.5984,0.0367,0.6838,0.4606,0.3768,0.1126,0.7485,0.0656,0.1091,0.1623,0.0347,0.4575,0.458,12.9628
Leganes,0.0439,0.0524,0.0439,0.5735,0.1104,0.6597,0.0657,0.6321,0.2686,0.2635,0.6564,0.552,0.6632,0.0977,0.2434,0.2136,0.4312,0.1259,0.6314,0.0716,0.5661,0.082,0.8792,0.1002,0.4587,0.1057,0.0556,0.0815,0.3885,0.3037,0.2169,0.2483,0.3594,0.8453,0.747,0.7353,0.0191,0.227,12.8196
Atletico Madrid,0.2956,0.1441,0.4911,0.0595,0.5471,0.5836,0.2759,0.7469,0.1147,0.804,0.0246,0.0056,0.5417,0.1592,0.1591,0.4479,0.4759,0.148,0.2458,0.2296,0.7502,0.1934,0.12,0.2819,0.1944,0.474,0.9001,0.1139,0.3812,0.4668,0.0429,0.5171,0.3412,0.0529,0.5447,0.0775,0.4846,0.0329,12.4696
Barcelona,0.769,0.5547,0.0475,0.1718,0.1342,0.2347,0.3237,0.071,0.1023,0.075,0.1011,0.0321,0.6017,0.3303,0.4288,0.424,0.5864,0.2081,0.4797,0.2649,0.1584,0.0042,0.1156,0.7301,0.1427,0.4397,0.7479,0.24,0.7473,0.0605,0.2753,0.8046,0.3459,0.7975,0.3842,0.0614,0.2147,0.1333,12.3443
Getafe,0.2423,0.5774,0.0682,0.302,0.1441,0.0917,0.603,0.3627,0.7195,0.5326,0.2377,0.0438,0.4107,0.3312,0.1751,0.5174,0.2153,0.0651,0.0171,0.7555,0.0749,0.5432,0.2911,0.0891,0.3954,0.5091,0.3024,0.5827,0.1453,0.0699,0.4279,0.1255,0.511,0.1552,0.0478,0.4588,0.0292,0.4134,11.5843
Real Madrid,0.8237,0.5906,0.1969,0.0254,0.646,0.0631,0.4763,0.1761,0.0591,0.0101,0.2734,0.4828,0.0006,0.2824,0.2574,0.5362,0.276,0.0424,0.4333,0.6393,0.252,0.4537,0.2834,0.0053,0.1482,0.2117,0.0398,0.7155,0.2065,0.0978,0.3479,0.4167,0.5382,0.5509,0.1027,0.5165,0.0304,0.1041,11.3124
Real Betis,0.006,0.5468,0.4197,0.294,0.234,0.3801,0.6564,0.5524,0.5709,0.0304,0.0497,0.0006,0.2392,0.1756,0.4932,0.581,0.0536,0.161,0.4558,0.3421,0.2756,0.5651,0.0767,0.202,0.5354,0.114,0.7065,0.0062,0.0613,0.0386,0.0673,0.0195,0.7556,0.0918,0.0485,0.5031,0.09,0.3727,10.7724
Sevilla,0.0255,0.4982,0.1926,0.0549,0.0456,0.1574,0.5577,0.3458,0.0143,0.2944,0.4285,0.4907,0.5786,0.2489,0.1562,0.3474,0.232,0.4209,0.228,0.1643,0.7332,0.2831,0.1512,0.0982,0.1219,0.304,0.1513,0.501,0.2129,0.5071,0.1777,0.3019,0.0092,0.4339,0.2967,0.1977,0.1258,0.4994,10.5881
Athletic Club,0.2511,0.8012,0.0727,0.1436,0.0186,0.0144,0.0294,0.0905,0.0962,0.4456,0.175,0.1976,0.098,0.0482,0.8604,0.609,0.4703,0.0485,0.4503,0.1211,0.7188,0.0741,0.447,0.2519,0.4872,0.1242,0.3374,0.1785,0.7771,0.0866,0.2053,0.3594,0.1089,0.5853,0.2455,0.2379,0.2131,0.0458,10.5257
Real Sociedad,0.1877,0.1347,0.3232,0.0677,0.5567,0.0731,0.2881,0.2059,0.5725,0.1896,0.6495,0.302,0.5225,0.1502,0.2181,0.6912,0.3188,0.0714,0.0389,0.4219,0.5308,0.0551,0.0388,0.2793,0.2701,0.0514,0.021,0.2279,0.0545,0.1687,0.0079,0.3414,0.225,0.2811,0.6123,0.493,0.333,0.2896,10.2646
Espanyol,0.6441,0.3141,0.2429,0.4862,0.322,0.816,0.1534,0.0988,0.7639,0.2399,0.3967,0.0058,0.0324,0.1988,0.0031,0.0436,0.1912,0.6926,0.0119,0.0725,0.0484,0.0055,0.5158,0.2001,0.3323,0.1229,0.5433,0.1379,0.2223,0.1336,0.1351,0.2711,0.079,0.0258,0.0689,0.3932,0.5606,0.721,10.2467
Eibar,0.1545,0.0162,0.1265,0.0541,0.3819,0.3195,0.0456,0.171,0.2822,0.1576,0.5135,0.655,0.127,0.3142,0.067,0.0563,0.0284,0.2274,0.1617,0.4708,0.6478,0.7833,0.1559,0.3552,0.2003,0.4998,0.049,0.0419,0.2579,0.3314,0.1156,0.7298,0.1362,0.2334,0.5779,0.0328,0.2058,0.2769,9.9613
Villarreal,0.6436,0.0939,0.3931,0.1568,0.6804,0.4551,0.3122,0.0385,0.1279,0.0809,0.4321,0.021,0.3365,0.3327,0.0442,0.0015,0.1866,0.0909,0.3611,0.6174,0.1613,0.2032,0.5763,0.0501,0.1254,0.1873,0.2712,0.8312,0.0721,0.0078,0.1264,0.329,0.177,0.3724,0.2139,0.0056,0.777,0.0642,9.9578
Girona,0.9693,0.0021,0.2827,0.3945,0.1543,0.1322,0.1,0.0508,0.5504,0.0096,0.0311,0.1743,0.0135,0.1321,0.0864,0.045,0.521,0.1005,0.2952,0.1265,0.0395,0.0802,0.42,0.1334,0.6443,0.4739,0.264,0.6263,0.2839,0.0231,0.6572,0.2163,0.1093,0.3556,0.2561,0.0366,0.5376,0.3212,9.65
Alaves,0.0217,0.145,0.1883,0.295,0.2553,0.258,0.1911,0.3826,0.4721,0.2262,0.2981,0.2231,0.3254,0.1356,0.0217,0.7069,0.3042,0.2902,0.5706,0.0565,0.2464,0.0213,0.7596,0.0059,0.592,0.1585,0.0451,0.0555,0.0903,0.081,0.3934,0.4714,0.0623,0.0311,0.1876,0.4022,0.1209,0.315,9.4071
