team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
Lyon,0.5338,0.6994,0.0678,0.3316,0.6743,0.254,0.5927,0.582,0.4473,0.6867,0.5659,0.1795,0.1588,0.0612,0.6476,0.3243,0.5879,0.3715,0.1483,0.3834,0.7149,0.1343,0.7773,0.1315,0.0406,0.8724,0.6759,0.2123,11.8572
Lille,0.5797,0.2291,0.4115,0.0464,0.4313,0.5001,0.7839,0.295,0.0774,0.0178,0.7355,0.5008,0.8668,0.0304,0.4854,0.5403,0.7625,0.0831,0.0017,0.2611,0.0568,0.3141,0.6685,0.5775,0.0829,0.7415,0.7646,0.2466,11.0923
Reims,0.3703,0.5196,0.5673,0.049,0.7741,0.4482,0.5768,0.1614,0.3477,0.537,0.6532,0.4805,0.4938,0.3222,0.797,0.5875,0.4472,0.0906,0.1162,0.1031,0.3224,0.2096,0.3279,0.0124,0.8681,0.4683,0.0632,0.1533,10.8679
Angers,0.1924,0.1551,0.8597,0.3677,0.0206,0.3935,0.7917,0.278,0.009,0.7792,0.4037,0.1663,0.6257,0.5509,0.2893,0.047,0.1839,0.6706,0.7502,0.165,0.7025,0.0811,0.7531,0.1466,0.3383,0.4196,0.3784,0.2563,10.7754
Rennes,0.0321,0.3561,0.0956,0.0762,0.6704,0.259,0.1131,0.4932,0.1099,0.0607,0.342,0.6138,0.5299,0.3816,0.4705,0.2992,0.5496,0.5724,0.3475,0.8239,0.0793,0.2972,0.3541,0.6634,0.1314,0.6707,0.4287,0.3289,10.1504
Marseille,0.2158,0.7128,0.0686,0.5804,0.013,0.8983,0.1209,0.4887,0.015,0.7157,0.0034,0.441,0.2492,0.3286,0.4248,0.4002,0.847,0.1832,0.2601,0.5976,0.8469,0.2301,0.6246,0.025,0.2696,0.3968,0.037,0.0594,10.0537
Nantes,0.2633,0.1275,0.6559,0.3978,0.4736,0.0665,0.1761,0.3503,0.7563,0.4206,0.3077,0.3983,0.3822,0.559,0.1851,0.0499,0.4631,0.4007,0.3043,0.6777,0.4026,0.019,0.0091,0.2049,0.7368,0.4155,0.0954,0.4263,9.7255
Amiens,0.0628,0.7407,0.0724,0.2071,0.1044,0.1441,0.5007,0.3922,0.6392,0.7241,0.5304,0.4674,0.001,0.0036,0.2113,0.0331,0.4841,0.0013,0.3805,0.7032,0.3992,0.4971,0.6404,0.1981,0.0079,0.5183,0.3927,0.3068,9.3641
Bordeaux,0.166,0.4487,0.7872,0.298,0.3629,0.1984,0.1183,0.0231,0.3993,0.2149,0.1004,0.407,0.1342,0.1932,0.2531,0.8219,0.0873,0.5559,0.2617,0.0572,0.8146,0.6556,0.0676,0.4711,0.3051,0.0001,0.6569,0.4705,9.3302
Montpellier,0.209,0.4402,0.2985,0.4014,0.2982,0.3271,0.4619,0.6672,0.2112,0.3442,0.2661,0.2277,0.7717,0.6017,0.2793,0.2321,0.4439,0.0379,0.4522,0.1833,0.6225,0.0304,0.1096,0.3199,0.0907,0.1958,0.4016,0.0072,8.9325
Nimes,0.0047,0.0447,0.0421,0.3705,0.42,0.3501,0.5483,0.3014,0.0126,0.3617,0.7114,0.0114,0.298,0.5333,0.0767,0.0207,0.2087,0.0347,0.5512,0.4733,0.046,0.4356,0.5953,0.4543,0.6062,0.0498,0.0477,0.1858,7.7962
Saint-Etienne,0.0465,0.5926,0.0248,0.3696,0.057,0.1023,0.575,0.133,0.6762,0.3583,0.0609,0.2434,0.3189,0.1812,0.1638,0.1585,0.1967,0.0068,0.5643,0.2232,0.4563,0.3082,0.552,0.5628,0.1208,0.1891,0.0145,0.3121,7.5688
Dijon,0.3611,0.1623,0.5225,0.0051,0.7011,0.2984,0.2066,0.4429,0.4395,0.1194,0.0472,0.0241,0.1035,0.4767,0.0889,0.2384,0.3472,0.7392,0.1876,0.5442,0.1082,0.2373,0.1568,0.5325,0.0679,0.0326,0.0023,0.2815,7.475
Metz,0.1465,0.4437,0.0652,0.0582,0.1831,0.1219,0.4316,0.4165,0.2561,0.6396,0.0672,0.4936,0.1387,0.0936,0.6177,0.2363,0.1076,0.1385,0.3047,0.2668,0.5191,0.0454,0.5928,0.0617,0.2838,0.1025,0.3744,0.1357,7.3425
Monaco,0.3947,0.0111,0.0526,0.131,0.1074,0.2093,0.5294,0.6497,0.0047,0.1597,0.1454,0.1164,0.257,0.114,0.0936,0.5686,0.387,0.4771,0.0208,0.0062,0.2453,0.1429,0.3115,0.6366,0.3192,0.1344,0.2701,0.1021,6.5978
