team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
Zenit St. Petersburg,0.7202,0.6254,0.0808,0.8309,0.3769,0.6408,0.2771,0.5198,0.4257,0.7984,0.4369,0.5132,0.1869,0.8626,0.4436,0.3883,0.2473,0.3749,0.7686,0.4123,0.2295,0.1436,0.2491,0.7221,0.1515,0.0384,0.2078,0.3114,0.369,0.581,12.934
Lokomotiv Moscow,0.2561,0.3696,0.1519,0.287,0.3593,0.6082,0.2873,0.1045,0.4794,0.0833,0.7666,0.7391,0.6112,0.1427,0.1485,0.1169,0.5275,0.0489,0.1765,0.479,0.134,0.1105,0.6971,0.1845,0.4695,0.6792,0.6712,0.1564,0.3286,0.3945,10.569
Spartak Moscow,0.0824,0.0351,0.1037,0.4206,0.2902,0.1904,0.2196,0.3742,0.5092,0.3816,0.4575,0.1588,0.502,0.4281,0.6177,0.6038,0.4788,0.1919,0.0014,0.4123,0.0776,0.22,0.0905,0.7713,0.3408,0.0951,0.132,0.9498,0.7678,0.1187,10.0229
Dinamo Moscow,0.1321,0.2089,0.5077,0.5489,0.1146,0.0361,0.4198,0.5224,0.4745,0.2286,0.3431,0.116,0.3841,0.1497,0.0975,0.668,0.069,0.0619,0.2223,0.0594,0.4614,0.2475,0.6784,0.1759,0.2273,0.1939,0.4237,0.8334,0.7636,0.5822,9.9519
CSKA Moscow,0.1528,0.3715,0.4733,0.325,0.4099,0.0584,0.4105,0.5251,0.5903,0.3633,0.3651,0.1034,0.1217,0.3686,0.1438,0.1806,0.4602,0.3016,0.057,0.1998,0.0138,0.6317,0.0122,0.6082,0.3352,0.7305,0.275,0.1531,0.0405,0.9838,9.7659
FC Ufa,0.2517,0.1145,0.3383,0.4083,0.3387,0.4087,0.1747,0.061,0.0569,0.0292,0.7068,0.1951,0.2664,0.231,0.368,0.4504,0.3243,0.4527,0.6534,0.0326,0.2008,0.1814,0.55,0.3314,0.6157,0.693,0.1567,0.2759,0.0368,0.495,9.3994
FC Krasnodar,0.044,0.2963,0.5151,0.1307,0.29,0.6597,0.5051,0.4018,0.0217,0.0912,0.1315,0.3042,0.1334,0.0786,0.4615,0.1577,0.2053,0.366,0.494,0.7534,0.4963,0.2561,-,0.1211,0.0509,0.2705,0.2498,0.1232,0.3498,0.5647,8.5236
Rubin Kazan,0.0341,0.0468,0.4122,0.2336,0.0636,0.3362,0.2077,0.0157,0.0089,0.0008,0.9074,0.2818,0.271,0.5203,0.2465,0.1317,0.1218,0.221,0.2588,0.4949,0.2405,0.4162,0.4502,0.0752,0.5773,0.5372,0.5276,0.3563,0.4468,0.0117,8.4538
FC Rostov,0.447,0.0757,0.2781,0.143,0.6553,0.3725,0.5691,0.0487,0.2127,0.0321,0.4057,0.0785,0.0033,0.2815,0.0296,0.4517,0.0352,0.7437,0.0873,0.1254,0.0731,0.2308,0.0,0.4126,0.0604,0.6611,0.0228,0.8258,0.5005,0.2012,8.0644
PFC Sochi,0.3571,0.0077,0.0278,0.7242,0.503,0.3345,0.0319,0.2762,0.1739,0.471,0.4522,0.0236,0.0044,0.1699,0.1118,0.2078,0.299,0.3124,0.2748,0.8172,0.1141,0.4488,0.8959,0.1191,0.1514,0.109,0.2698,0.3147,-,-,8.0032
Arsenal Tula,0.341,0.2045,0.2529,0.5389,0.522,0.3219,0.2384,0.0933,0.0053,0.1518,0.0546,0.0499,0.625,0.2226,0.0564,0.0067,0.1349,0.4669,0.2326,0.0395,0.1185,0.5237,0.4321,0.1213,0.1618,0.1352,0.1956,0.3251,0.6548,0.4459,7.6731
FK Akhmat,0.3246,0.0358,0.174,0.6806,0.4177,0.0217,0.0544,0.8599,0.0743,0.0159,0.1323,0.4502,0.2138,0.2002,0.1864,0.1853,0.0311,0.384,0.4101,0.1845,0.3518,0.1041,0.0104,0.4597,0.4191,0.1283,0.1955,0.4206,0.3946,0.0198,7.5407
FC Orenburg,0.4418,0.1863,0.0523,0.5589,0.3106,0.1632,0.6032,0.2036,0.2917,0.019,0.1414,0.4483,0.4843,0.2169,0.157,0.7319,0.1559,0.3279,0.0336,0.4846,0.0849,0.2222,0.0399,-,-,0.1116,0.0618,0.7005,0.0124,0.2223,7.468
Krylya Sovetov Samara,0.3743,0.222,0.3327,0.0016,0.2428,0.3636,0.1131,0.1552,0.0323,0.146,0.7871,0.3913,0.2612,0.108,0.5177,0.0107,0.2572,0.4493,0.0211,0.1433,0.5574,0.1635,0.0038,0.0121,0.1361,0.5826,0.5257,0.0156,0.4607,-,7.388
FC Tambov,0.1975,0.2681,0.4188,0.2864,0.0951,0.2704,0.1843,0.4142,0.0717,0.1082,0.0796,0.0215,0.101,0.7437,0.229,0.3338,0.4015,0.1841,0.3279,0.5579,0.1743,0.1544,0.0536,0.1468,0.1456,0.0846,0.0425,0.1219,-,0.2375,6.4559
Ural,0.0902,0.1494,0.1321,0.0712,0.001,0.0803,0.1085,0.2371,0.4059,0.2632,0.0389,0.0315,0.1203,0.1565,0.2157,0.3672,0.0114,0.405,0.5208,0.2585,0.1746,0.0005,0.2128,0.6067,-,0.6014,0.1919,0.0038,0.317,0.3642,6.1376
