team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total
Manchester City,0.4574,0.0066,0.0353,0.3846,0.7606,0.4416,0.1536,0.4062,0.6423,0.7417,0.5426,0.8049,0.5358,0.815,0.4628,0.834,0.9487,0.5346,0.5017,0.8539,0.9514,0.1549,0.6397,0.0355,0.7109,13.3563
Chelsea,0.1706,0.0396,0.3221,0.9005,0.1596,0.5115,0.6214,0.3511,0.6815,0.7908,0.2846,0.1483,0.4631,0.7523,0.0649,0.4386,0.0161,0.6193,0.2642,0.4509,0.6093,0.5274,0.4875,0.6397,0.5592,10.8741
Manchester United,0.0681,0.0149,0.0131,0.3032,0.7982,0.1873,0.678,0.6329,0.5978,0.0354,0.2108,0.2266,0.1623,0.2575,0.655,0.1515,0.4994,0.2636,0.44,0.4647,0.4633,0.552,0.1104,0.3338,0.7042,8.824
Brighton,0.1397,0.523,0.0809,0.0422,0.2388,0.7395,0.0495,0.7096,0.0853,0.7486,0.121,0.134,0.281,0.2708,0.1786,0.1865,0.0591,0.0194,0.778,0.5881,0.6814,0.2806,0.0915,0.8624,0.8281,8.7176
Arsenal,0.8795,0.0615,0.0193,0.8626,0.167,0.4136,0.6618,0.0829,0.1083,0.0498,0.6632,0.4101,0.2604,0.491,0.0314,0.4344,0.3452,0.4738,0.8398,0.3089,0.1201,0.0967,0.2622,0.4014,0.075,8.5199
Leicester,0.6917,0.178,0.1867,0.0858,0.376,0.4606,0.0921,0.5273,0.004,0.0523,0.7369,0.4037,0.0188,0.2739,0.0799,0.7141,0.7612,0.6756,0.5228,0.6093,0.096,0.4342,0.1987,0.096,0.0766,8.3522
West Ham,0.0856,0.1798,0.6737,0.595,0.0943,0.374,0.0951,0.0636,0.4733,0.0282,0.1143,0.1012,0.2602,0.0222,0.1446,0.4766,0.6826,0.6643,0.5908,0.4694,0.0693,0.444,0.1667,0.2983,0.4543,7.6214
Liverpool,0.7578,0.2063,0.2217,0.0194,0.1909,0.1235,0.7563,0.0874,0.0653,0.024,0.6931,0.0896,0.1559,0.5633,0.4042,0.3991,0.5829,0.2281,0.1714,0.8981,0.3045,0.227,0.0002,0.0654,0.0516,7.287
Aston Villa,0.2182,0.5783,0.1506,0.4968,0.0726,0.3154,0.1853,0.1627,0.5387,0.2905,0.7216,0.9612,0.3902,0.111,0.0333,0.0057,0.6566,0.4334,0.0508,0.1367,0.4945,0.0575,0.2137,-,-,7.2753
Southampton,0.1642,0.0394,0.7006,0.8473,0.0254,0.7404,0.0332,0.8351,0.1565,0.0494,0.0488,0.7959,0.4657,0.2437,0.4308,0.241,0.2116,0.0757,0.0137,0.4085,0.0007,0.3424,0.1694,0.1098,0.1067,7.2559
Wolverhampton Wanderers,0.2661,0.0533,0.0156,0.2841,0.2854,0.7686,0.4135,0.0325,0.2691,0.2784,0.1389,0.1419,0.1338,0.2445,0.6525,0.0706,0.0218,0.7123,0.0179,0.5028,0.1509,0.4518,0.509,0.3795,0.0423,6.8371
Everton,0.4025,0.7214,0.6212,0.1851,0.0548,0.4623,0.0028,0.1531,0.0657,0.0118,0.4314,0.289,0.395,0.1445,0.6311,0.2172,0.3995,0.4391,0.0678,0.2621,0.121,0.0042,0.2541,0.1572,-,6.4939
Crystal Palace,0.2105,0.2963,0.0367,0.0192,0.321,0.2986,0.2095,0.3936,0.1134,0.2279,0.5506,0.194,0.6269,0.025,0.0005,0.0844,0.7141,0.6853,0.3375,0.0107,0.6134,0.1177,0.0325,0.0865,0.0432,6.249
Newcastle United,0.3981,0.058,0.0142,0.6332,0.0506,0.4527,0.2501,0.3578,0.112,0.5765,0.5541,0.0206,0.2912,0.0107,0.2118,0.456,0.0591,0.0565,0.0274,0.4365,0.3322,0.3625,0.1952,0.0336,0.0831,6.0337
Burnley,0.3562,0.4288,0.0502,0.4363,0.393,0.2438,0.1678,0.1985,0.0725,0.0365,0.1167,0.1418,0.1161,0.0445,0.5878,0.251,0.1107,0.1703,0.0277,0.2163,0.0631,0.5279,0.5121,0.5254,0.0463,5.8413
Tottenham,0.2188,0.0295,0.1984,0.2131,0.0993,0.3366,0.7141,0.4113,0.157,0.3564,0.54,0.0785,0.28,0.0851,0.4491,0.2793,0.3108,0.3025,0.0062,0.1085,0.0375,0.4332,0.0343,0.0168,-,5.6963
Fulham,0.018,0.1152,0.0871,0.3584,0.0838,0.0149,0.6081,0.196,0.0408,0.2115,0.0119,0.0721,0.6117,0.1414,0.8847,0.0189,0.2213,0.1271,0.0503,0.2798,0.0111,0.283,0.7235,0.2165,0.2751,5.6622
Leeds,0.0093,0.1013,0.1538,0.2284,0.4955,0.1613,0.0082,0.219,0.4588,0.2329,0.0004,0.1318,0.1271,0.0013,0.1307,0.5916,0.0338,0.1899,0.2693,0.1155,0.0689,0.6827,0.0184,0.5418,0.1685,5.1402
Sheffield United,0.1289,0.435,0.1846,0.4634,0.129,0.0198,0.0532,0.0212,0.0643,0.1319,0.1862,0.0567,0.1082,0.0192,0.5399,0.3033,0.5333,0.2812,0.237,0.3448,0.1023,0.0076,0.0868,0.0376,0.2419,4.7173
West Bromwich Albion,0.0085,0.0,0.0403,0.3474,0.2662,0.514,0.1148,0.1012,0.0297,0.0075,0.1362,0.3637,0.0447,0.0218,0.1897,0.155,0.0014,0.0943,0.0389,0.0132,0.17,0.2016,0.0967,0.6413,0.5451,4.1432
