team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,total
Lille,0.2006,0.8015,0.3839,0.3422,0.5033,0.4139,0.7706,0.3671,0.6351,0.1639,0.6096,0.1909,0.4662,-,5.8488
Lyon,0.7997,0.7871,0.0551,0.4413,0.7303,0.6384,0.1011,0.0702,0.6338,0.1147,0.3413,0.7079,0.1459,-,5.5668
Rennes,0.6269,0.5988,0.3332,0.4155,0.8145,0.2885,0.2757,0.2552,0.2679,0.2843,0.7218,0.3008,0.3142,-,5.4973
Lens,0.8308,0.7006,0.2036,0.6875,0.6822,0.9087,0.0241,0.148,0.496,0.0382,0.0051,0.5933,-,-,5.3181
Monaco,0.1064,0.5129,0.217,0.3968,0.1167,0.4282,0.8947,0.0079,0.8101,0.3299,0.049,0.8063,0.1561,-,4.832
Saint-Etienne,0.8028,0.2033,0.0338,0.1775,0.2001,0.04,0.0066,0.7105,0.349,0.005,0.3039,0.6665,0.785,0.4296,4.7136
Bordeaux,0.8242,0.5837,0.1312,0.0157,0.5137,0.7826,0.1918,0.4612,0.0003,0.1225,0.0581,0.0306,0.841,-,4.5566
Paris Saint Germain,0.0886,0.5395,0.3043,0.332,0.8085,0.3262,0.8683,0.1674,0.0572,0.3906,0.0066,0.2993,0.0431,-,4.2316
Montpellier,0.1287,0.6786,0.0422,0.4432,0.1591,0.5091,0.0814,0.0003,0.6032,0.6111,0.0055,0.7024,0.0213,-,3.9861
Marseille,0.0596,0.0434,0.3267,0.1549,0.2887,0.0128,0.5846,0.3655,0.7181,0.7106,0.6705,-,-,-,3.9354
Nice,0.0054,0.7915,0.1419,0.0044,0.2702,0.1631,0.4434,0.3643,0.667,0.1141,0.3032,0.5864,-,-,3.8549
Lorient,0.7133,0.1772,0.06,0.2422,0.4283,0.0986,0.7552,0.3952,0.6798,0.0769,0.0151,0.115,0.0913,-,3.8481
Metz,0.8218,0.4236,0.0546,0.1553,0.4055,0.3293,0.1703,0.4809,0.4421,0.026,0.195,0.1656,0.1316,-,3.8016
Strasbourg,0.0083,0.1349,0.0609,0.5722,0.1495,0.0427,0.0001,0.4668,0.3449,0.958,0.0413,0.0869,0.5204,-,3.3869
Angers,0.3887,0.049,0.7156,0.096,0.0369,0.0253,0.0792,0.1826,0.0024,0.1026,0.2497,0.1862,0.7105,0.2789,3.1036
Brest,0.072,0.1814,0.7351,0.1535,0.2597,0.1639,0.022,0.1317,0.228,0.0166,0.2408,0.4754,0.0558,-,2.7359
Reims,0.0395,0.3602,0.0509,0.094,0.0073,0.0774,0.0063,0.8671,0.1025,0.0799,0.1963,0.097,0.5508,-,2.5292
Nimes,0.6152,0.0427,0.0658,0.1081,0.2042,0.4901,0.0012,0.0676,0.3536,0.059,0.2637,0.0103,0.0203,-,2.3018
Nantes,0.4291,0.397,0.0767,0.0698,0.0401,0.0977,0.4006,0.0223,0.1144,0.1351,0.332,0.022,0.0016,-,2.1384
Dijon,0.0703,0.0031,0.0701,0.0432,0.036,0.1574,0.4473,0.0021,0.1602,0.026,0.1151,0.0333,0.4259,-,1.59
